name,province,city,location,desc,want,has_been,strategy,route,ticket_info,open_time
内蒙古博物院,内蒙古,呼和浩特市,新城区,"{'景区简介': ['内蒙古博物院是内蒙古自治区唯一的国家一级博物院，也是全国少数民族地区最早建立的博物馆。馆区造型独特，设备先进，内藏文物珍品达10万余件。强烈的现代元素、地域特色和民族风情展示了草原文明亿万年来的生态变迁与发展史，是国内外游客了解内蒙古的“百科全书”，为内蒙古走向世界发挥着重要作用。'], '景点分布': ['内蒙古博物院借助本地区丰富的资源优势，以“草原文化”为主线，贯穿于馆区基本陈列和专题陈列，形成了三层展厅14个陈列的“草原文化系列展览”。其中，二层的四个基本陈列《远古世界》、《高原壮阔》、《地下宝藏》和《飞天神舟》介绍了草原文化的生成之地；三层的《草原雄风》、《草原天骄》、《草原风情》和《草原烽火》以板块形式展示了草原文化的发展；而四层的《草原日出》、《风云骑士》、《草原服饰》、《苍穹旋律》、《草原华章》、《古道遗珍》六个专题陈列则重点呈现了草原文化的六大精彩之处，多角度的展览手法简明易懂，引人入胜。', '除展览之外，内蒙古博物院还注重为观众提供各种人性化服务。馆内文物库房、陈列展览制作室、古今生物标本修复室、学术研究室、文物养护中心、技术资料信息中心、青少年活动中心、大型多媒体会议室等设施齐全，为游客和市民全方位了解内蒙古文化做出了巨大贡献。'], '景区资质': ['国家一级博物院'], '景区特色': ['展览、草原文化、古生物化石、博物馆从您位置到内蒙古博物院']}",89,345,"{'旅游攻略': ['内蒙古博物院为全年免费参观，游客应至少提前一天预约，凭预约号领票参观。'], '最佳游览时间': ['全年适宜。']}","{'景区位置': ['中国>内蒙古自治区>呼和浩特市>新城区>新城区鸿盛高科技园区'], '到达方式': ['公交路线：呼和浩特市区内乘坐2、3、16、27、53、59、66、67、72、75、89等公交车至内蒙古博物院下车即达。']}",{'内蒙古博物院门票价格': ['免费。']},['每周二至周日9：00—17：00开放，周一闭馆。']
呼和浩特大窑文化遗址,内蒙古,呼和浩特市,新城区,"{'景区简介': ['呼和浩特大窑文化遗址是目前世界上仅有的一处旧石器时代早期的石器制造厂遗迹，它的面积之大、出土文物之多、场面之宏观为世界罕见。大窑文化遗址位于大青山的南山坡之上，距今已有五、六十万年之久，这里溪涧纵横，极适宜远古人类的居住，它的发现，证明了北方阴山之南也有原始人活动，为研究我国文化发源和旧石器时代石器文化的分布提供了重要的资料依据。'], '景点分布': ['大窑文化遗址包括了旧石器时代早期到新石器时代晚期五个文化期的遗迹，景观众多。漫步其中便可欣赏到“无字天书”、“磨光巨石”、“凤凰展翅”、“双龙戏珠”、“莲花并蒂”、“百米古洞”、“登临远眺”、“遗迹斑斑”八景，为大窑怀古增添了无尽韵味。'], '景区资质': ['全国重点文物保护单位'], '景区特色': ['旧石器时代遗址、遗址从您位置到大窑文化遗址']}",22,45,{},"{'景区位置': ['中国>内蒙古自治区>呼和浩特市>新城区>新城区鸿盛高科技园区>保合少镇'], '到达方式': ['游客可在火车站乘坐7路公交车坐往新城，到达新城区后转乘出租车或包车前往大窑文化遗址。']}",{'大窑文化遗址门票价格': ['15元/人']},['8:30--18:00']
呼和浩特清固伦恪靖公主府博物馆,内蒙古,呼和浩特市,新城区,"{'景区简介': ['呼和浩特清固伦恪靖公主府博物馆是内蒙古迄今保存最为完整的一座皇家品级建制的府邸，是研究清代北部边疆地区建筑及其历史不可多得的实物依据、也是边疆各族人民友好团结、共同开发边疆、建设边疆的历史见证。恪靖公主是康熙皇帝第六女，下嫁喀尔喀蒙古土谢图汗亲王敦多布多尔济。府邸主体建筑保存完好，其内外檐装修的精美，制作工艺的精湛仍清晰可见，堪称典范。府内的专题陈列通过珍贵的完整的公主府府邸原貌，结合史料信息、文物信息，立足于满蒙联姻的史实，揭示出公主府深刻的文化内涵，是人们了解历史的好地方。'], '景点分布': ['清固伦恪靖公主府博物馆位于新城区通道北路62号，占地40余公顷。府邸分四进五重院落，前有影壁御道，后有花园马场，府门、仪门、静宜堂、寝殿、配房、厢房、后罩房依例分布。展厅共计十四间，展出面积1500平方米，展线长600米。展出文物74件套，复制清代档案8件，家具复制28件套，复仿制文物127件套，电子沙盘一处，“童子夯”泥塑一组，“公主额驸进膳”人物场景一处，大型创作油画一幅。陈列展览包括《公主府概况》、《公主、额驸生平陈列》、《喀尔喀历史民俗陈列》。'], '景区资质': ['国家3A级景区'], '景区特色': ['历史文化、古迹']}",2,3,{'最佳游览时间': ['四季皆宜']},"{'景区位置': ['中国>内蒙古自治区>呼和浩特市>新城区>新城区鸿盛高科技园区'], '到达方式': ['公主府公园站：57路60路2路23路84路k3路k3路区间快线/昭君路区间一环1号线']}",{'固伦恪靖公主府门票价格': ['免费']},"['夏季09:00-17:00', '冬季10:00-16:00', '周一闭馆，节假日除外']"
呼和浩特乌兰夫纪念馆,内蒙古,呼和浩特市,回民区,"{'景区简介': ['乌兰夫纪念馆是一座具有独特民族风格的巍峨建筑，坐落在呼和浩特市新华西街南植物园内。乌兰夫同志1906年12月23日出生在呼和浩特市土默特左旗塔布赛村蒙古族农民家庭，1988年12月8日因病在北京逝世。他为中国各民族的革命和建设贡献出毕生的心血，建立了不朽的光辉业绩。乌兰夫同志是久经考验的共产主义战士、党和国家的优秀领导人、杰出的无产阶级革命家、卓越的民族工作领导人、第七届全国人民代表大会常务委员会副委员长。'], '景点分布': ['纪念馆占地约3000平方米，建筑面积2100平方米。整个建筑包括主馆、纪念广场和塑像平台、纪念亭、牌楼门等4个单项工程。设计人员创造性地将传统的民族建筑款式和先进的现代建筑艺术融为一体，使这组建筑庄严肃穆，宏伟壮观。'], '景区资质': ['国家3A级景区'], '景区特色': ['红色文化游、纪念馆从您位置到乌兰夫纪念馆']}",124,455,"{'最佳游览时间': ['四季皆宜。'], '购物推荐': ['(当地特产)蒙古奶酪、武川莜麦、荞麦、马奶酒、风干牛肉干。', '(特色美食)青城烧麦、焙子、蒙古手把肉、涮羊肉、奶皮、炒米。']}","{'景区位置': ['中国>内蒙古自治区>呼和浩特市>回民区'], '到达方式': ['呼市内乘4、51、80、82路公交车即可直达景区。']}",{'乌兰夫纪念馆门票价格': ['免费。']},"['春秋：9:00—17:00', '夏季：9:00-17:30', '冬季：9:30-17:00']"
乌素图森林旅游开发区,内蒙古,呼和浩特市,回民区,"{'景区简介': ['乌素图森林旅游开发区，占地6万亩，属阴山山脉中低山地貌，群山如屏，峰峦叠嶂，沟壑纵横，地貌变化千姿百态。位于呼和浩特市区北大青山前山中段，东起哈拉沁沟，西到东棚村。山上松柏常青，鸟语花香，沟中杨柳叠翠，溪水潺潺，山下果树成林，碧波倒影。'], '景点分布': ['园内有战国时期的赵长城、汉通漠北的古白道及驿站，老爷庙，清代集蒙、汉藏建筑风格为一体的乌素图召等构成风光翠霭的自然风景和别具一格的人文景观。其中“杏坞番红”景色宜人，杏树连片，一望无际。'], '景区资质': ['国家3A级景区'], '景区特色': ['自然景观游、历史文化游、历史遗迹、山川从您位置到乌苏图']}",127,184,"{'最佳游览时间': ['春夏秋三季。'], '购物推荐': ['(当地特产)蒙古奶酪、武川莜麦、荞麦、马奶酒、风干牛肉干。', '(特色美食)青城烧麦、焙子、蒙古手把肉、涮羊肉、奶皮、炒米。']}","{'景区位置': ['中国>内蒙古自治区>呼和浩特市>回民区>攸攸板镇'], '到达方式': ['呼和浩特市内乘坐63、23路公交车可达景区。']}",{'乌苏图门票价格': ['票价20元。']},['8:00—18:00']
呼和浩特清真大寺,内蒙古,呼和浩特市,回民区,"{'景区简介': ['呼和浩特清真大寺是呼市原有八座清真寺中建筑年代最早、规模最大的一座，为穆斯林举行宗教仪式的民族寺宇。它初建于清朝乾隆年间，其时规模较小，后历经重建，形成了这座规模宏大的礼拜寺。寺院以中国传统建筑为主，兼有回族砖雕及伊斯兰教装饰艺术风格，庄严肃穆、构图完整的院殿特色独具，非常值得继承和借鉴。'], '景点分布': ['清真大寺坐东向西，布局合理，为一进两出的四合院。寺内建筑荟萃，除宏伟庄严的主建筑大殿外，还有山门、南北讲堂、过厅、望月楼、碑亭、穆斯林浴室、教长办公室、乡老会议室、海里翻学经堂、接待室等。风姿独特的建筑风格透露出伊斯兰教的鲜明底蕴，展现了回汉两族文化工艺交流的成果，是内蒙古宗教建筑的精品杰作。'], '景区资质': ['呼和浩特市文物保护单位'], '景区特色': ['穆斯林、寺院、文物、碑刻、建筑、寺庙、宗教从您位置到清真大寺']}",50,222,{'最佳游览时间': ['全年适宜。']},"{'景区位置': ['中国>内蒙古自治区>呼和浩特市>回民区'], '到达方式': ['公交路线：在市内乘坐6路、13路、15路、21路、24路、61路、74路、302路在回中或旧城北门站下车即达。']}",{'清真大寺门票价格': ['免费']},['8:30-18:00']
呼和浩特青城公园,内蒙古,呼和浩特市,回民区,"{'景区简介': ['呼和浩特青城公园，杨柳参天，百鸟啼鸣，繁花似锦，是呼市最主要的休闲公园之一。青城公园因一涌龙泉而仙气逼人，不仅自然风光秀美，而且还生活着梅花鹿、猴子等可爱的动物们。每逢夏秋之季，荷花盛开，波光潋滟，游客乘船荡漾其间，幸福之感相由心生。'], '景点分布': ['青城公园位于市中心的中山西路120号，占地面积48公顷。园内植被繁茂、湖水宽阔，设有儿童乐园、荷花池、鱼塘，饲养着东北虎、非洲狮、梅花鹿、青羊、黑熊及各种猴类。人们可以乘坐游船荡漾湖面，也可在岸边垂钓小憩。'], '景区特色': ['休闲、散步、娱乐、垂钓、公园、游乐场、湖泊、动植物']}",19,188,{'最佳游览时间': ['四季皆宜']},"{'景区位置': ['中国>内蒙古自治区>呼和浩特市>回民区>中山西路街道'], '到达方式': ['乘车路线：1路、26路、50路、76路、81路到公园西门下车，1路、27路、31路、74路到公园南门下车，50路、81路到民族饭店下车，1路、3路、4路、16路、19路、21路、26路、57路、58路、76路到新亚太商厦下车。', '自驾路线：市内走中山西路、石羊桥路，即可。']}",{'青城公园门票价格': ['免费']},['全天']
呼和浩特大青山野生动物园,内蒙古,呼和浩特市,回民区,"{'景区简介': ['呼和浩特大青山野生动物园以动物为主线，是与世界珍奇动物亲密接触的好地方。动物园的前身是呼市动物园，拥有平原、丘陵、山地等独特而丰富的地形、地貌，绿化面积约7826亩。这些不同而连绵的地形不仅为动物的半野生饲养提供了便利条件，同时也极大的丰富了园区的景色、可观赏性以及丰富而多样的观展方式。可以说这样得天独厚的条件都成为了我园区开展、吸引各地游客的优势。开展不同的功能项目，来适应不同的游客群（个人、旅游团、企事业单位），并着眼于为游客提供全新的旅程与服务。其不仅是以动物的驯养、繁殖、展览为主体的功能性园区，还是集生态旅游、餐饮、娱乐、科普教育、素质训练教育于一身的综合性园区，充分的体现了“人与自然和谐相处”的理念，是呼和浩特市做为创建首府文明城市的进程不可或缺的组成部分。'], '景点分布': ['大青山野生动物园位于呼和浩特市北郊，总体规划占地面积约12300亩。园区分为四大景区：门前景区、青葱雨晨景区、人与自然景区、狂野之旅景区，引入了猛虎、雄狮、黑熊、长颈鹿、长角羚、斑马等动物，也使像内蒙古自治区这样的寒冷地区第一次拥有了非洲热带动物，使周边广大游客“足不出户”便可以欣赏到非洲动物带来的热情。'], '景区资质': ['国家3A级景区'], '景区特色': ['科普、娱乐、公园从您位置到大青山野生动物园']}",1,0,{'最佳游览时间': ['夏季']},"{'景区位置': ['中国>内蒙古自治区>呼和浩特市>回民区'], '到达方式': ['2路;85路;k3路直达动物园', '北二环快速路→公主府北立交桥→通道北路→S104→景区']}",{'大青山野生动物园门票价格': ['70元']},"['秋冬季9:00-16:00', '春夏季8:30-16:30']"
呼和浩特莫尼山非遗小镇,内蒙古,呼和浩特市,回民区,"{'景区简介': ['莫尼山非遗小镇是内蒙古自治区文化和旅游厅66个网红打卡地之一，是内蒙古自治区第一个以展示、体验非遗项目为主体的大型露天博物馆。小镇以“守护民族文脉，传承非遗之美”为目标，深度挖掘“大青山骑兵”和“万里茶道”文化内涵，既实现非遗传承、研学拓展、红色文化、爱国主义教育、劳动教育拓展研学基地功能，又打造成集住宿、餐饮、游览、休闲、度假为一体的综合性特色景区。人们在此，可以深入了解非遗之美，也可感受中华文化的魅力。'], '景点分布': ['小镇位于内蒙古呼和浩特市回民区段家窑村，占地500亩，建有非遗艺术博物馆、非遗活态传习馆、万里茶道驿站、红色记忆大院、马头琴博物馆、蒙古老营、中画国检书画院、自治区级中小学生实践教育基地等，游客除了可以观赏精美的手工艺品，还可以亲手体验制作乐趣。'], '景区资质': ['国家4A级景区'], '景区特色': ['民俗文化、乡村从您位置到莫尼山非遗小镇']}",1,0,{'最佳游览时间': ['四季皆宜']},"{'景区位置': ['中国>内蒙古自治区>呼和浩特市>回民区'], '到达方式': ['公交车：108路段家窑村委会站']}","{'莫尼山非遗小镇门票价格': ['成人48元老人儿童24元', '儿童：身高1.2米（不含）以下儿童，免费；身高1.2米（含）-1.4米（含），儿童票', '老人：65周岁（含）以上老人持老年证或身份证，免费；年龄60周岁（含）-65周岁（不含），老人票', '现役军人：凭军官证，免费', '记者：持有记者证，免费', '残疾人：凭残疾证，免费']}",['09:00-17:30，夏季延长至18:30']
呼和浩特昭君墓,内蒙古,呼和浩特市,玉泉区,"{'景区简介': ['呼和浩特昭君墓又称“青冢”，位奥内蒙古呼和浩特市南呼清公路9公里处的大黑河畔。始建于公元前的西汉时期，距今已有2000余年的悠久历史，青冢兀立、巍峨壮观，远远望去，显出一幅黛色朦胧、若泼浓墨的迷人景色，历史上被文人誉为“青冢拥黛”，是呼和浩特的八景之一。', '墓体状如覆斗，高达33米，底面积约13000平方米，距今已有2000余年的悠久历史，是中国最大的汉墓之一。登上墓顶，可看到连绵不断的阴山山脉横贯东西，也会欣赏到呼和浩特市全景。由于墓体周围景色宜人，加上晨曦晚霞的映照，墓景时有变化，传说一日有三变，“晨如峰，午如钟，夕如枞”。', '在中国历史上，王昭君是一位献身于中华民族友好事业的伟大女性。在民间百姓中，昭君是美的化身。数千年来，她的传说、故事在中国民间广为流传，家喻户晓。自唐、宋以来，历代文人咏唱昭君、抒发情感的诗文、歌词、绘画、戏曲更是多不胜数，形成了千古流传的“昭君文化”。'], '景点分布': ['昭君博物馆占地132000平方米，由匈奴文化博物馆、单于大帐、和亲宫、昭君宅、“藏墨苑”书画展厅组成。'], '景区资质': ['国家4A级景区'], '景区特色': ['历史文化、古迹从您位置到昭君墓']}",593,1453,"{'最佳游览时间': ['夏秋季节'], '购物推荐': ['内蒙古地毯、驼毛、鹿茸、莜麦片、山羊绒、蒙古族银器、驼形组合蒙古刀等。']}","{'景区位置': ['中国>内蒙古自治区>呼和浩特市>玉泉区>裕隆工业园区'], '到达方式': ['从呼和浩特市火车站乘坐公交1路到南茶坊/小黑河站，再换乘10路到昭君墓（路北旅游点）；或换乘44路到昭君墓。']}",{'昭君墓门票价格': ['免费']},"['9：00—17:00（16:30停止入馆）', '每周一闭馆']"
