name,province,city,location,desc,want,has_been,strategy,route,ticket_info,open_time
赤峰克什克腾石阵,内蒙古,赤峰市,克什克腾旗,"{'景区简介': ['克什克腾石阵（原阿斯哈图花岗岩石林）是世界上罕见的、形态和成因在全球都具有代表性，并且是目前世界上独有的一种奇特地貌景观。“阿斯哈图”是蒙古语，意思是“险竣的岩石”，主要是由冰盖冰川的创蚀、掘蚀和冰川冲蚀作用下形成的。其发育类型多，形状千姿百态，极为壮观。与云南石林相比虽然都叫“石林”，可形成的原因却不同，石林的形状也不同。云南石林石头的纹理是垂直上下的，似刀劈斧砍；而阿斯哈图石林石头的纹理是横向的，一层一层，像千层饼。石林四周险峻，而山顶平缓起伏，一年四季景色不同，可谓景因时移，景随时转，风光无限。'], '景点分布': ['克什克腾石阵位于克什克腾旗东北部，大兴安岭最高峰黄岗峰北部，石林沿山脊呈北东向展布，东西宽3公里，南北长5.5公里，分布面积约15平方公里。石阵现分为三个核心景区，一景区是阿斯哈图石林中最大的一个区，将石林之秀、石林之美、石林之灵、石林之形集于一身，是石林中的代表性景区，主要景观有月亮城堡、鱼尾塔、将军床、平衡石等。二景区最具代表性的有拴马桩、三结义等景观。三景区主要景区有试剑石和鲲鹏落草原等，鲲鹏展翅九万里，栖居草原不思归。景区内配套设施完善，星级酒店、蒙古包等特色住宿应有尽有，满足各类需求。'], '景区资质': ['国家5A级景区、世界地质公园'], '景区特色': ['探险、摄影、地质从您位置到克什克腾石阵']}",665,551,"{'旅游攻略': ['石林有两个门，一个南门，一个西门，西门连接的是达达线，南门连接的是热阿线。景区内有观光车，游客游览景区时可以乘坐观光车游玩，观光车在每年下雪后（景区一般在10月份就会下第一场雪）至次年的五月期间不运营。'], '游览路线': ['第一天：赤峰→(300公里4小时)阿斯哈图花岗岩石林(观光、宿)', '第二天：阿斯哈图花岗岩石林→(100公里2小时)黄岗梁冰川、森林风光(午餐)→沙地云杉林→(沿途贡格尔草原风光，80公里1小时)达里湖→热水(洗温泉、宿)', '第三天：热水→(30公里40分钟)青山花岗岩岩臼公园(午餐野外)→午后返程。'], '最佳游览时间': ['夏秋两季'], '购物推荐': ['蒙古族刺绣及雕刻、宁城老窖、杏仁乳、沙棘汁、山野菜、健元鹿产品、草柳编工艺品、蒙古皮画、达里湖华子鱼、草原白蘑、鸡爪蘑、浑善达克根雕、赤峰巴林石、赤峰艺术挂毯、赤峰力王工艺品、林西水晶等。']}","{'景区位置': ['中国>内蒙古自治区>赤峰市>克什克腾旗>浩来呼热苏木>乌兰布统苏木>应昌街道>热水塘街道>西拉沐沦街道'], '到达方式': ['坐车：赤峰乘长途车或中巴到林西县，转乘中巴去天合园乡，再雇乘当地的农用三轮车可达。', '自驾：沿林西县至西乌旗公路至统布左转，经板房子乡、天合圆乡可直达山顶，约80公里。']}","{'克什克腾石阵门票价格': ['门票+摆渡车140元/人', 'A.免费政策：持国家旅游局颁发的导游人员及旅游行业经营资格证的免收门票；离休人员、伤残军人及残疾人凭有效证件免收门票；儿童身高1.2米（含）以下免票（需1名成人陪同）', 'B.优惠政策：现役军人、65周岁至70周岁之间的老人持老年证或凭身份证半价票；1.2米以上18周岁以下持有效证件半价票']}",['7:30-17:30']
赤峰市达里湖,内蒙古,赤峰市,克什克腾旗,"{'景区简介': ['达里诺尔湖是内蒙古四大内陆湖之一，享有我国第三大天鹅湖的美誉。位于贡格尔草原西南部，达里诺尔汉译“象大海一样宽阔美丽的湖”，古称“鱼儿”、“捕鱼儿湖”、“达尔海子”等。湖周长百余公里，呈海马状，湖周围草地缓升，百里际天，仅东南角地势下沉，达里诺尔湖还有岗更诺尔和多伦诺尔湖两个姊妹湖，形成面积238平方公里的高原湖区，总储水量16亿立方米，湖面平静，宛如镜状；气团缓生、波翻浪涌，登上湖边砧子山观湖晨曦迎目，正赤如丹。云在水中，浪在天上；鱼跃鸥拍，飞花点点，金波光跃，诚为奇观。'], '景点分布': ['达里诺尔湖历来就以瑞丽的风光和富饶的物产闻名于世。正如清代诗人王枢所赞“中涵岛屿水平铺，绝妙禽鱼飞跃图，自古英雄勤远略，至今留保大日湖”。湖区盛产鲫鱼和当地俗称华子鱼的瓦氏雅罗鱼，这些鱼都以肉鲜味美名誉四方。达里湖集草原、湖泊为一体，这里的一切展示着山川之灵秀，草原之壮观，湖光之俊丽，以及味美绝伦的全鱼宴，让游客在领略浓郁的蒙古族风情的同时，获得肚腹与视觉的绝妙享受。'], '景区资质': ['国家4A级景区'], '景区特色': ['摄影、湖泊景观游、草原游、观鸟、博物馆、度假山庄、草原、湖泊从您位置到达里湖']}",386,462,{'最佳游览时间': ['4月中旬-5月中旬、10月中旬-11月中旬']},"{'景区位置': ['中国>内蒙古自治区>赤峰市>克什克腾旗>浩来呼热苏木>乌兰布统苏木>应昌街道>热水塘街道>西拉沐沦街道'], '到达方式': ['赤峰市新长途汽车站乘到克什克腾旗的长途汽车，然后在克旗汽车站周围包车前往达里诺尔。']}","{'达里湖门票价格': ['北岸90元，南岸120元。', '优待政策', '儿童：6周岁(含)以下或者身高1.2米(含)以下，免费', '老人：60周岁(含)以上，免费', '学生：全日制大学本科及以下学历在校学生、6周岁(不含)-18周岁(含)之间，半价', '导游：国家级导游证（在有效期内的电子导游证）、旅行社领队持旅行社经理资格证，免费', '残疾人：残疾证、军残证，免费', '记者：新闻总署颁发的记者证，免费', '持“内蒙古自治区造血干细胞捐献荣誉卡：持“内蒙古自治区造血干细胞捐献荣誉卡”，免费', '赤峰市内公安干警：赤峰市内公安干警游览阿斯哈图石林景区（国家AAAAA级景区）、达里湖景区（国家AAAA级景区），免费', '赤峰文旅惠民“一卡通”的用户：赤峰文旅惠民“一卡通”的用户；注：此一卡通只包含我公司阿斯哈图石林景区、达里湖景区、桦木沟国家森林公园、白音敖包景区。，免费', '中国摄影家协会会员：中国摄影家协会会员，免费', '低保户：低保户持低保证，半价', '军人：现役军人、烈士遗属、因公牺牲军人遗属、病故军人遗属、现役军人家属；半价', '消防员：在职、退休消防救援人员、消防救援院校学员，半价', '青少年：香港、澳门、台湾等地青少年凭《港澳居民来往内地通行证》、《台湾居民来往大陆通行证》或学生证件等有效身份证明，享受与内地青少年同等的优惠政策，优惠']}",['8:00-18:00']
塞罕坝国家森林公园,内蒙古,赤峰市,克什克腾旗,"{'景区简介': ['塞罕坝国家森林公园是中国北方最大的森林公园，在清朝属著名的皇家猎苑之一“木兰围场”的一部分。森林公园总面积41万亩，其中森林景观106万亩，草原景观20万亩，森林覆盖率75.2%。公园属寒温带季风气候，夏季气候凉爽，最高气温一般不超过25°C。这里动植物种类繁多，既可观赏，又可开展狩猎。全园规划6大类型景观，被誉为“水的源头，云的故乡，花的世界，林的海洋，珍禽异兽的天堂”。公园内山地高原交相呼应；丘陵曼甸连绵起伏；河流湖泊星罗棋布；森林草原交错相连。尤其是浩瀚的林海与大面积天然草原浑然一体，优美壮观。满、蒙、汉三民族人民聚居在一起，文化相互交融，民族风情浓厚。塞罕坝国家森林公园位于承德市围场县北部，北邻内蒙古自治区克什克腾镇，距承德市区240公里，距北京460公里。'], '景点分布': ['赛罕坝森林公园内的景观有塞罕塔、月亮湖、七星湖（湿地公园）、泰丰湖、治沙示范区、木兰秋狝文化园、滦河源头、金莲映日观赏园、亮兵台风景区、白桦林、尚海纪念林、大梨树沟景区等。'], '景区资质': ['国家4A级景区'], '景区特色': ['摄影、避暑、草原游、草原、森林从您位置到塞罕坝']}",112,277,"{'最佳游览时间': ['4-10月份为最佳。'], '购物推荐': ['特产：金莲花茶、白蘑、蕨菜、银丝面、猫耳面。']}","{'景区位置': ['中国>内蒙古自治区>赤峰市>克什克腾旗>浩来呼热苏木>乌兰布统苏木>应昌街道>热水塘街道>西拉沐沦街道'], '到达方式': ['游客可先乘火车到四合永站下，然后转乘前往围场县城的中巴车（也可包车直接前往塞罕坝国家', '森林公园），抵达围场县城后，在县城汽车站乘坐前往机械林场的班车（最早的一班为05：30，', '票价为12元左右），然后在机械林场包车前往塞罕坝国家森林公园即可。']}","{'塞罕坝门票价格': ['塞罕坝森林公园+御道口风景区130元', '塞罕坝森林公园+御道口风景区+红松洼景区150元', '塞罕塔30元', '漂流78元']}",['6月1日-10月8日全天开放']
克什克腾旗贡格尔草原,内蒙古,赤峰市,克什克腾旗,"{'景区简介': ['克什克腾旗贡格尔草原是一个集草原风光、民族风情、名胜古迹、人文景观与蒙族文化于一体的旅游胜地，是距首都北京最近的内蒙古草原。这里水草丰美，牛羊遍地，河流密布，绿野如茵，既是野生动植物繁衍生息的乐园，又是摄影爱好者寻觅美景的宝地。贡格尔草原四季景色各不相同，春赏花、夏戏水、秋观云、冬望雪，无论何时前来都能观赏到如画景致，让人心旷神怡。'], '景点分布': ['贡格尔草原旅游区由巴彦敖包红皮云杉景观和达里诺尔湖构成，景区内景观荟萃，旅游资源丰富，有曼陀山、应昌路遗址、金长城遗址、阿斯哈图石林、第四纪冰川遗迹等景点。贡格尔植被优良，生态资源丰富，幸运的游客能在草原上看到野生动物、中草药和山野菜等各类动植物，尤其是每年7、8月份，各类珍贵候鸟翩然而止，奇珍异兽出没频繁，是旅游观光、摄影创作的最佳时期。'], '景区特色': ['摄影、避暑、休闲、蒙古包、敖包、草原、湖泊、石林从您位置到贡格尔草原']}",218,410,"{'最佳游览时间': ['贡格尔草原四季美景各不相同，全年适宜观赏。'], '购物推荐': ['（美食）烤全羊、奶茶、酸奶、手抓肉等', '（特产）华子鱼、巴林石、矿物工艺品等']}","{'景区位置': ['中国>内蒙古自治区>赤峰市>克什克腾旗>浩来呼热苏木>乌兰布统苏木>应昌街道>热水塘街道>西拉沐沦街道>达来诺日镇'], '到达方式': ['火车线路：乘火车到达赤峰站后，转乘大巴去克什克腾旗。', '（北京出发）在北京北站乘坐1457次、2559次列车到赤峰站；', '（锦州出发）在锦州火车站乘K7363次列车；', '（呼和浩特出发）在呼和浩特火车站乘1457次列车到赤峰站；', '（大连出发）在大连火车站乘坐K7355次列车到赤峰站；', '（沈阳出发）在沈阳火车站乘K7363次列车到赤峰站。']}",{'贡格尔草原门票价格': ['免费']},['全天开放']
赤峰乌兰布统草原,内蒙古,赤峰市,克什克腾旗,"{'景区简介': ['赤峰市乌兰布统大草原是距北京最近的草原（距北京432公里），素有北京的后花园之称。有辽阔的草原、幽静的白桦林、世界珍稀树种沙地云杉，有历史文化遗迹，也有浓郁的民族风情。'], '景点分布': ['乌兰布统草原位于克什克腾旗最南端，有乌兰布统古战场、影视外景地、五彩山、象群山、夹皮沟、将军泡子、十二座连营、公主湖、盘龙峡谷等旅游景区。这里还有跑马场7处，旅游马匹1600匹；自驾车600辆、越野摩托车60辆。乌兰布统是避暑胜地，是摄影家的天堂。'], '景区资质': ['国家3A级景区'], '景区特色': ['民族特色、历史、影视、草原从您位置到乌兰布统草原']}",110,234,"{'最佳游览时间': ['夏秋'], '购物推荐': ['美食：烤羊腿、酒煳羊肉、达里湖鱼、马奶酒、山野菜、风干牛肉、套马杆酒。']}","{'景区位置': ['中国>内蒙古自治区>赤峰市>克什克腾旗>浩来呼热苏木>乌兰布统苏木>应昌街道>热水塘街道>西拉沐沦街道'], '到达方式': ['1.乘车路线：', '北京、大连、沈阳、哈尔滨每天都有往返赤峰的火车，从赤峰汽车站乘到克旗经棚镇的长途汽车，在克旗汽车站可乘到乌兰布统旅游开发区的车前往乌兰布统景区', '2.自驾路线：', '从北京出发走承德线只需4个小时就能到达。']}",{'乌兰布统草原门票价格': ['120元/人']},['全天']
赤峰曼陀山庄,内蒙古,赤峰市,克什克腾旗,"{'景区简介': ['曼陀山庄，号称塞北第一庄，坐落在内蒙古自治区赤峰市克什克腾旗经棚镇。这里既有山川、湖泊、沙漠、丛林、草原等自然美景，亦有辽、元代人文古迹。东临贡格尔草原，南临小腾格里沙漠，西面是灌木丛林，北面是内蒙四大名湖之一的达里湖；另外毗邻元代龙兴寺遗址、净梵水云洞、北元都城鲁王宫遗址、成吉思汗堡等名胜古迹。山庄以古朴秀丽的塞外风光和浓郁的历史人文古迹奇观闻名遐迩。'], '景点分布': ['山庄内的娱乐项目主要包括：遛马观光、骑驼游览、射箭、观赏飞禽翔集、草原日出晚霞奇观，水上游戏、垂钓，奇石欣赏、探险，野外篝火，特色歌舞等。'], '景区资质': ['国家3A级景区'], '景区特色': ['自然景观游、历史文化游、会议、度假、历史古迹、山川、湖泊、沙漠、丛林、草原从您位置到曼陀山庄']}",119,149,"{'最佳游览时间': ['夏季。'], '购物推荐': ['(当地特产)巴林石、达里湖华子鱼、北沙参、桔梗、敖汉荞麦、宁城老窖酒、', '林西水晶、长城挂毯、青铜制品、蒙古刀。', '(特色美食)锅包肉、红烧梅花筋、红烧牛蹄筋、红烧牛尾、干炸华子鱼、瓦氏雅罗鱼。']}","{'景区位置': ['中国>内蒙古自治区>赤峰市>克什克腾旗>浩来呼热苏木>乌兰布统苏木>应昌街道>热水塘街道>西拉沐沦街道>经棚镇'], '到达方式': ['在赤峰火车站(赤峰长途汽车站位于火车站前的广场上)乘至克什克腾旗的中巴，车程约', '5小时，到达克什克腾旗后包车前往即可(曼陀山庄距克什克腾旗政府所在地90公里)。']}",{'曼陀山庄门票价格': ['票价120元。']},['08:00—18:00']
内蒙古克什克腾世界地质公园,内蒙古,赤峰市,克什克腾旗,"{'景区简介': ['克什克腾地质公园以第四纪冰臼群和花岗岩石林地貌及地质构造为主要特色，是极具价值的大型综合地质公园。公园内自然风光独特，生态类型多样，民族风情浓郁。世界上独一无二的“内蒙古石林”，中国东部规模最大、发育最全、保存最完整的第四纪冰川地貌，神奇罕见的大型岩臼群，逶迤千里的西拉木伦河，烟波浩淼的达里湖，珍奇稀有的沙地云杉，辽阔坦荡的贡格尔草原与闻名遐迩的史前文化遗存，底蕴深厚的蒙古族文化交相辉映，共同塑造了“塞北金三角”——美丽的克什克腾。克什克腾世界地质公园是探索自然奥秘的乐园，是学习地学知识的天然课堂，也是追溯人类发展历史的百科全书。'], '景点分布': ['克什克腾世界地质公园位于赤峰市克什克腾旗，保护面积为5000平方公里。公园由阿斯哈图、平顶山、西拉木伦、青山、黄岗梁、热水、达里诺尔、浑善达克和乌兰布统9个园区组成，有第四纪冰川遗迹、花岗岩地貌、高原湖泊、河流、火山地貌、沙地、草原、温泉及高原湿地等景观，地质博物馆内设有地质遗迹厅、生态环境厅、4D影院，标本陈列厅、游戏厅、贵宾接待室、历史文化厅和图书馆，通过图片展示、文字说明、电子设备演示及实物等展示形式，将公园内地质遗迹、自然景观和人文景观展现出来。'], '景区资质': ['国家4A级景区'], '景区特色': ['休闲、登山、探险、娱乐、地质']}",2,29,{'最佳游览时间': ['夏秋两季']},"{'景区位置': ['中国>内蒙古自治区>赤峰市>克什克腾旗>浩来呼热苏木>乌兰布统苏木>应昌街道>热水塘街道>西拉沐沦街道'], '到达方式': ['赤峰赤大高速、省际通道240公里克旗']}","{'克什克腾世界地质公园门票价格': ['阿斯哈图、乌兰布统：120元，包含景区门票及景区内观光旅游巴士车费（不包括观光车费用）', '青山：80元，索道40元', '达里诺尔：北岸90元包括景区大门票、博物馆门票及观光车费，南岸120元包括曼陀山、碧海银滩两个景点及观光车费', '浑善达克：40元', '【优惠人群政策】1.2米（含1.2米）以下儿童免票，残疾人、新闻总署颁发的记者、70周岁（含70周岁）以上老人，持有效证件免大门票，收取观光车车费20元/人。1.2米以上、18周岁以上未成年人，大学本科及以下学历学生，65周岁（含65周岁）至69周岁老人，持有效证件享受半价。']}",['07:30~17:30']
赤峰将军泡子,内蒙古,赤峰市,克什克腾旗,"{'景区简介': ['赤峰将军泡子是当年康熙皇帝亲征，击溃漠西葛尔丹叛军的地方。这里水面开阔，四面环山，是拍晚霞照片的最佳地点。水中芦苇丛生，错落有致，好像是给摄影师安排的道具。每天下六点多钟时，会有一大群马飞奔到湖边来喝水，群马入水，溅起的水花非常漂亮。夜幕降临，在泡子边的蒙古包里住一晚，围坐在篝火旁欣赏如泣如诉的马头琴和抑扬悲壮的蒙古长调，能不又是一番情怀。夜深，枕边细细体味寂静草原之夜浪漫情趣，耳旁风吹芦苇的沙沙声会催人入眠。清晨早起呼吸草原清新空气，观湖面晨光，看第一线阳光把眼前的一切都染成金色。赤峰将军泡子位于内蒙古赤峰市克什克腾旗赛罕坝国家森林公园内。'], '景点分布': ['据史书记载和民间说法，葛尔丹是漠西蒙古准葛尔的统治首领，由于所处的伊犁地区物产非常丰富，葛尔丹的野心也不断地膨胀，在沙俄不怀好意的纵容支持下，除了不断地侵犯漠北蒙古(今外蒙古)、漠南蒙古(今新疆南部)，还狂妄地宣称要夺取黄河为饮马槽，葛尔丹于1685年率兵打到了塞罕坝，并且就在将军泡子这里布下了由几万峰骆驼组成的骆驼阵，清军的大炮万炮齐鸣，惊散了葛尔丹的骆驼阵，葛尔丹只好落荒而逃。强烈的震动改变了此地的地理结构，致使地下水涌出形成了一个大泡子，由于在大战中康熙皇帝的舅父，佟国纲将军血浴沙场，将军泡子由此得名。'], '景区特色': ['摄影、登山、草原风情游、湖泊、山川、草原从您位置到将军泡子']}",79,137,{'最佳游览时间': ['7月-10月最佳。夏季是避暑的好去处，秋季五彩斑斓，是摄影的好去处。']},"{'景区位置': ['中国>内蒙古自治区>赤峰市>克什克腾旗>浩来呼热苏木>乌兰布统苏木>应昌街道>热水塘街道>西拉沐沦街道'], '到达方式': ['游客可先乘火车到河北四合永站下，然后转乘前往围场县城的中巴车（也可包车直接前往塞罕坝', '国家森林公园），抵达围场县城后，在县城汽车站乘坐前往机械林场的班车（最早的一班为', '05：30，票价为12元左右），然后在机械林场包车前往塞罕坝国家森林公园即可。']}",{'将军泡子门票价格': ['票价2元。']},['8：00－17：30']
克什克腾旗热水塘温泉疗养旅游区,内蒙古,赤峰市,克什克腾旗,"{'景区简介': ['克什克腾旗热水塘温泉是我国第二大甲级温泉，已开发利用有一千多年的历史。区内泉水清澈，矿物质丰富，被誉为“东方神泉圣水”。热水塘地形特殊，铁路高架，隧道密集，我国以蒸汽机车为牵引动力的集通铁路即在此穿过。每到冬季，浓浓的蒸汽从火车头散布开来，犹如蛟龙吐雾，蔚为壮观。集通铁路与温泉疗养相得益彰，使得这个北国小镇近年来大放异彩。'], '景点分布': ['热水塘温泉久负盛名，康熙皇帝就曾在此沐浴，称其“宝似金汤”。温泉中含有47种微量元素，对治疗风湿、高血压和皮肤病有着独特疗效，为世界罕见。热水塘不仅有着丰富的疗养资源，其境内的集通铁路还是国际蒸汽机摄影爱好者的创作基地。浓厚的生活气息和艺术文明在此交汇，让前来观赏的游客们流连忘返。'], '景区特色': ['摄影、休闲、温泉、铁路、蒸汽火车、铁路、温泉从您位置到热水塘温泉']}",65,73,{'最佳游览时间': ['全年适宜，冬季最佳。']},"{'景区位置': ['中国>内蒙古自治区>赤峰市>克什克腾旗>浩来呼热苏木>乌兰布统苏木>应昌街道>热水塘街道>西拉沐沦街道>经棚镇'], '到达方式': ['热水塘景区内有303国道和集通铁路穿过，游客可乘坐火车、大巴或自驾前往。']}",{'热水塘温泉门票价格': ['进入小镇免费，不同宾馆的温泉洗浴价格也会有所差别。']},['全天。']
内蒙古达里诺尔自然保护区,内蒙古,赤峰市,克什克腾旗,"{'景区简介': ['达里诺尔自然保护区位于内蒙古赤峰市克什克腾旗的西部，距克什克腾旗人民政府所在地经棚镇约90公里，总面积119413.55公顷。达里诺尔国家级自然保护区是一个以保护珍稀鸟类及其赖以生存的湖泊、河流、沼泽型湿地，草原，林地、沙地等多样性的生态系统和火山遗迹、历史文化古迹为主的综合性自然保护区。'], '景区特色': ['摄影、户外、自驾、湖泊、河流、湿地从您位置到达里诺尔']}",36,77,{'最佳游览时间': ['四季皆宜']},"{'景区位置': ['中国>内蒙古自治区>赤峰市>克什克腾旗>浩来呼热苏木>乌兰布统苏木>应昌街道>热水塘街道>西拉沐沦街道'], '到达方式': ['自驾路线：', '赤峰市→玉龙大街→S206→赤大高速公路→丹锡高速公路→G303→达里诺尔国家级自然保护区。']}",{'达里诺尔门票价格': ['无']},['全天']
