name,province,city,location,desc,want,has_been,strategy,route,ticket_info,open_time
吉林长春净月潭景区,吉林省,长春市,南关区,"{'景区简介': ['吉林长春净月潭被誉为绿色明珠，位于长春市东南部，距长春市中心12公里，素有台湾日月潭姊妹潭之称。面积96.38平方公里，林地面积83.23平方公里，森林覆盖率96%，被誉为“亚洲第一大人工林海”。', '净月潭因筑坝蓄水呈弯月状而得名，因山清水秀而闻名，是以山、林、水为主体的生态旅游景区，以森林景观和冰雪旅游为特色，伴以潭水群山自然风光，融合关东风情和人文历史。旅游区青山、潭水相映成辉，组成春踏青、夏避暑、秋赏叶、冬玩雪的美景佳境。'], '景点分布': ['净月潭一年四季，景色各异，令人目不暇接，是春季踏青、夏季避暑、秋季赏红叶、冬季滑冰、滑雪的绝佳去处。景区分为潭北山色、潭南林海、月潭水光和潭东村舍四个景区，水景为主，山村衬托，植被丰富，有大片森林、山花、药用植物及脊椎动物82种，鸟类60余种。'], '景区资质': ['国家5A级景区'], '景区特色': ['别墅、高尔夫球场、综合服务项目和冰雪旅游、水上娱乐、森林旅游、民俗旅游、净月潭']}",587,2073,"{'旅游攻略': ['长春净月潭国家森林公园冬季冰雪特色游，中国长春净月潭冰雪旅游节，让您尽览千里冰峰、万里雪飘世界的无穷乐趣。'], '最佳游览时间': ['春、冬、秋三季'], '购物推荐': ['土特产：红景天、林蛙、不老草、灵芝、蕨菜、薇菜、黑木耳等。', '工艺品：长春木雕、德惠草编等。']}","{'景区位置': ['中国>吉林省>长春市>南关区>富裕街道'], '到达方式': ['102路：三马路—净月潭', '120路：电影城—净月潭', '160路：火车站—净月潭']}","{'净月潭门票价格': ['30元/人', '晚上6点后免费']}",['8：00-21：00']
长春长影世纪城,吉林省,长春市,南关区,"{'景区简介': ['长影世纪城是一座集世界上最先进的各种特效电影于一体得影视主题公园。它位于吉林省长春市美丽的净还有就是月潭畔，是我国首家电影制片工业与旅游业相结合的电影主题公园，堪称东方好莱坞，是借鉴美国好莱坞环球影城和迪斯尼游乐园的精华建造而成。'], '景点分布': ['长影世纪城有亦真亦幻的电影场景，更洋溢着童话世界的美丽泡沫；这里展示了世界主题公园巨人好莱坞环球影城和迪士尼乐园的精华，汇集着三维巨幕、4D特效、激光悬浮、立体水幕、动感球幕等最先进、种类最齐全的特效电影。'], '景区资质': ['国家4A级景区'], '景区特色': ['娱乐、休闲、电影场地、电影城、主题乐园']}",489,1904,"{'旅游攻略': ['除了好看刺激的电影，多彩的园区活动也令人流连忘返。巴西桑巴舞团连续180多场的演出，用激情点燃了这座“东方好莱坞”；俄罗斯艺术之花舞蹈团带来了浓郁的俄罗斯风情；显示长春深厚电影底蕴的电影人物大游行；精彩的杂技艺术巡演；滑稽幽默的“小丑节”“光棍节”“情人节”“欢乐儿童节”“中华绝技狂欢节”“魔法节”“水上奥运会”等，精彩的节目犹如一座地标，把长影世纪城深深刻入长春这座城。'], '游览路线': ['创新科技线路：祝福泉→欢乐岛→4D特效电影→激光悬浮电影→立体水幕电影→动感球幕电影→三维巨幕电', '惊险刺激路线：祝福泉→欢乐岛→神州号→火山爆发体验演艺之旅：祝福泉→欢乐岛→电影探秘馆→电影特技馆→霹雳特工', '游艺欣赏线路：祝福泉→欢乐岛→儿童乐园→神秘古树益智体验线路：祝福泉→欢乐岛→4D特效电影→激光悬浮电影→电影特技馆→神州号→火山爆发→立体水幕电影→动感球幕电影→八卦阵→神秘古树→霹雳特工→三维巨幕电影→电影探秘馆'], '最佳游览时间': ['四季皆宜'], '购物推荐': ['吉林人参、吉林鹿茸、吉林紫貂皮、长春老茂生糖果、长春木雕、长春市鼎丰真糕点、德惠草编']}","{'景区位置': ['中国>吉林省>长春市>南关区>富裕街道'], '到达方式': ['在长春市内乘19、120、230、262、264路等车可达。']}","{'长影世纪城门票价格': ['4月1日至10月31日：240元，16：00后半价（不体验动感球幕影院、航天影院）。', '11月1日至3月31日：198元，15：00后半价（不体验动感球幕影院、航天影院）。', '指定日——星期二（节假日除外）：全天半价票（不体验动感球幕影院、航天影院）', '动感球幕影院：60元', '航天影院：40元']}",['9：00-17：30']
长春世界雕塑公园,吉林省,长春市,南关区,"{'景区简介': ['长春世界雕塑公园是集自然山水与人文景观相融的一座现代城市雕塑公园。它位于长春市主干道人民大街南端，占地90公倾，是一个融汇当代雕塑艺术，展现各种雕塑艺术流派的主题公园。'], '景点分布': ['长春世界雕塑公园是一座以自然山水与人文景观相融为特色、以“友谊·和平·春天”为主题、以东西方文化艺术相融合为理念的大型现代雕塑艺术主题公园。园内的著名作品有程允贤老先生创作的《铁马金戈》、陈云岗的《大江东去》、德国雕塑家迈希亚斯的《平安》、非洲马孔德木雕作品等。园内还拥有由来自世界212个国家和地区的397位雕塑家创造的441件涵盖当今世界多样艺术风格，如《思想者》《飞翔》、《观察家》，《尼罗河》、《春之爱》、《海花》、《盘古》等。'], '景区资质': ['国家5A级景区'], '景区特色': ['雕刻作品、公园从您位置到雕塑公园']}",198,1012,{'最佳游览时间': ['夏季']},"{'景区位置': ['中国>吉林省>长春市>南关区>富裕街道'], '到达方式': ['位于吉林省长春市人民大街9518号（卫星广场南行850米）。可乘公交66、112、130、240、236、252、270、306、315路到雕塑公园站下车即可。']}","{'雕塑公园门票价格': ['公园30元，通票60元', '长春雕塑艺术馆30元', '松山韩蓉非洲艺术收藏博物馆30元']}","['冬季08:00-16:30', '夏季08:00-17:30']"
东北师范大学,吉林省,长春市,南关区,"{'学校简介': ['东北师范大学（简称东北师大或东师，英文名NortheastNormalUniversity，英文缩写NENU）是国家教育部直属的“211工程”重点建设大学。“985”优势学科创新平台高校、教育部批准的设有研究生院的高校之一，以及“111计划”高等学校学科创新引智计划重建高校。'], '地点分布': ['东北师范大学，1946年建校，是中国共产党在东北地区创建的第一所综合性大学，位于吉林省长春市。现有本部和净月两个校区，总占地面积167万平方米。其中本部校区占地73万平方米，净月校区占地94万平方米。校本部坐落在南关区人民大街5268号；净月校区在吉林省长春净月开发区净月大街2555号。从您位置到东北师大']}",120,968,{},"{'学校位置': ['中国>吉林省>长春市>南关区>富裕街道'], '到达方式': ['到达长春火车站后，步行至长春东站，乘106路公交车，在近埠街站下车，后转乘111路，在自由大路站下车，前行200米，即为东北师范大学的正门，全程约50分钟。']}",{},{}
长春旧八大部,吉林省,长春市,南关区,"{'景区简介': ['长春旧八大部以地质宫为中心，是伪满洲国的八大统治机构旧址所在。八大部各幢大楼的建筑风格各不相同，集中西方风格为一体，既有外观宏伟的大楼，又有垂花拱门的庭院。这些建筑群在新民大街两侧繁华绿树之中隐隐而现，将整条街装点得典雅清净。'], '景点分布': ['旧八大部座落于新民大街，包括军事部（治安部）、司法部、经济部、交通部、兴农部、文教部、外交部、民生部，皆为末代皇帝爱新觉罗·溥仪所建。八大部与伪满国务院、伪满综合法衙（司法检察机关）共同将一条普通的街道赋予了浓重的历史色彩。'], '景区特色': ['参观、访古、历史游、建筑游、古迹、建筑从您位置到旧八大部']}",69,406,"{'旅游攻略': ['旧八大部与南湖公园相邻，游客可以在一天内游览。'], '最佳游览时间': ['四季皆宜'], '购物推荐': ['（当地特产）人参、鹿茸、紫貂皮、老茂生糖果、木雕、胡记真不同酱菜、鼎丰真糕点、德惠草编。', '（特色美食）桂林路的小吃、满族八大碗、长春酱肉、冻饺子、蹄花丝、熏肉大饼等。']}","{'景区位置': ['中国>吉林省>长春市>南关区>富裕街道'], '到达方式': ['乘车路线：可乘坐238路、258路、267路、367路到新民大街下车即可。']}",{'旧八大部门票价格': ['免费']},['全天']
长春东北虎园,吉林省,长春市,南关区,"{'景区简介': ['长春东北虎园既是以散养东北虎为主的生态型野生动物园，又是全省最规范的野生动物救护繁育基地。园区位于山水相依、景色怡人的净月潭风景区腹地，群山叠翠，碧水微澜，虎跳松林，鸟鸣山谷。得天独厚的自然生态环境，可使游人真切地体验自然之美，是游人休憩、观赏的圣地，是孩子们的科普宣教中心，是生态文明与和谐社会的展现。'], '景点分布': ['东北虎园位于净月大街10500号，占地50余公顷。园内分为熊猫馆、猛兽观赏区、生态广场、生态长廊、天鹅湖、熊猫馆、百鸟园、表演场、藏獒馆、环尾狐猴馆、食草动物区、猴山、火烈鸟馆、鹈鹕湾，放养大熊猫、东北虎、非洲狮、黑熊、棕熊、马来熊、藏獒、牦牛、矮马、羊驼、驯鹿、梅花鹿、环尾狐猴、平顶猴、弥猴、丹顶鹤、火烈鸟、东方白鹳、白鹤、鹈鹕、鸸鹋、鸵鸟、金雕、秃鹫、孔雀、大鸨等珍稀野生动物60余种，2000多头（只）。'], '景区资质': ['国家5A级景区'], '景区特色': ['休闲、娱乐、科普、动物园从您位置到长春东北虎']}",7,17,"{'旅游攻略': ['鸟类表演：9:00、11:30、14:00、16:00，时长20分钟，百鸟园。', '动物表演：10:00、12:30、15:00，时长40分钟，动物表演场。'], '最佳游览时间': ['夏秋两季']}","{'景区位置': ['中国>吉林省>长春市>南关区>富裕街道'], '到达方式': ['地铁3号线、102路、334路、335路、340路长影世纪城站', '335路勤俭路口站']}","{'长春东北虎门票价格': ['大门票60元', '熊猫馆40元', '免费：1.2米及以下儿童、65岁及以上老人', '半价：60-64岁老人、现役军人、学生']}",['08:30-17:00']
长春动植物公园,吉林省,长春市,南关区,"{'景区简介': ['长春动植物公园是以动植物保护和观展为主要社会职能的专类林园，其前身是始建于1938年的“新京动植物园”，当时以其面积之大、展出的动植物品种之多号称“亚洲第一”。公园同时担负有野生动植物科普宣传、保护教育、动植物科研、地震宏观观测、休闲娱乐等功能，常年开展多项保育活动，在濒危物种保护、科普宣传等方面不断前进，是长春最受欢迎的休闲胜地。'], '景点分布': ['长春动植物公园位于自由大路2121号，占地面积74公顷。建设有虎山、中型馆、雉鸡馆、大鴇馆、走禽馆、水禽馆、犀牛大象馆、斑马馆、长颈鹿馆、猩猩馆、河马馆、麋鹿馆、熊舍、猴山等大型馆所，现有世界各地野生动物120余种、数量1200余头（只），植物现有134种，8万余株（不含绿篱）。'], '景区资质': ['国家4A级景区'], '景区特色': ['休闲、科普、娱乐、公园、动物园']}",2,108,"{'最佳游览时间': ['四季皆宜'], '购物推荐': ['动物公仔等。']}","{'景区位置': ['中国>吉林省>长春市>南关区>富裕街道'], '到达方式': ['乘车路线：', '正门（南门）：80路、265路、227路、228路、25路、160路、238路', '北门：277路、226路、241路、17路', '西门：286路、25路、241路', '东门：17路、265路、25路、125路、271路、246路']}","{'长春动植物公园门票价格': ['成人门票每人次30元。', '中小学生凭学生证、60周岁以上老人凭身份证享受半票，每人次15元。', '身高1.2米以下儿童、70周岁以上老年人凭老年证、有残疾证的残疾人、持证现役军人免票。']}","['夏季：08:00-17：00', '冬季：08:00-16:30']"
长春般若寺,吉林省,长春市,南关区,"{'景区简介': ['长春般若寺是长春市最大的佛教庙宇，从古至今都是长春佛教的中心。般若寺建造精美，殿堂耸立，树木成荫，无论是画栋雕梁，还是壁画重彩，都令人称绝；气势磅礴的佛像更是增添了庄严肃穆感；而香客自然是络绎不绝，名传遍地。'], '景点分布': ['般若寺位于长春市中心的人民广场东北角，是一座环境优美的寺院。从山门开始，建有钟鼓楼、天王殿、弥勒殿、大雄宝殿、西方三圣殿、观音殿、地藏殿，另配有禅堂、斋堂等。寺庙最引人注目的是高约二米的释迦牟尼塑像和露天观世音菩萨像，令人叹为观止。每逢佛家节日，寺钟齐鸣，悠扬千里。'], '景区特色': ['参观、拜佛、访古、宗教、古迹从您位置到般若寺']}",68,357,"{'旅游攻略': ['1.每逢农历四月初八、十八、二十八会举行庙会，届时来这里游览观光的人们常达数万，摩肩接踵，热闹非凡。', '2.寺外门口每天都有算卦、卖香、抽签，不是寺院所为，请游客谨慎以防上当受骗。', '3.寺外买香价钱较贵，建议上香的人在寺内佛经流通处购买。'], '最佳游览时间': ['四季皆宜'], '购物推荐': ['（当地特产）人参、鹿茸、紫貂皮、老茂生糖果、木雕、胡记真不同酱菜、鼎丰真糕点、德惠草编。', '（特色美食）桂林路的小吃、满族八大碗、长春酱肉、冻饺子、蹄花丝、熏肉大饼等。']}","{'景区位置': ['中国>吉林省>长春市>南关区>富裕街道'], '到达方式': ['乘车路线：可乘坐3路、12路、13路、17路、22路、112路、124路、213路、256路、267路、274路、312路，直达般若寺。']}",{'般若寺门票价格': ['免费']},"['08：00-16：00', '注：每年十月初一到腊月二十三为闭关清修，不对外开放。']"
长春东北民族民俗馆,吉林省,长春市,南关区,"{'景区简介': ['长春东北民族民俗馆是我国东北地区展示东北古今民族最多，展现区域民俗事象最丰富的综合性博物馆，也是市民、学生了解和学习东北民族民俗的课堂，也是休闲度假、旅游观光的景点之一。中国东北地区包括黑龙江、吉林、辽宁以及内蒙古部分地区，这里是满族的发祥地，此外还生活着蒙古族、朝鲜族、鄂伦春族、鄂温克族等少数民族居民。在这座展馆内，游客可以全方位了解这些民俗的历史文化，感受我国少数民族的魅力。'], '景点分布': ['东北民族民俗馆位于世纪广场南侧，占地面积3.1万平方米。展馆馆藏民族民俗类文物4万余件，设东北古代民族民俗、东北近现代民族民俗、东北代表性行业作坊三个基本陈列展区和若干专题展区，各展区采用实物、图表、文字、沙盘、场景复原等传统展出方式及电子模拟、影像合成等现代技术手段，展示了东北民族民俗事象及其最新研究成果。'], '景区资质': ['国家4A级景区'], '景区特色': ['历史文化、民俗文化、博物馆从您位置到东北民族民俗馆']}",1,13,{'最佳游览时间': ['四季皆宜']},"{'景区位置': ['中国>吉林省>长春市>南关区>富裕街道'], '到达方式': ['轻轨民俗馆站，115路、120路副线、103路、341路、342路、343路、345路、346路、347路、348路、349路、350路均可直达。']}","{'东北民族民俗馆门票价格': ['全价票：50元', '优惠票30元：大学生和省外中小学生及未成年人，60岁至70岁老人，吉林省内少数民族', '现役军人、70岁以上老年人、残障人士、吉林省中小学生、中国博物馆协会会员凭有效证件免费（吉林省中小学生的有效证件包括学生证、学校出具带有公章的证明、身份证、护照、户口本）', '1.4米以下儿童免费，必须有成人陪同参观', '东北师大的教职员工、学生、离退休职工凭有效证件免费']}","['每周二至周日开放，周一闭馆', '参观时间：9:00至16:00', '售票时间：9:00至15:00']"
长春孔子文化园,吉林省,长春市,南关区,"{'景区简介': ['长春孔子文化园是在原长春文庙的基础上修复扩建而成的孔子文化圣地，是长春市开展传统民间活动，传承国学文化的重要场所。文化园遵守“守旧顾新”的原则，最大限度的保持历史原貌，通过均衡的空间布局与高超的建筑艺术，将古建筑群巧妙地融为一体，斗拱飞檐，雕梁画栋。人文与自然景观的相辅相成，也营造出一种休闲游览的理想空间，置身于此，令人心旷神怡，流连忘返。'], '景点分布': ['孔子文化园位于亚泰大街与二道街交汇处，占地面积约1.2万平方米。文化园分为中部文保区、东部教育区、西部文化区三个部分，有泮桥、泮池、棂星门、大成门、圣泉井、文昌亭、大成殿、崇圣殿、文昌阁、魁星楼等文物建筑，设《儒圣孔子——艺术精品展》、《开科取仕——中国科举文化专题展》、《圣迹儒风——中国文庙历史沿革展》，颇具特色。'], '景区资质': ['国家4A级景区'], '景区特色': ['历史文化、名人文化、古迹']}",0,6,"{'最佳游览时间': ['四季皆宜'], '购物推荐': ['文化纪念品']}","{'景区位置': ['中国>吉林省>长春市>南关区>富裕街道'], '到达方式': ['103路、342路、343路、345路、346路、347路，二道街站；152路文庙站。']}",{'长春孔子门票价格': ['10元/人，周六全天免费开放']},['9:00～16:00']
