name,province,city,location,desc,want,has_been,strategy,route,ticket_info,open_time
通化云霞洞,吉林省,通化市,二道江区,"{'景区简介': ['通化云霞洞是长白山西麓火山群中最为典型的一座，是目前国内最大的火山岩溶洞、中国北方最富魅力溶洞景观和长白山科考最理想的岩石标本库。通化云霞洞是第四纪火山活动所遗留下的一处天然洞穴，洞道上下起伏、左右迂回，厅中怪石嶙峋，千姿百态，不仅有火山活动遗留下的气势恢宏的岩浆通道，更记录了长白山地从六亿年前至今的地质演变过程，是集景色观赏、科学考察、体验探险和休闲度假为一体的旅游度假圣地。'], '景点分布': ['云霞洞位于二道江区鸭园镇以东3公里处万寿山上，占地面积80万平方米。景区分为溶洞核心区、休闲度假区、娱乐游戏区和商务服务区等多个功能区块域，洞内石钟乳、石笋、石柱、石蔓、石管、石花、石瀑、石珊瑚等形状绝妙，钟乳石形成的观世音、福禄寿三星、女娲、碧水金睛兽、巨龟、宝塔等造型惟妙惟肖；洞外还有滑草场、CS野战基地、高空断桥、巨人梯、高空吊桩、孤岛求生、空中吊环等拓展设施。'], '景区资质': ['国家4A级景区'], '景区特色': ['探险、猎奇、科普、溶洞']}",14,4,{'最佳游览时间': ['四季皆宜']},"{'景区位置': ['中国>吉林省>通化市>二道江区'], '到达方式': ['沿国道201（南线）前行，途径二道江区鸭园镇鸭园大桥，顺省道301前行3公里处']}","{'云霞洞门票价格': ['120元', '半票：儿童身高在1.2米——1.4米之间，中、小学生团体，现役军人团体', '1.2米以下免票']}",['8:00—17:00']
梅河口市五奎山风景名胜区,吉林省,通化市,梅河口市,"{'景区简介': ['五奎山风景区重点突出寺院宗教特色，是兼有旅游、观光、度假、游艺、民俗风情、商贸活动等综合性服务功能的风景名胜区。山脉的绵延起伏，寺院的清幽，共同交织成似神仙般的闲暇生活。'], '景点分布': ['五奎山风景区现已开发寺庙宗教区、民俗风情区、管理服务区、风景游览区。风景区内的龙泉寺十分引人瞩目，其大雄宝殿的规模宏大，是东北最大的大雄宝殿。'], '景区资质': ['国家3A级景区'], '景区特色': ['旅游、观光、度假、宗教、园林、山水从您位置到五奎山']}",42,85,"{'最佳游览时间': ['四季皆宜'], '购物推荐': ['（当地美食）梅花海参、吉酱窝头、特色扒猪脸、锦绣松仁、灯笼蒸肉等。']}","{'景区位置': ['中国>吉林省>通化市>梅河口市'], '到达方式': ['可乘坐到达沈吉铁路莲河车站的汽车，下车后可打车前往景区，大约10元可达；也可在通化客运站乘坐开往梅河口的汽车到达景区。']}","{'五奎山门票价格': ['大门免费', '龙泉寺、祥云塔等需要另购门票，开放时间为8：00-18：00。']}",['8：00-18：00']
梅河口鸡冠山景区,吉林省,通化市,梅河口市,"{'景区简介': ['梅河口鸡冠山景区山峰秀丽入云，树木繁茂苍翠，是梅河口市境内最高、最大的山脉群，被游客们赞誉为“中华小泰山”。景区内空气清新宜人，山脉绵延不断，更有少有的“三海”奇观和历史遗迹，既是科考、野营、教学的重要场所，又是旅游观光、避暑度假的理想胜地。'], '景点分布': ['鸡冠山拥有思乡亭、心亭、情人谷、同心锁、姻缘树、玉龙泉、卯日星官洞、天仙四姐妹、云龙望月、人参仙女、状元台、正冠台等30多处景点；还有大峡谷、龙王洞、天王塔、三卷书等自然景观，以及石棺古墓群、抗日义勇军“四海山”跳崖处、抗联游击队宿营遗址等人文遗迹。茂密的森林为游客营造了天然森林氧吧的环境，让身心都回归自然。'], '景区资质': ['国家4A级景区'], '景区特色': ['休闲、登山、观光、访古、遗迹、山岳、森林从您位置到鸡冠山']}",46,68,"{'旅游攻略': ['夏季会举办消夏节、登山等活动。'], '最佳游览时间': ['夏秋两季'], '购物推荐': ['（当地特产）梅河大米、耧斗菜、枸杞、松子。', '（特色美食）朝鲜族风味小菜、冷面、馇条、烤肉。']}","{'景区位置': ['中国>吉林省>通化市>梅河口市>吉乐乡'], '到达方式': ['自驾路线：从沈阳出发，沿沈吉高速公路行驶，从山城/柳河/G202出口离开朝山城方向右转；经G202→山城镇南桥→和平桥，过吉庆村后左转，即可。']}",{'鸡冠山门票价格': ['60元/人']},"['春、夏、秋季8:00-17:30', '冬季12月中旬-次年2月中旬滑雪时间8:30-16:00', '2月中旬-4月底闭园']"
梅河口市四季生态园,吉林省,通化市,梅河口市,"{'景区简介': ['梅河口四季生态园属长白山脉系自然风景区，树木繁茂，植被优良，景色优美，清雅宜人，是休闲、观光、旅游、度假、举办各种会议、音乐会、联谊会，欣赏四季美景的最佳去处。'], '景点分布': ['目前生态园已建成六大服务区，即仿古式大门游览区、游客住宿活动区、餐饮服务及会议文体活动区、水上娱乐区、动植物观赏区、冰雪运动区。景区内拥有众多品种的树木，10余种药材，另有数种珍奇野生动物栖居于此。一年四季风景幻化，美景与众不同。'], '景区资质': ['国家2A级景区'], '景区特色': ['休闲、度假、会议、湖泊、森林从您位置到四季生态园']}",40,43,{'最佳游览时间': ['四季皆宜']},"{'景区位置': ['中国>吉林省>通化市>梅河口市>海龙镇'], '到达方式': ['建议自驾，景区距梅河口市19公里，走国道202线可直达。']}",{'四季生态园门票价格': ['5元/人']},['08:00-17:00']
梅河口城市客厅旅游景区,吉林省,通化市,梅河口市,"{'景区简介': ['城市客厅景区原名城市湿地观光带，是市民休闲揽胜的好地方。景区内一派生态风情、四季景色各异、各领风骚。每年6月末开始，各种荷花竞相开放，周边市县的游客和摄影爱好者络绎不绝。观赏型景观建设为广大市民创造一个环境优美、富有现代气息、开放的郊野生态型公共绿地，富有特色的水系建设，让市民领略水的灵秀，享受水的乐趣。'], '景点分布': ['景区位于吉林省梅河口市区辉发河城区段，河两岸筑堤为路，堤两侧独具匠心构筑了姑苏风格的白玉拱桥和亭榭。现有5个广场，8处台阶，15座景观桥，绿化、亮化、景观小品等星罗棋布，荷花养植试验示范基地共栽植池栽、盆栽不同品种的荷花及其它水生植物共约7000株，植有具有长白山风情的白桦、曲柳等树木，以及黄刺梅、金叶榆、红刺梅、孔雀草、多种莲荷等花草，多种野生珍禽在此嬉戏，国际一类濒危保护动物白鹤在此越冬。'], '景区资质': ['国家4A级景区'], '景区特色': ['休闲、赏花、湿地、花卉、河流从您位置到梅河口城市客厅']}",3,1,{'最佳游览时间': ['夏季']},"{'景区位置': ['中国>吉林省>通化市>梅河口市'], '到达方式': ['公交车：A1路梅河口107路梅河口103路内环梅河口106路梅河口201路文体中心站']}",{'梅河口城市客厅门票价格': ['免费']},['全天']
集安高句丽文物古迹旅游景区,吉林省,通化市,集安市,"{'景区简介': ['高句丽文物古迹旅游景区是公元1世纪到7世纪奴隶制国家高句丽王朝的遗迹。在集安市周围的平原上，分布了一万多座高句丽时代的古墓，这就是闻名海内外的“洞沟古墓群”，其中包括有“东方金字塔”之誉的将军坟和被誉为中华第一碑的好太王碑，堪称东北亚地区古墓群之冠。它不仅可以从不同侧面反映高句丽的历史发展进程，也是高句丽留给人类弥足珍贵的文化、艺术宝库。2004年7月1日，高句丽王城王陵及贵族墓葬，被列入《世界文化遗产名录》。'], '景点分布': ['高句丽文物古迹旅游景区位于吉林省东南部，总面积857679平方米，下设集安市博物馆、好太王碑（含太王陵）、将军坟、禹山贵族墓地、丸都山城五个景区。包括国内城、丸都山城2座高句丽王城，将军坟、太王陵、千秋墓、西大墓、临江墓等12座高句丽王陵，五盔坟长川一号墓、冉牟墓、角抵墓、舞踊墓等28座高句丽贵族墓，共计42处高句丽历史遗迹。'], '景区资质': ['国家5A级景区、世界文化遗产'], '景区特色': ['历史文化、古迹遗址王陵从您位置到高句丽文物']}",332,390,"{'最佳游览时间': ['四季皆宜'], '购物推荐': ['猴头蘑、山萝卜、栗子、榛蘑、元蘑、黑木耳、芋头、金鳟鱼']}","{'景区位置': ['中国>吉林省>通化市>集安市'], '到达方式': ['通化客运老站有多次班车开往集安，几乎隔1-2小时就有一趟车，车程2小时；还可以乘火车去集安，通化到集安间每天有一班火车，早上7点多从通化出发，将近12点到集安。']}","{'高句丽文物门票价格': ['将军坟：40元', '五女峰：35元', '国内城：2元', '丸都山城：40元', '贵族墓葬：40元', '太王陵：30元', '好太王碑：40元', '太王碑、将军坟、五盔坟、太王陵、丸都山城，现在为套票，100元/张。']}","['08:00-17:00(夏季)，08:30-16:30(冬季)', '集安市博物馆每天上午8:00-17:00夏季', '每天上午8:30-16:00冬季']"
吉林集安云峰湖景区,吉林省,通化市,集安市,"{'景区简介': ['吉林集安云峰湖景区位于集安市以东、鸭绿江上游40公里处，有以“界河明珠”之称的云峰发电厂，象征中朝友谊纽带的云峰大坝，其岸上鸟鸣，水中鱼跃，蓝天白云，青山碧水构成一幅秀丽的湖光山色，使游人大饱眼福，心旷神怡，流连忘返，是游客体会回归大自然真谛的首选去处。'], '景点分布': ['吉林集安云峰湖景区内的主要景点有：云峰湖、云峰发电厂、云峰大坝、铁塔银线、中朝国境哨、高山飞瀑、寻幽石洞、春早、云水远眺和日伪时期的建筑的铁桥及花园式的街道等，另外如果赶上大坝泄洪，还可以看到玉湖飞瀑的壮丽场面。景区内住宿设有云峰宾馆、云峰湖家庭度假公寓、导游接待部、景区内交通设施也很齐全，主要旅游车辆、游船、快艇、商务艇、漂流艇、水运码头等。'], '景区资质': ['国家3A级景区'], '景区特色': ['旅游、度假、湖泊从您位置到云峰湖']}",205,178,"{'最佳游览时间': ['四季皆宜'], '购物推荐': ['水产：水库中有鲫鱼、鲤鱼、草鱼、鲇鱼、白鲢；', '林木：红松、山葡萄、山核桃、板栗、黑木耳；', '中药：山参、党参、五味子；', '山野菜：蕨菜、猴腿儿、刺嫩芽、山糜子、大叶芹、刺五加。']}","{'景区位置': ['中国>吉林省>通化市>集安市'], '到达方式': ['专线车：每天四班，发车时间分别为6:45、8:05、9:05和10:05；另外也可乘坐云峰湖的景区游览专线车，发车时间为上午7：00，坐出租车一般每人30元。']}",{'云峰湖门票价格': ['20元／人']},['8:00－17:00']
五女峰国家级森林公园,吉林省,通化市,集安市,"{'景区简介': ['五女峰国家森林公园，奇峰美景，冬暖夏凉，枫叶彤红，形成天然仙境。是以幽美的自然景观为主体、人文景观和历史遗迹为衬托的森林风景旅游区。'], '景点分布': ['景区现已对游人开放了老虎岩景区、幽谷银瀑景区、观峰台景区、五女峰景区、洞天皓月景区、仙人台景区、美容泉景区、园址景区等八大景区，在这八大景区内共有自然景观和人文景观30多处，如五女戏水、飞来石、一线天、幽谷银瀑、观峰台、太昊宝座、仙佛洞、登天崖、长寿台、仙人台、五女峰、古代高丽采石场、藏心洞、骆驼峰、美容泉等，集中展现了当地独特的动植物资源和瑰丽的自然景观。'], '景区资质': ['国家2A级景区、省级名胜景区'], '景区特色': ['登山、观光、森林、山石、瀑布从您位置到五女峰']}",196,263,{'最佳游览时间': ['10月-次年4月']},"{'景区位置': ['中国>吉林省>通化市>集安市'], '到达方式': ['乘车路线：', '1.乘集安至通化、沈阳、哈尔滨、梅河、辽源、白山客车均可到达景区，发车时间从早4：30至晚5：00之间，车程在25分钟左右，票价为4.5-6元/人（车型不同，票价不同）。', '2.乘坐出租车，上车前讲好价格，一般15元即可到。', '', '自驾路线：从集安市火车站出发，沿鸭江路向东至集青公路，3公里处左转至集锡公路，沿集锡公路行至21公里处到达景区下山门，至22公里处到达景区上山门。']}","{'五女峰门票价格': ['门票60元，往返电瓶车30元。', '免票政策：儿童身高1.2米以下免费；70周岁以上老年人、集安本地军人凭军官证免票。', '优惠政策：儿童身高1.2—1.4米购景区优惠票（上述优惠政策，需到景区自行购买）。']}",['08:00-16:30(最晚入园16:00)']
通化振国养生谷壹号庄园,吉林省,通化市,通化县,"{'景区简介': ['通化振国养生谷壹号庄园是一座集商务、旅游、度假、休闲、养生为一体的养生谷。庄园自然风光独特，有着古老的传说“人参之路”，又有久远的满清历史文化，加之完善的硬件设施，使得这里成为中国医疗康复旅游第一村。'], '景点分布': ['振国养生谷壹号庄园位于通化县西北英额布水库区，面积1136公顷。主要建筑有：度假别墅、风情古堡、度假酒店、滨水餐厅、森林木屋、努尔哈赤密营、停机坪、山神庙、生命健康大坝、佛塔等。'], '景区资质': ['国家4A级景区'], '景区特色': ['休闲、养生、娱乐、度假村从您位置到壹号庄园']}",0,2,{'最佳游览时间': ['四季皆宜']},"{'景区位置': ['中国>吉林省>通化市>通化县>西江镇>通化聚鑫经济开发区特殊乡镇>东宝新村'], '到达方式': ['G201-同德路-鹤大高速公路-通沈高速公路-沈长线-英水线-英额布水库']}","{'壹号庄园门票价格': ['雪上飞碟成30元', '雪上摩托车(一圈)30元', '滑雪50元', '真人CS50元']}",['09:00--16:00']
通天山葡萄酒文化科技产业园,吉林省,通化市,通化县,"{'景区简介': ['通天山葡萄酒文化科技产业园拥有国内唯一以山葡萄酒文化为主题的博物馆，是一处酒文化为主的综合景区。景区通过深入挖掘长白山脉野生山葡萄酒酿造技艺，传承山葡萄酒的历史脉搏，打造民族葡萄酒品牌等方面来展示山葡萄酒历史渊源，也让人们了解通天酒业的文化与荣誉。'], '景点分布': ['通天酒业山葡萄酒文化产业园坐落在聚鑫经济开发区通化通天酒业有限公司主厂区内，占地面积约12万平方米。园内分为葡萄酒生产车间、原酒贮藏车间、山葡萄种植示范园、中国山葡萄酒博物馆、功能性地下储酒窖等参观游览区域，设丽园宾馆一座，提供餐饮、娱乐、住宿服务。'], '景区资质': ['国家4A级景区'], '景区特色': ['休闲、工业游、民俗文化、博物馆从您位置到通天山葡萄酒']}",0,1,"{'最佳游览时间': ['秋季'], '购物推荐': ['山葡萄酒']}","{'景区位置': ['中国>吉林省>通化市>通化县>西江镇>通化聚鑫经济开发区特殊乡镇>东宝新村'], '到达方式': ['鹤大线→团结路→通天酒业有限公司']}",{'通天山葡萄酒门票价格': ['60元']},['8:30-16:00']
