name,province,city,location,desc,want,has_been,strategy,route,ticket_info,open_time
青岛海滨风景区,山东省,青岛市,市南区,"{'景区简介': ['青岛海滨风景区，是国内少有的地处城市中心的海滨风景区，全长25公里。位于青岛市南前海一线，西起团岛，东至大麦岛。这里有赭红色的礁石，松软的沙滩，海岸线绵延起伏，周边还散布着鳞次栉比的西式建筑，呈现出一派山、海、城交融的靓丽景观，红墙青瓦，碧海蓝天可谓是对这里的真实写照，吸引了国内外的千万游人。'], '景点分布': ['青岛海滨风景区内主要有八大关景区、八大峡景区、太平山景区和太平角景区。其内的主要景点有栈桥公园、鲁迅公园、小青岛、小鱼山公园、百花苑、汇泉广场、五四广场、第一、二、三、六海水浴场及海滨观光大道―东海路、香港路等。'], '景区资质': ['国家4A级景区'], '景区特色': ['摄影、徒步、漂流、观光、度假、公园、古迹、度假区、海滨从您位置到青岛海滨']}",1308,7169,"{'游览路线': ['栈桥公园→小青岛→鲁迅公园→小鱼山公园→第一海水浴场→八大关→五四广场'], '最佳游览时间': ['夏、秋两季。'], '购物推荐': ['(当地特产)青岛啤酒、海参、绿茶、鲍鱼、拳头菜、金钩海米、崂山矿泉水、仙胎鱼、北宅樱桃、', '崂山璐石、青岛贝雕、即墨老酒等。', '(特色美食)油爆螺片、清炸大肠、香炸崂山参、菜胆银杏虾球、鲜淄龟片、冻菜凉粉、辣炒蛤蜊、', '扇贝、八带、海螺、海肠、鱿鱼、比管、海蛎子、螃蟹（梭蟹）、鲅鱼、偏口鱼、黄花鱼。']}","{'景区位置': ['中国>山东省>青岛市>市南区'], '到达方式': ['(栈桥公园)市内乘26、304、316、501、801路公交车可达;', '(小青岛)乘26、6、202、214、223、228、231路，在海底世界站下车即可。', '(五四广场)乘26、304、316、501、801路可达;', '(八大峡公园)乘25、215、217、301、304、321路可达。', '(百花苑)乘26、6、15、302路可达。', '(汇泉广场)乘26、6、15、31、202、231、302路，在海水浴场站下车即可。', '(中山公园)乘26、6、15、31、202、206、214、223路可达。', '(第一海水浴场)乘26、6、15、31、202、214、219、223、228路可达。', '(鲁迅公园)乘26路、6路、202路、214路、223路、228路、231路可达。', '(八大关)乘26，31，206，223路在武胜关路站下车，或乘214，219路在正阳关路站下车。', '(小鱼山公园)乘26，220、228路，在海水浴场站下车后，从第一海水浴场北行10分钟即可。', '其中26路公交车能到达青岛的大多数景点。']}","{'青岛海滨门票价格': ['(鲁迅公园)5元；', '(百花苑)5元；', '(小鱼山公园)旺季15元、淡季10元；', '(小青岛)旺季15元、淡季10元；', '(八大关、八大峡公园、汇泉广场、五四广场)免费。']}","['旺季：7：00-19：00（每年4月1日-10月31日）；', '淡季：8：00-17：30（每年11月1日-次年3月31日）。']"
青岛海底世界,山东省,青岛市,市南区,"{'景区简介': ['青岛海底世界，毗邻青岛著名风景区鲁迅公园和青岛第一海水浴场。它整合了青岛水族馆、标本馆、淡水鱼馆等原有旅游资源，与依山傍海的自然美景相融合，形成山中有海的奇景。独特的地理位置、现代化的展示手段、与水族馆、标本馆、淡水鱼馆的良好整合和互补，使其成为全国独具特色海洋生态大观园。'], '景点分布': ['青岛海底世界分为：潮间带、海底隧道、船舱通道、海洋剧场、圆柱展缸、热带雨林区、生物精品区、科普观演厅、青岛水族馆、海兽表演馆、海洋生物标本馆等几大区域。'], '景区资质': ['国家4A级景区'], '景区特色': ['摄影、徒步、观光、休闲、海洋馆']}",1838,4828,"{'旅游攻略': ['1.表演时间：梦幻美人鱼表演9:30、14:00；人鲨共舞表演平日11:00、15:30，周末增加12:00；情景剧→海底后花园平日10:15、14:45，周末增加16:30。节假日相应增加场次，具体见当天公告。', '2.妇女节、儿童节等会推出减、免票优惠活动。'], '游览路线': ['水族馆（梦幻水母宫）－－海兽馆－－生物标本馆－－海底世界－－淡水馆'], '最佳游览时间': ['四季皆宜'], '购物推荐': ['(当地特产)青岛啤酒、海参、绿茶、鲍鱼、拳头菜、金钩海米、崂山矿泉水、仙胎鱼、', '北宅樱桃、崂山璐石、青岛贝雕、即墨老酒等。', '(特色美食)油爆螺片、清炸大肠、香炸崂山参、菜胆银杏虾球、鲜淄龟片、冻菜凉粉、', '辣炒蛤蜊、扇贝、八带、海螺、海肠、鱿鱼、比管、海蛎子、螃蟹（梭蟹）、鲅鱼。']}","{'景区位置': ['中国>山东省>青岛市>市南区'], '到达方式': ['青岛市内乘6、26、202、214、223、228、231、304、311、312、316、321、501路、', '都市观光1号线、机场巴士2号线、隧道2路、隧道6路在鲁迅公园（海底世界）站下车即可。']}","{'海底世界门票价格': ['通票:旺季130元、淡季110元(含海底世界、海洋生物馆、淡水鱼馆、青岛水族馆、海兽馆）', '水族馆（梦幻水母宫）:淡季20元，旺季40元。']}",['8：30-17：00']
青岛栈桥,山东省,青岛市,市南区,"{'景区简介': ['青岛栈桥是青岛最早的码头，素有“长虹远引”之美誉，是青岛的象征。初建于光绪十八年（公元1892年），拥有一百多年的历史。她既目睹了青岛的屈辱岁月，也见证了青岛的建设与发展，位于青岛市市南区海滨，青岛湾北侧，与小青岛隔水相望，北端与中山路成一直线相连，由海岸前伸入海。栈桥宽8米，全长440米。桥南端筑半圆形防波堤，堤内是一座具有民族风格的两层八角亭，金瓦朱壁，盔顶飞檐，题名“回澜阁”。游人漫步于栈桥海滨，可见青岛外形如弯月，栈桥似长虹卧波，回澜阁熠熠生辉。远处，小青岛如螺，岛上树影婆娑、绿荫哝哝，一座白灯塔亭亭玉立。湾东侧和北侧，红瓦绿树交相辉映，各式建筑参差错落的分布在海岬坡地之上。湾西侧的现代化高层建筑紧靠海岸拔地而起，壮丽恢宏。沿岸的防波堤由花岗岩垒砌，高出水面10余米。涨潮时，惊涛拍岸，激起簇簇雪白浪花，引来无数游人观看；潮退后，赭色岩礁和金色沙滩露出水面，海滩上满是赶海拾贝的游人。每逢风平浪静之时，成千上万只海鸥在湾内自由翱翔，使美丽的青岛湾充满了勃勃生机。'], '景点分布': ['青岛栈桥景区及其附近景点主要有：回澜阁、栈桥公园、'], '景区资质': ['国家2A级景区'], '景区特色': ['摄影、城市观光、栈桥、历史建筑、海滨风光从您位置到栈桥']}",915,6758,"{'最佳游览时间': ['每年5→11月。'], '购物推荐': ['(当地特产)青岛啤酒、海参、绿茶、鲍鱼、拳头菜、金钩海米、崂山矿泉水、仙胎鱼、', '北宅樱桃、崂山璐石、青岛贝雕、即墨老酒等。', '(特色美食)油爆螺片、清炸大肠、香炸崂山参、菜胆银杏虾球、鲜淄龟片、冻菜凉粉、', '辣炒蛤蜊、扇贝、八带、海螺、海肠、鱿鱼、比管、海蛎子、螃蟹（梭蟹）、鲅鱼。']}","{'景区位置': ['中国>山东省>青岛市>市南区'], '到达方式': ['青岛市内乘坐2、5、6、8、25、26、218、220、223、225、301、304、305、307、', '311、312、316、320、321、501、217、325路、隧道2路、隧道3路、隧道6路均可达。']}",{'栈桥门票价格': ['栈桥免费开放；回澜阁票价4元。']},"['(回澜阁)', '旺季7:00——19：00', '淡季8：00——17：30']"
青岛第一海水浴场,山东省,青岛市,市南区,"{'景区简介': ['青岛第一海水浴场曾是亚洲最大的海水浴场，这里环境秀丽，气候宜人，滩平坡缓，沙质细软，自然条件极为优越，是避暑休闲的好去处。景区位于汇泉湾畔，这里拥有长580米，宽40余米的沙滩，曾是当地渔民泊舟晒网之处。为适应旅游业发展需求，1984年，青岛市人民政府对浴场进行了大规模重修和扩建，修复后的浴场焕然一新，建筑面积达2万平方米，沿沙滩而立的是造型各异的更衣室，色彩明快的建筑点缀于清澈的海边，将浴场装点的宛如童话中的世界。'], '景点分布': ['修建后的第一海水浴场设施完善，设有更衣室、冲水处、跳台、了望台、医疗站、广播室、办公室、厕所等，海上还有许多游乐设施供游人休闲。造型别致的各式建筑与海岸绿植交相辉映，构成了一幅美丽的海滨图景。'], '景区资质': ['国家4A级景区'], '景区特色': ['避暑、游泳、海鲜、建筑、海洋、沙滩从您位置到第一海水浴场']}",688,3517,"{'旅游攻略': ['1.第一海水浴场的开放时间一般在每年的7月1日至9月25日。在此期间，浴场提供更衣、冲水、寄存物品和救生医疗等服务。', '2.青岛盛产海鲜，如在浴场周围享用，一定要选择新鲜洗净的熟海鲜，避免引起食物中毒。', '3.海边日照强烈，游客行前应涂抹足够的防晒霜。'], '最佳游览时间': ['7至9月。'], '购物推荐': ['（美食）三鲜蒸饺、大虾烧麦、天府元霄、小笼蒸饺、蟹壳黄、青岛锅贴及各类海产品；', '（特产）崂山石、啤酒、崂山绿茶、海苔、贝雕、大泽山葡萄、草编工艺品。']}","{'景区位置': ['中国>山东省>青岛市>市南区>金口路街道'], '到达方式': ['大巴线路：胶州、威海、淄博、莱阳等城市到青岛都有直达车，到达青岛长途客运站后可转乘公交至海水浴场下车即可。', '公交线路：市内乘坐6路、26路、214路、220路、223路、304路、311路、312路、316路、321路、501路、801路、802路车至海水浴场即可到达。', '']}",{'第一海水浴场门票价格': ['免费。']},['全天。']
青岛银海国际游艇俱乐部,山东省,青岛市,市南区,"{'景区简介': ['中国青岛银海国际游艇俱乐部，位于岛市市南区东海中路30号，陆域面积67000平方米，海域面积87000平方米。俱乐部码头按国际标准建设，设有366个专业码头停船泊位。是第一个以游艇俱乐部为主体的国家AAAA级旅游景区，2003年3月由银海集团投资3亿元开始建设，2005年开始使用，是2008年奥帆赛配套工程。银海国际游艇俱乐部集专业码头、游艇泊位、帆船训练基地、运动员公寓、健康休闲娱乐、中西餐厅、标准客房等配套设施于一体。是游艇驾驶培训、帆船训练基地及各国运动员专业训练的服务场所。'], '景点分布': ['青岛银海国际游艇俱乐部内的主要景点有：奥帆文化长廊与展览馆、龙湾彩虹、观光塔、银海之星、中国水准零点等。'], '景区资质': ['国家4A级景区、2008奥帆赛训练基地、中国游艇产业发展基地、全国青少年帆船帆板训练基地'], '景区特色': ['摄影、徒步、漂流、度假、海滨、旅游区从您位置到青岛银海']}",564,1329,"{'最佳游览时间': ['每年夏秋两季。'], '购物推荐': ['(当地特产)青岛啤酒、海参、绿茶、鲍鱼、拳头菜、金钩海米、崂山矿泉水、仙胎鱼、', '北宅樱桃、崂山璐石、青岛贝雕、即墨老酒等。', '(特色美食)油爆螺片、清炸大肠、香炸崂山参、菜胆银杏虾球、鲜淄龟片、冻菜凉粉、', '辣炒蛤蜊、扇贝、八带、海螺、海肠、鱿鱼、比管、海蛎子、螃蟹（梭蟹）、鲅鱼。']}","{'景区位置': ['中国>山东省>青岛市>市南区'], '到达方式': ['青岛市内乘公交225、231、232、317路在银海俱乐部站下车即可。']}",{'青岛银海门票价格': ['票价50元。']},['8：30—17：30。']
青岛中国海军博物馆,山东省,青岛市,市南区,"{'景区简介': ['中国海军博物馆是中国唯一一座全面反映中国海军发展的军事博物馆，由中国海军组织筹建，临海处原是海军驻青部队小型船舰的停泊之处。博物馆馆藏文物近四千件，其中国家级文物22件，特别是拥有国内最大的海上舰艇展览群，从不同侧面反映了人民海军从无到有、从小到大、从弱到强不断壮大的光辉历程，为宣传海洋、海权、海军，增强全民国防意识和海洋意识发挥了重要作用。'], '景点分布': ['博物馆坐落于青岛市莱阳路八号，占地四万多平方米，目前已建成室内展厅、武器装备展区、海上展舰区三大部分，展示有军服礼品、海战史，武器装备，周恩来总理乘坐的鱼雷快艇和肖劲光大将的专机、“鞍山”舰、“长城”号、“济南”号等，还可到光电射击靶场、舰艇模型室、潜望镜室等体验海军真实场景。'], '景区资质': ['国家3A级景区、全国爱国主义教育示范基地、国家一级博物馆、国家国防教育示范基地、百个红色旅游经典景区'], '景区特色': ['休闲、科普、历史研究、红色旅游、博物馆从您位置到海军博物馆']}",277,1417,"{'最佳游览时间': ['四季皆宜。'], '购物推荐': ['(当地特产)青岛啤酒、海参、绿茶、鲍鱼、拳头菜、金钩海米、崂山矿泉水、仙胎鱼、北宅樱桃、崂山璐石、青岛贝雕、即墨老酒等。', '(特色美食)油爆螺片、清炸大肠、香炸崂山参、菜胆银杏虾球、鲜淄龟片、冻菜凉粉、辣炒蛤蜊、扇贝、八带、海螺、海肠、鱿鱼、比管、海蛎子、螃蟹（梭蟹）、鲅鱼。']}","{'景区位置': ['中国>山东省>青岛市>市南区'], '到达方式': ['乘车路线：青岛市内乘6、26、202、214、223、228、231、304、311、312、316、321、501、旅游1号线、机场巴士2号线、隧道2路、隧道6路车，到鲁迅公园（又名海底世界站）下车。', '自驾路线：市内走江苏路、太平路、文登路转入莱阳路至小青岛景区皆可。']}",{'海军博物馆门票价格': ['免费，持身份证等有效证件。']},['09:00-17:00（16:00停止入馆、16：30观众退场）。周一全天例行闭馆（国家法定节假日除外）。']
青岛国际帆船中心,山东省,青岛市,市南区,"{'景区简介': ['青岛国际帆船中心是世界著名的海上运动基地。它坐落于浮山湾畔，依山傍海，景色宜人，是休闲训练的理想场地。国际帆船中心设计先进、设施完善，赛场规划更是达到了世界一流水平。自29届奥运会帆船比赛在此顺利进行后，帆船中心又成功举办了多次国际性帆船赛事，实现了“比赛功能”和“旅游功能”的双向切换，是青岛文化展览的重要窗口。景区依托海洋优势，构建了集休闲、游艇、游轮、会展、会议、婚庆、海上演艺、海上旅游为一体的旅游品牌，成为中国北方著名的海上休闲中心。'], '景点分布': ['青岛国际帆船中心占地面积45公顷，由陆域项目和水上项目两部分组成。其中陆域项目主要包括行政中心、旗阵广场、运动员中心、陆域停船区、奥帆中心大剧场、心海广场、奥帆博物馆、媒体中心、后勤保障中心、四季酒店、奥运村等，水上项目则有主防波堤、奥运纪念墙码头、突堤码头、测量大厅码头等。除此之外，景区内的燕儿岛山也是值得一去的观光胜地，著名的“燕岛秋潮”之说便源之于此，每逢秋季大潮，惊涛骇浪拍打燕岛堤岸，景象格外壮观。'], '景区资质': ['国家4A级景区'], '景区特色': ['帆船比赛、海洋、休闲、避暑、赛场、码头、剧场、海洋、沙滩从您位置到国际帆船中心']}",186,1391,"{'最佳游览时间': ['全年适宜，夏季最佳。'], '购物推荐': ['（美食）油爆螺片、辣炒蛤蜊、香炸崂山参、菜胆银杏虾球、鲜淄龟片、冻菜凉粉、梭蟹、鲅鱼等。', '（特产）青岛啤酒、崂山璐石、即墨老酒、北宅樱桃、金钩海米、青岛贝雕、绿茶、鲍鱼、拳头菜、仙胎鱼等。']}","{'景区位置': ['中国>山东省>青岛市>市南区'], '到达方式': ['公交路线：乘坐31路、33路、104路、110路、232路、311路、321路、501路、801路至路远洋广场站；乘坐317路、都市观光3线至福州路南站；或是乘坐210路、231路、402路至奥帆基地站下车皆可到达。']}",{'国际帆船中心门票价格': ['免费。']},['8:30-17:30']
中国海洋大学,山东省,青岛市,市南区,"{'学校简介': ['中国海洋大学（OceanUniversityofChina），原名青岛海洋大学，是教育部直属的一所以海洋和水产学科为特色，包括理、工、农、医、药、经、管、文、法、教等学科为一体的多科性重点大学，是国家“985工程”、“211工程”和“卓越工程师教育培养计划”建设高校之一。学校前身可追溯到建于1924年的私立青岛大学，1960年10月被中共中央确定为全国13所重点综合大学之一。2002年10月10日经国家教育部批准更名为中国海洋大学。海大校训为海纳百川，取则行远。'], '地点分布': ['学校现辖崂山、鱼山和浮山三个校区。崂山校区位于青岛市崂山区松岭路238号；鱼山校区在市南区鱼山路5号；浮山校区坐落在市南区香港东路23号(近青岛大学)。从您位置到海洋大学']}",476,1046,{},{'学校位置': ['中国>山东省>青岛市>市南区']},{},{}
青岛第二海水浴场,山东省,青岛市,市南区,"{'景区简介': ['青岛第二海水浴场位于汇泉湾东侧的太平湾内，因此又有“太平角海水浴场”之称。景区位于青岛著名的八大关旅游区，紧邻花石楼之畔，这里环境清幽，景色秀丽，我国许多领导人、艺术家及外国元首都曾在此畅游，留下了难忘的回忆。二浴虽小，但胜在水净沙软，每到夏季，便可看到众多游人悠闲漫步海岸，怡情于此，独特的滨海风情是您休闲避暑的不二选择。'], '景点分布': ['第二海水浴场由宁武关路入口处分为东西两部分，其中东侧坡缓浪小，沙质细软，适合日光浴；西侧沙滩则多鹅卵石，这些石子久经打磨，外表光滑，形态各异，是独一无二的纪念品。浴场海滨景致宜人，人文景观也非常丰富，在沙滩东侧的一座小凉亭内，就曾召开过中共中央政治局扩大会议；浴场北侧的莲池和公园内，也留下过众多领导人的足迹，具有深刻的历史意义。'], '景区特色': ['游泳、避暑、休闲、凉棚、海滨从您位置到第二海水浴场']}",134,1596,"{'最佳游览时间': ['夏季最佳。'], '购物推荐': ['（美食）三鲜蒸饺、大虾烧麦、天府元霄、小笼蒸饺、蟹壳黄、青岛锅贴及各类海产品；', '（特产）崂山石、啤酒、崂山绿茶、海苔、贝雕、大泽山葡萄、草编工艺品。']}","{'景区位置': ['中国>山东省>青岛市>市南区'], '到达方式': ['公交路线：乘坐26路、31路、202路、304路、311路、501路、604路至“武胜关路”站下车；或乘坐214路、219路公交车在“正阳关路”站下车，步行前往即可到达。']}",{'第二海水浴场门票价格': ['2元。']},['24小时。']
青岛德式官邸,山东省,青岛市,市南区,"{'景区简介': ['青岛德式官邸，1905年10月－1907年10月建造，由德国建筑师马尔克设计，施特拉塞尔监督施工。因它是当年德国胶澳总督的官邸，故俗称“提督楼”。坐落在青岛市老城区中心的信号山麓，依山面海，居高临下，气势不凡。在近百年时光中，德式官邸虽历尽沧桑，但其基本价值感依然烁目。就历史文化内涵与建筑艺术价值而言，20世纪在中国诞生的其它西方建筑恐无一能出其左右。而就青岛一座历史文化名城而言，德式官邸俨然成为我们身处其中的这个文化名城之百年演进史的一个生动缩影。'], '景点分布': ['德式官邸旧址地下一层，地上三层，总建筑面积4000余平方米，为砖石钢木结构，是一座具有欧洲皇家风范的德国古堡式建筑，共有大小房间30个。一楼内设过门厅、中厅、大厅、会议室、舞厅、餐厅和花房；二楼，原为总督卧室和办公之处，内部装修富丽堂皇；底层为半地下房间，原为总督仆从及膳食用房。'], '景区资质': ['国家3A级景区'], '景区特色': ['建筑景观游、历史文化游、历史遗迹从您位置到德式官邸']}",180,1020,"{'最佳游览时间': ['四季皆宜。'], '购物推荐': ['(当地特产)青岛啤酒、海参、绿茶、鲍鱼、拳头菜、金钩海米、崂山矿泉水、仙胎鱼、', '北宅樱桃、崂山璐石、青岛贝雕、即墨老酒等。', '(特色美食)油爆螺片、清炸大肠、香炸崂山参、菜胆银杏虾球、鲜淄龟片、冻菜凉粉、', '辣炒蛤蜊、扇贝、八带、海螺、海肠、鱿鱼、比管、海蛎子、螃蟹（梭蟹）、鲅鱼。']}","{'景区位置': ['中国>山东省>青岛市>市南区'], '到达方式': ['(市内公交)', '青岛市内乘6、25、26、202、214、217、232、307、801路，在大学路站下车；', '乘1、214、217、220、221、225、228、367路，在青医附院站下车；', '乘25、307、367路，在黄县路下车，步行即可到达。']}","{'德式官邸门票价格': ['旺季(4月—10月)15元', '淡季(11月—次年3月)10元']}","['旺季：8：30-17：30', '淡季：8：30-17：00']"
