name,province,city,location,desc,want,has_been,strategy,route,ticket_info,open_time
山东郯城郯子公园,山东省,临沂市,郯城县,"{'景区简介': ['山东郯城郯子公园为纪念一代国君郯子而兴建，文化内涵丰富，是休闲散步、品味历史的佳地。郯子，春秋时期郯国国君，其政绩、才华和仁孝之德颇得人心。据说，孔夫子曾上门拜访和郯子切磋过。据记载，郯子在任国君期间，施行仁政，治国有方，郯国曾兴盛一时，文化传播深远。来到郯子公园，或睹先贤而发思古之幽情，或泛舟河上，或岸边垂钩，或草坪私语，或长廊小憩，或登阁凭栏以望远，总能乘兴而归。'], '景点分布': ['郯子公园坐落在郯城县郯东路113号，占地面积13.6公顷。公园内有孔子师郯、鹿乳奉亲等四尊文化景石，建少昊殿、朝凤馆、九扈堂、五鸠阁，展示古郯文化的贤孝仁义和德才威雅，设飞虹桥、鹭池戏台、鹿鸣亭、银果金秋、禹台柳莺等古郯新八景。'], '景区资质': ['国家2A级景区'], '景区特色': ['休闲、散步、历史文化、公园、雕塑、湖泊从您位置到郯子公园']}",1,15,{'最佳游览时间': ['四季皆宜']},"{'景区位置': ['中国>山东省>临沂市>郯城县'], '到达方式': ['自驾路线：京沪高速公路至郯城，沿人民路→郯东路行驶即可。']}",{'郯子公园门票价格': ['免费']},['全天']
郯城神舟古栗园,山东省,临沂市,郯城县,"{'景区简介': ['郯城神舟古栗园是国内平原地区最大的板栗生产基地。园内以50-60年生和15-20年生居多，百年以上古老栗树有10000余株。春花、夏荫、秋果，四季景异，环境幽雅，是人们休憩娱乐、观光旅游的理想之地。这里的板栗资源奇特、丰富、罕见，景观别具特色，国内少有，无论森林景观，还是人文景观，都具有较高的价值，因此吸引不少游客、摄影爱好者前来。'], '景点分布': ['神舟古栗园位于县城东郊，规划有游憩娱乐区、水上活动区、服务管理区、开放观光区、体育健身区、生态保护区、花果观光区、常青林区共八个功能区。现有连片板栗林2.8万亩，每到成熟季节，景色格外醉人。'], '景区资质': ['国家2A级景区、省级森林公园'], '景区特色': ['休闲、观光、摄影、森林从您位置到神舟古栗园']}",0,1,{'最佳游览时间': ['秋季']},"{'景区位置': ['中国>山东省>临沂市>郯城县'], '到达方式': ['自驾路线：泰新高速公路、京沪高速公路转入郯城立交，经人民路转入G205行驶即可。']}",{'神舟古栗园门票价格': ['免费']},['全天']
沂水天然地下画廊,山东省,临沂市,沂水县,"{'景区简介': ['沂水天然地下画廊旅游风景区集地下长河溶洞、暗河漂流、沂蒙风情度假村、滑雪滑草场、万亩板栗山茶园于一体，是全国农业旅游示范点为一体的大型游乐场所，也是沂蒙山国家地质公园的重要组成部分，被评为山东十大知名景区之一。核心景观梦幻溶洞是亿万年地质变迁形成的恒温天然地下溶洞，为中国钟乳发育最丰富的溶洞，被誉为岩溶地质博物馆。走进景区，便进入一个亿万年前的地下世界，钟乳挺拔，石笋丛生，石幔高挂，石柱巍峨，石帘低垂，石瀑飞流，让人在欣赏大自然鬼斧神工的同时，不禁感叹大自然的造化神奇。一年四季皆成景，季季漂流都能行的地下暗河穿越漂流，精彩刺激，具有落差大、水流急、景致美的特点，为中国探险溶洞第一漂，让人顿感冲天飞渡、惊险刺激、如梦如幻的遨游海底世界和徜徉浩瀚星空的神妙惊幻之感。'], '景点分布': ['天然地下画廊位于山东沂水院东头镇留虎峪村，总面积20平方千米。景区主要由亿万年绘就的梦幻溶洞、别有洞天的地下暗河穿越漂流、芝樱花海卡丁车、高尔夫练习场、远古射箭等游乐项目和素有天然氧吧之美誉的沂蒙生态谷养生区组成，梦幻溶洞全长6600米，共分为11个景段：远古景段；远古探寻景段；白垩纪景段；月宫天瀑景段；天河辉映景段；天宫景象景段；震撼天谷景段；天界田园景段；时光隧道景段；天谷穿越景段；梦回人间峡谷漂流景段。洞内钟乳遍布，石笋林立，远古探寻”、“莲花仙境”、“月宫天瀑”、“睡莲听雨”、“甘霖照月”等168处经典景观栩栩如生，让人浮想联翩。'], '景区资质': ['国家4A级景区'], '景区特色': ['溶洞、漂流、度假、度假村、溶洞']}",659,964,"{'旅游攻略': ['建议不要跟着导游走，太过走马观花。自行慢慢游览，才能体会景区之妙。'], '游览路线': ['进口→龙骨洞→天国睡佛→时空隧道→别有洞天→沧海日出→水漫金山→千载难逢→金雕独尊→出口'], '最佳游览时间': ['夏季'], '购物推荐': ['（购物）花生、板栗、手工制品等。', '（美食）沂蒙山蝎子、板栗炖鸡、煎饼、塌包子、丰糕、烀全羊等。']}","{'景区位置': ['中国>山东省>临沂市>沂水县'], '到达方式': ['从沂水乡村客运站乘坐到院东头乡的城乡公交车，乘坐沂水→院东头乡客运到留虎峪下车即到景区。']}","{'沂水地下画廊门票价格': ['天然地下画廊：60元/人', '暗河漂流：60元/人', '景区小交通：10元/人', '儿童:身高1.2（含）以下【免费】，身高1.2米（不含）—1.5米（含）【半价】', '学生:持本人全日制本科及以下学历有效学生证的学生【半价】', '老人:70周岁（含）的老年人凭有效证件【免费】，60岁（含）—70岁（不含）的老年人凭有效证件【半价】', '残疾人:持一、二级残疾证【免费】，持三级以下残疾证【半价】']}",['08:00-17:00(最晚入园16:00)']
临沂雪山彩虹谷风景区,山东省,临沂市,沂水县,"{'景区简介': ['雪山彩虹谷风景区是集观光、休闲、娱乐、游玩、度假、表演于一体的高档旅游区。坐落在山东省临沂市沂水县城东2.5公里处，总面积350公顷，雪山树木葱郁，奇石林立，自古就有“雪山七十二景”之说，文化内涵丰厚。清泉叮咚，山路潺潺，野花烂漫，鸟儿啼鸣，使人顿感回归大自然的惬意。雪山彩虹谷因其温馨、浪漫、刺激而凸显经典秀丽之美，是八百里沂蒙一道独特而亮丽的风景线。'], '景点分布': ['景区主要包括雪山、大山、马山，总面积5000余亩。这里奇松、密林、红叶、峭壁、怪石、溪流、崖壁浑然一体，又有众多神话传说。游人可在彩虹谷中雨中漫步；迷彩沟中彩弹射击；庄户园中农家游乐；秋水居中度假休闲。另外还有滑草道、摸鱼池等独具创意的新奇游乐项目。景区内的主要景点有雪莲湖、彩虹谷、情人谷、欢乐谷、迷彩谷、摸鱼池、滑草等景观。'], '景区资质': ['国家4A级景区'], '景区特色': ['摄影、登山、地质景观游、古迹、雪山、峡谷从您位置到雪山彩虹谷']}",698,812,"{'最佳游览时间': ['春、夏、秋季。'], '购物推荐': ['(当地特产)沂水绿茶、生姜、大樱桃、柿子、山楂、帅李、跋山芹菜。', '(特色美食)素炸鸡排、清炸大肠、李守仁烧鸡、萝卜鱼、葱爆羊肉丁。']}","{'景区位置': ['中国>山东省>临沂市>沂水县'], '到达方式': ['市内乘车至沂水县，在沂水汽车站乘2路公交车到雪山彩虹谷下车；', '也可乘三轮车到景区，车费10元左右；', '黄金周期间开通旅游专线车。']}",{'雪山彩虹谷门票价格': ['50元(任选六项)；68元(全部娱乐项目)。']},['7：00—19：00']
山东灵泉寺,山东省,临沂市,沂水县,"{'景区简介': ['山东灵泉寺旅游风景区以其原始自然的生态环境、神秘幽深的千年古寺以及气势宏伟的长崖栈道而扬名海内。区内群山环绕、洞穴密布，树绕灵泉，泉水经年不枯，悬岩峭壁间草木葱茏，花香鸟鸣，亭台楼阁点缀其间。登高远眺，林海松涛，秀丽的跋山水库犹如一泓碧波，静卧在逶迤的青山脚下。灵泉寺就坐落在山东省沂水县龙家圈乡境内，距县城15公里。'], '景点分布': ['灵泉寺内的主要景点有山门、悬崖栈道、灵泉寺、千年古银杏、佛教塔林、宋代九龙碑、灵泉湖、雄狮崖、狮子眼、鹰门塔石、和尚林、迎客松、观音洞、韩湘洞、朝阳洞、飞来石、仙人石、南天门、灵山隐士、孔雀谷、神仙府、佛爷阁、碧霞祠等。'], '景区资质': ['国家2A级景区'], '景区特色': ['摄影、登山、宗教文化游、寺庙、山川从您位置到灵泉寺']}",43,29,"{'最佳游览时间': ['春、秋季节。'], '购物推荐': ['(当地特产)沂水绿茶、生姜、跋山芹菜、苹果、大樱桃、柿子、山楂。\t', '(特色美食)炸素鸡排、萝卜鱼、清炸大肠、李守仁烧鸡、葱爆羊肉丁。']}","{'景区位置': ['中国>山东省>临沂市>沂水县'], '到达方式': ['游客可在沂水汽车站乘坐开往新门方向的汽车，在灵泉寺下车即可．']}",{'灵泉寺门票价格': ['票价50元。']},['7：00-18：00']
沂水东皋公园,山东省,临沂市,沂水县,"{'景区简介': ['沂水东皋公园因沂水八景之一“东皋晚照”而得名，是市民憩息的好场所。公园文物古迹较多，历史文化悠久，且拥有众多湖泊，且各具别名，幽静雅致，自然文化氛围愈加浓郁，成为人们茶余饭后的好去处。'], '景点分布': ['东皋公园位于沂水县城中心，总面积600余亩。公园内分别建成了东大门、南大门、奇石园、儿童乐园、人工湖、猴山、鹿馆、鸟亭、游乐中心、东皋文峰塔、迷宫等，东北角还用大理石雕塑了一尊李逵打虎像。'], '景区资质': ['国家3A级景区'], '景区特色': ['休闲、娱乐、亲子、公园从您位置到东皋公园']}",1,1,{'最佳游览时间': ['四季皆宜']},"{'景区位置': ['中国>山东省>临沂市>沂水县'], '到达方式': ['乘车路线：沂水1路人民广场站，沂水2路、沂水5路县医院站', '自驾路线：烟汕线→S227→长安南路→长安中路→正阳路']}",{'东皋公园门票价格': ['免费']},['07:00-22:30']
沂水雪山风情小镇,山东省,临沂市,沂水县,"{'景区简介': ['沂水雪山风情小镇是整合一二三次产业融合发展，宜居、宜业、宜游、宜闲，具有会议节庆、健身养生、度假休闲等一种或多种主题活动的旅游综合体。小镇将传统岭南与现代商业风格相结合，既有传统韵味，又体现时代精神，是一座具有岭南风情的现代旅游小镇。'], '景点分布': ['雪山风情小镇位于东环路与雪山路交汇处东200米，占地73373平方米。小镇共分为A、B、C、D、E五个区，其中A、B、C三个区以餐饮休闲住宿为主，设骏怡城际昌辰假日大酒店、农家乐大本营、八斗厨、巴蜀夜雨、东北乐、盱眙东湖龙虾等不同品牌餐饮店11家，D区以旅游纪念品和旅游特色产品为主，主要经营根雕、奇石、古玩、字画、沂蒙民间艺术收藏等34家店铺，E区引进了海宁皮革城。'], '景区资质': ['国家3A级景区'], '景区特色': ['休闲、娱乐、购物、美食、街区从您位置到雪山风情街']}",1,1,{'最佳游览时间': ['四季皆宜']},"{'景区位置': ['中国>山东省>临沂市>沂水县'], '到达方式': ['乘车路线：长途车至沂水', '自驾路线：烟汕线→长深高速→东二环路→雪山河路']}",{'雪山风情街门票价格': ['免费']},['全天']
沂水峙密山居旅游区,山东省,临沂市,沂水县,"{'景区简介': ['峙密山居是一处隐藏在深山中的颇具江南韵味的小镇，也是一个文化体验、休闲度假的田园综合体。这里三面青山环绕，以湖为中心，诸建筑如浮水上，一幅“房前有湖，湖里有影，影中有鱼”的江南古村画面。从青砖小瓦马头墙的明清古建，从“小桥、流水、人家”的水乡风貌，一山一水一砖一石，都深深镌刻着江南的精神和风采。这些老房子全部来源于大江南北，均在百年以上，保存非常完好，涵盖了徽派、浙派、闽派、赣派、晋派等五大派系，雕梁画栋，飞檐高脊，粉墙黛瓦，古色古香，北方唯一。同时，景区突出文化性，是非物质文化遗产及文创产品展示、书画艺术品藏品鉴赏交易、文学艺术交流、文人墨客汇聚的高端文化体验之地。'], '景点分布': ['峙密山居位于沂水院东头镇师家崖村，分为五彩梯田、画家村、古建筑群三大板块。五彩梯田主要打造休闲农业、观光农业、采摘园、儿童体验区。画家村保留了沂蒙山乡传统古村落的古色古香，为中国八大美院的写生基地。古建筑群区域拥有30余栋的古建筑博物馆，同时建设古商业街、古建青年国旅旅社、游客接待中心、鲟鱼馆、水系景观、环山漫道、山洞温泉等。'], '景区资质': ['国家3A级景区'], '景区特色': ['历史文化、农家乐、乡村、建筑从您位置到峙密山居']}",0,0,{'最佳游览时间': ['四季皆宜']},"{'景区位置': ['中国>山东省>临沂市>沂水县'], '到达方式': ['自驾车：', '临沂-沂蒙路-山深线-沂蒙路-沂新线-历山路-S336-S229-峙密山居']}",{'峙密山居门票价格': ['20元']},['08:00-18:00']
沂水沂蒙花开旅游区,山东省,临沂市,沂水县,"{'景区简介': ['沂蒙花开旅游区是集乡村体验、生态休闲、主题乐园于一体的综合性景区，是山东省首批田园综合体试点项目、省休闲农业和乡村旅游示范点。旅游区自然风光优美、人文资源丰富，将科技农业、航空航天、艺术研学、儿童娱乐、田园度假酒店与民宿等多种经营业态引入，让游客徜徉在山水田园间，沉浸式体验科技的魅力、乐享亲子欢乐时光，已成为沂蒙百姓向往的美丽田园、幸福家园，游客喜爱的田园休闲度假综合性旅游目的地。'], '景点分布': ['沂蒙花开旅游区位于山东沂水县泉庄镇，设有五座桃花异型温室，分别为一号芽芽幻城、二号馆国际太空科技体验中心、三号馆台湾风情体验馆、四号馆鱼菜共生自然餐厅、五号馆橘子布美学体验馆，同时拥有雲水间民宿等高档度假设施。'], '景区资质': ['国家4A级景区'], '景区特色': ['休闲、科普、亲子、采摘、乡村从您位置到沂蒙花开旅游区']}",0,0,{'最佳游览时间': ['夏秋两季']},"{'景区位置': ['中国>山东省>临沂市>沂水县'], '到达方式': ['公交车：沂水汽车站乘坐“沂水-泉庄”线至泉庄医院站下车']}","{'沂蒙花开旅游区门票价格': ['（一）游园票：80元，游览芽芽幻城、未来太空城、台湾风情体验馆、鱼菜共生自然餐厅、橘子布欢乐城堡五大场馆，同时可体验未来太空城5D影院。', '（二）标准票：198元，游览五大场馆，同时含以下收费项目。', '1.芽芽幻城：高空拓展（中庭区域）、滑梯（中庭区域）、VR加特林', '2.未来太空城：国际空间站、神舟五号返回舱、VR超重失重体验、VR火星救援车、竞技靶场、VR影院', '半价优惠：在校学生、现役军人家属、军烈属。', '免票优惠：60岁以上老人、6岁以下或1.4米以下儿童、现役军人，离退休干部、士官，警察、武警，消防救援人员，参战老兵，残疾人，记者，导游。']}","['周一：闭园休整（国家法定节假日除外，如有特殊情况另行公告）', '周二到周五：9:00-16:30（最晚入园时间15:30）', '周六到周日：9:00-17:00（最晚入园时间16:00）', '国家法定节假日：9:00-17:00（最晚入园时间16:00）']"
临沂兰陵国家农业公园,山东省,临沂市,兰陵县,"{'景区简介': ['临沂兰陵国家农业公园是山东省目前唯一被命名为国家农业公园、规模最大的生态农业旅游庄园。园区将传统农业与现代农业相结合，融入人文历史、农耕文明，既不同于一般概念的城市公园，又区别于一般的农家乐、乡村游览点和农村民俗观赏园，生动展示了兰陵作为“中国蔬菜之乡”、“山东南菜园”的美丽画卷，带人们走入一片简约宁静、返璞归真的生态田园。'], '景点分布': ['兰陵国家农业公园位于兰陵县顺和路中段，总面积62万亩。公园分为农耕文化、科技成果展示区、现代农业示范区、花卉苗木展示区、现代种苗培育推广区、农耕采摘体验区、水产养殖示范区、微滴灌溉示范区、民风民俗体验区、休闲养生度假区、商贸服务区等十个功能区，建有大型农展馆、锦绣兰陵、兰香东方、华夏菜园、沂蒙山农耕博物馆、雨林王国、水上乐园、竹林水岸、湿地公园、花海田园、游乐城、采摘园、新天地生态大酒店等休闲游乐项目。'], '景区资质': ['国家4A级景区'], '景区特色': ['休闲、赏花、科普、农家乐、农业游、公园、博物馆从您位置到兰陵国家农业公园']}",1,35,"{'旅游攻略': ['景区表演时间', '孔雀东南飞：11:00、14:00、16:00，竹林水岸天乐蜂', '鹦鹉表演：9:30、10:30、13:30、15:00，竹林水岸鹦鹉表演场', '高空走钢丝：10:30、12:00、14:30、16:00，沂蒙山农耕博物馆南门', '环球飞车：10:00、11:30、14:00、15:30，沂蒙山农耕博物馆南门'], '最佳游览时间': ['春秋两季'], '购物推荐': ['无公害瓜果蔬菜']}","{'景区位置': ['中国>山东省>临沂市>兰陵县>苍山街道>芦柞镇'], '到达方式': ['乘车路线：兰陵6路农展中心站下车', '自驾路线：G2京沪高速的兰陵/汤庄出口，S38枣临高速的兰陵北/沂堂出口和兰陵西/向城出口。']}","{'兰陵国家农业公园门票价格': ['60元/人，包含五大展馆、竹林水岸大田风光。', '3D展馆10元/人', '观光车10元/人单程']}",['08:00—18:00']
