name,province,city,location,desc,want,has_been,strategy,route,ticket_info,open_time
威海刘公岛,山东省,威海市,环翠区,"{'景区简介': ['刘公岛自然风光优美，人文景观独特，素有“东隅屏藩”、“海上仙山”和“世外桃源”的美誉。据旧志记载，元代名刘岛，亦名刘家岛。著名的北洋水师就诞生在这里，是中国近代第一支海军，而中日甲午战争也发生在此，历史内涵深厚。除了古迹遗存，岛上植物茂密，松涛翠柏，郁郁葱葱，美丽的海岸线风光迷人，是避暑、度假、疗养的理想之地。'], '景点分布': ['刘公岛位于山东威海湾口，东西长4.08公里，南北最宽1.5公里，海岸线长14.95公里，面积3.15平方公里。全岛植被茂密，郁郁葱葱，以黑松为主，多达2700余亩，岛上人文景观也很丰富独特，既有上溯千年的战国遗址，又有名扬海内外的清朝北洋水师提督署、水师学堂、古炮台、丁汝昌寓所、铁码头等大量文物古迹，还有英国殖民统治时期遗留下来的众多欧式建筑，此外，青铜水琴、千年鲸骨、海市蜃楼、东海龙宫等景观和功能齐全的休闲娱乐购物区，也为刘公岛增添了新的亮点。'], '景区资质': ['国家5A级景区、国家文明风景区、国家森林公园、国家重点文物保护单位'], '景区特色': ['摄影、徒步、避暑、森林公园、博物馆、古迹、海滨、海岛从您位置到刘公岛']}",1158,4430,"{'旅游攻略': ['亲临中国近代第一支海军枣清政府北洋水师的诞生地，这也是中日甲午战争的古战场，并参观中日甲午战争博物馆，馆内收藏有大量有关珍贵文物。'], '游览路线': ['刘公岛一日游推荐路线：早8点出发，乘车到旅游码头，乘船到达刘公岛景区，参观刘公岛→甲午战争博物馆→博览园→陈列馆→鲸鱼馆等。'], '最佳游览时间': ['刘公岛为北温带季风型大陆性气候，四委变化及季风进退明显。但由于三面环海，地形复杂，形成了明显的地区性差异：虽属大陆性气候，但具有海洋性气候的特点，与相似纬度的内陆地区相比，具有冬暖、夏凉、春冷、秋温及温差小、风大、雾多、雨水充沛等特征。最佳旅游时间：夏秋两季。'], '购物推荐': ['胶东大花生、威海苹果、荣成黄桃、乳山阳梨、山花地毯、钓鱼竿、锡镶、刺绣、皮鞋、丝绸、毛绒玩具等。']}","{'景区位置': ['中国>山东省>威海市>环翠区>嵩山街道'], '到达方式': ['威海市内公交车已发展到20多条线路，通达市内各景点和主要街区。大巴单一票价1元，小巴单一票价1.5元。威海旅游码头乘船20分钟即到景区，刘公岛每天11：00有一班去成山头、海驴岛的旅游船，18：00返回威海，全程票价100元，含一餐。']}","{'刘公岛门票价格': ['景区门票：122元/人（含景点门票和往返船票）', '索道：双城60元/人', '观光游览车：60元/人', '环刘公岛游览船票：60元/人', '优惠政策：', '6周岁（含6周岁）以下或1.2米（含1.2米）以下儿童免景区门票。', '身高1.2-1.5米（含1.5米）儿童，残疾军人，票价15元/人。', '身高超过1.5米的6周岁-18周岁（含18周岁）的未成年人，全日制本科及以下学历学生，本市低保人员，持有效证件，票价77元/人。', '军队离退休干部和退休士官，现役军人，消防人员，60周岁以上老人，残疾人（重度残疾人包括一名陪同人员）持有效证件，票价31元/人。', '持“威海英才卡”或威海市无偿献血荣誉卡的市民票价31元/人。']}",['刘公岛轮渡游船时刻：旺季7:00-16:308分钟10：00-17:30；淡季7:30-15:0015分钟10：00-15:30']
威海定远舰,山东省,威海市,环翠区,"{'景区简介': ['威海定远舰曾是19世纪工业文明的产物，因武备强大、防护完善，一度被誉为“亚洲第一巨舰”、“遍地球一等之铁甲舰”。这只舰船见证象征了中国海洋上一段辉煌的往事，又因浓浓的甲午风云和在甲午海战中的不屈表现，赢得了“永不沉没的‘定远’”之称，成为国人心目中的一座海上图腾。定远舰景区位于山东省风光旖旎的海滨城市—威海市的城区繁华地带，主体景观为按原貌复制再现的清末北洋海军旗舰“定远”号。'], '景点分布': ['复制的“定远”号纪念舰，主要由岸上与舰上两大部分组成，军舰本身，完全依据历史资料按1：1比例进行复制建造，最大程度再现了历史原舰的风采。舰上各种武器装备一一复制，齐全逼真，许多著名的历史场景也都纷纷还原再现，如临其境。军舰内部，围绕“定远”舰、甲午海战布置了2层主题展馆，并有选择的复原再现了一批“定远”舰内历史生活场景。景区内还设有北洋海军历史陈列、三维环幕影院、模拟互动海战游戏等参观、游览项目，合力营造了一座能切身感受历史，走进百年前铁甲巨舰生活的独特人文景观。'], '景区资质': ['国家3A级景区'], '景区特色': ['军事文化游、历史文化游、军事展览馆、复原军舰从您位置到定远舰']}",118,750,"{'最佳游览时间': ['夏季。'], '购物推荐': ['(当地特产)港西无花果、锡镶茶具、荣成绿茶、海参、鲍鱼、海胆、对虾，大樱桃。', '(特色美食)油炸万寿菜、石岛鸡蛋丸子、油炸天鹅蛋、雪丽桃花、猪脚姜、威海海参汤。']}","{'景区位置': ['中国>山东省>威海市>环翠区>嵩山街道'], '到达方式': ['游客在威海汽车站、火车站乘坐1路公交车，在海港大厦站下车后右手即是。']}",{'定远舰门票价格': ['票价50元。']},['8:00-16:30']
威海中国甲午战争博物馆,山东省,威海市,环翠区,"{'景区简介': ['威海中国甲午战争博物馆以北洋海军和甲午战争为主题，以丰富的历史遗迹和特色鲜明的陈列挺秀于中国博物馆之林，是一座纪念遗址性博物馆。博物馆所在地北洋海军提督署是目前国内唯一保存完好的高级军事衙门，利用这些清代建筑为陈列展示场所，将传统陈列形式与现代科技手段结合在一起，通过文物、图片、蜡像、沙盘、模型、影视等形式，生动再现了当年北洋水师及甲午战争的历史原貌，为观众营造了一个真实、直观的历史场景与浓厚的历史文化氛围，增强了陈列展示的感染力和震撼力。馆内藏历史照片1000多幅，北洋海军与甲午战争文物资料200多件，打捞舰船文物标本300多件，其中济远舰双主炮，为当今海内外所仅有，堪称“镇馆之宝”。'], '景点分布': ['中国甲午战争博物馆坐落在威海东面海域的刘公岛上，总面积达十多万平方米。现开放有北洋海军提督署、龙王庙、丁汝昌寓所、北洋海军将士纪念馆、水师学堂、东泓炮台、公所后炮台、旗顶山炮台等参观景点。另有陈列馆一座，设《甲午战争：1894—1895》基本陈列，展示甲午战争历史图片650多幅以及大量反映甲午战争的巨幅油画和巨型雕塑，复制了大量甲午战争时期的武器装备，还原再现了多个超写实人物塑像场景。'], '景区资质': ['国家5A级景区、全国爱国主义教育示范基地、国家一级博物馆'], '景区特色': ['参观、瞻仰、红色旅游、历史研究、博物馆、遗址从您位置到甲午战争']}",32,488,"{'最佳游览时间': ['四季皆宜'], '购物推荐': ['北洋海军提督署入口处、一进院落东侧、部分展厅内设有旅游纪念品销售点。', '博物院内部不设餐饮场所，参观游客可选择刘公岛景区内餐饮场所，如刘公岛宾馆、各特色海鲜饭店。']}","{'景区位置': ['中国>山东省>威海市>环翠区>嵩山街道'], '到达方式': ['乘车路线：15路、旅游观光巴士到旅游码头下车，9路金线顶区间、13路、16路、22路、23路、24路、26路到海港客运站下车。然后乘船前往博物馆所在地刘公岛。', '自驾路线：世昌大道、新威路、海滨北路行驶至旅游码头即可。']}",{'甲午战争门票价格': ['免费开放']},"['淡季8:30—16:30(16:00停止入场)', '旺季7:30—18:00(17:30停止入场)']"
威海华夏城,山东省,威海市,环翠区,"{'景区简介': ['威海“华夏城”是一处集旅游、休闲、商贸、居住等综合功能于一体的现代化旅游新城，风景区位于美丽的海滨度假城市威海，是中外朋友理想的旅游度假胜地。'], '景点分布': ['华夏城旅游风景区东临大海、西枕龙山，总占地16.28平方公里，其中有中国跨度最大且极具华夏文化韵味的牌楼——华夏第一牌楼（长86米、高21米）、世界独一无二的三面圣水观音（青铜铸造，重78吨）、拥有1000多年历史的胶东最大寺庙——太平禅寺、大型山水实景演艺《神游华夏》，以及威海最大的游乐主题公园“欢乐华夏游乐园”，是中外朋友理想的旅游度假胜地。'], '景区资质': ['国家5A级景区'], '景区特色': ['机动游戏、亲子游、游乐园、主题公园从您位置到华夏城']}",74,270,"{'旅游攻略': ['1、神游海洋世界表演时间：', 'a.动感影院：10分钟，9：00、11：30、13：30、15：30', 'b.群鱼表演：12分钟，10：00、14：00', 'c.欢乐海洋剧场：20分钟，10：30、15：00', '2、《神游华夏》演出时间：演出时间19：20→20：20', '3、华夏城景区表演时间：', 'a.圣水观音音乐喷泉：18分钟，3月7日-31日9:30、15:30，3月周六周日9:30、10:30、15:30，4月1日-6月30日9:00、11:00、15:30，5月1日-4日9:00、11:00、14:30、15:30', 'b.大转轮杂技表演：10分钟，4月1日-6月30日8:10、13:30，5月1日-4日8:10、13:30', 'c.马术表演：10分钟，4月1日-6月30日9:50、14:30，5月1日-4日9:50、14:30'], '最佳游览时间': ['四季皆可']}","{'景区位置': ['中国>山东省>威海市>环翠区>嵩山街道'], '到达方式': ['威海市区乘坐49/50路公交到华夏游乐园站点下车即是。']}","{'华夏城门票价格': ['1、华夏城景区：98元', '特殊群体优惠政策如下：', 'A、70周岁（含）以上老人凭有效证件给予免票优惠，60周岁——69周岁老人凭有效证件享受50元/人优惠价格；', 'B、现役军人、残疾人凭有效证件享受50元/人优惠价格；', 'C、1.2米（含）以下儿童给予免票；1.2米——1.4米（含）儿童享受50元/人优惠价格；1.4米以上儿童须购成人门票。', 'D、免票人员须购买5元/人保险费。', '备注：外籍游客不享受老人、儿童、残疾人等门票优惠政策。', '', '2、神游海洋世界：160元/人', '特殊群体优惠政策如下：', 'A、60周岁以上老人、现役军人、残疾人凭有效证件及1.2米-1.4米儿童，可享受90元/人优惠价。', 'B、一张成人票可免费带一名1.2米以下的儿童，多带的1.2米以下儿童须购买50元/人优惠票。', '', '3、《神游华夏》演艺：贵宾票188元，白金贵宾票288元，钻石贵宾票388元；一成年人可以带一个1.2米以下儿童（含1.2米），该儿童给予免费（不占座），多带的儿童需购买成人票。']}","['华夏城景区：7：45—17：00，16：30停止检票。', '游乐园：8：30—17：00，16：30停止检票。', '《神游华夏》）每年5月-10月中旬以实际时间为准）：检票时间18：00—19：00']"
威海仙姑顶旅游区,山东省,威海市,环翠区,"{'景区简介': ['威海仙姑顶旅游区被成为“天下第一玉景区”。景区投入2000余吨世界珍稀玉石，以玉为材精心打造近千件大型玉雕艺术品，数量之多、品相之丰，举世独一。其中玉仙宫所供300吨仙姑玉像为世界之最，乃世界级文化瑰宝。仙姑顶背倚巍峰仙境，鸟瞰东方福海，自古就是东方海文化和仙道文化的灵福圣境。青峰之上，春夏翠林清泉，流溢海光山色；秋冬彩林冰雪，迷幻琼楼玉阁，真可谓“烟云舒卷览胜景，松石古淡怡远情”。仙姑庙内存有大宋景德四年用汉辽两种文字杂刻，由大宋张维书写庙碑一块，是威海地区发现的最古老的庙碑。庙内香火兴旺，游人络绎不绝，庙会期间每天多达数万人，当地人称之为“圣洁之处”。'], '景点分布': ['仙姑顶景区内的主要景点有五行门、三多桥、如意湖、福禄广场、乾坤玉道、玉仙宫、仙姑庙、牌坟、聚仙阁、吕祖洞、仙姑洞、石塔、大石龟、望海亭、长寿亭等。'], '景区资质': ['国家4A级景区'], '景区特色': ['摄影、登山、宗教文化游、森林景观游、庙宇、森林从您位置到仙姑顶']}",80,260,"{'旅游攻略': ['民间根据传说，把农历3月15尊为仙姑的生日，每年从这一天始，仙姑顶下的望岛村都要举行7日盛大山会，以示纪念，流传至今。'], '最佳游览时间': ['夏季。'], '购物推荐': ['(当地特产)港西无花果、锡镶茶具、荣成绿茶、海参、鲍鱼、海胆、对虾，大樱桃。', '(特色美食)油炸万寿菜、石岛鸡蛋丸子、油炸天鹅蛋、雪丽桃花、猪脚姜、威海海参汤。']}","{'景区位置': ['中国>山东省>威海市>环翠区>嵩山街道'], '到达方式': ['威海市内乘坐12路、101路、53路、1路、33路、41路至望岛站（金谷房地产）下车，后转乘27路至仙姑顶景区。']}",{'仙姑顶门票价格': ['票价80元。']},['7：30—18：00']
威海林海湾国际海水浴场,山东省,威海市,环翠区,"{'景区简介': ['威海林海湾国际海水浴场是国内最好的海水浴场之一，是集娱乐、健身、度假于一体的多功能旅游区。这里水质纯净，沙质细软，冬暖夏凉，景色如画，海岸线全长2800余米，沙滩面积达30万平方米，可同时容纳10万游客前来观光，规模宏巨。浴场东西皆有青山环绕，且周围植有万亩松林带，它们遥相呼应，十分美观构成了一幅美丽的山水图景。'], '景点分布': ['林海湾国际海水浴场内现有游乐园、水上世界等沙滩游乐设施，并开设了快艇、游船、摩托艇、海上滑翔等水上游乐项目，让游客尽享海岸狂欢的乐趣。此外，景区还设有海上救护室、更衣冲洗室、餐厅和酒店等服务设施，可满足不同消费层次游客的需求。'], '景区资质': ['国家4A级景区'], '景区特色': ['避暑、度假、度假区、海滨、山、树林从您位置到威海国际海水浴场']}",67,305,"{'旅游攻略': ['1.威海国际海水浴场威海地处海岸线，天气变化多端，因此出发前一定要注意天气预报。', '2.在海边食用海鲜一定要选择新鲜的，如果是赶海自己捕捞，应去饭店加工熟后再食用。', '3.路边停车收费5元。'], '最佳游览时间': ['每年5月1日至10月1日。'], '购物推荐': ['美食：油炸万寿菜、雪丽桃花、威海海参汤、石岛鸡蛋丸子、油炸天鹅蛋、猪脚姜等；', '特产：港西无花果、锡镶茶具、海参、荣成绿茶、鲍鱼、海胆、对虾，大樱桃等。']}","{'景区位置': ['中国>山东省>威海市>环翠区>嵩山街道'], '到达方式': ['飞机路线：在威海机场下机后，可乘机场大巴至汽车站，再转乘7路或85路公交车，即可到达景区。', '轮船路线：游客可乘坐轮船至威海码头，再转乘7路或85路公交车到达景区。', '火车路线：游客乘坐火车到达威海站后，步行五分钟到达火车站门口北侧的公交汽车站。转乘12路公交车可直达火炬大厦，步行500米可达景区；也可在公交汽车站转乘转乘7路或85路公交车到达景区。']}",{'威海国际海水浴场门票价格': ['免费。']},['全天开放。']
威海环翠楼,山东省,威海市,环翠区,"{'景区简介': ['威海环翠楼是威海地标性建筑景观，也是观海上日出、眺望刘公岛风景的最佳之地。公园西夸古山东麓，倚山而建，呈上升地势，登楼可见“碧波浩淼于城东，绿翠掩映于四周，兼沧海山川之胜、水光山色之美”，在这里观海上日出尤为人们所称道，“山楼初旭”更是威海八景之一。景区另一个特色便是园中园，植物、花草四季常青，三季花开，无论避暑乘凉、中秋赏月，还是严冬大雪，环翠楼的景色美不胜收。'], '景点分布': ['环翠楼位于市区统一路82号，占地300多亩，包括环翠公园和环翠楼广场两部分。环翠楼主楼三层，高16.8米，前有297级台阶，楼上中堂供奉着丁汝昌、邓世昌等爱国将领木主和肖像；园内有动物区、花卉区、游乐区等，广场上有民族英雄邓世昌铜像。'], '景区资质': ['国家4A级景区'], '景区特色': ['休闲、摄影、公园、建筑、山、水从您位置到威海环翠楼']}",24,192,{'最佳游览时间': ['春夏']},"{'景区位置': ['中国>山东省>威海市>环翠区>嵩山街道'], '到达方式': ['乘车路线：', '5路、31路、108路、109路、110路、119路，在环翠楼站下车。']}",{'威海环翠楼门票价格': ['无']},"['全天', '登楼08:30-16:00']"
威海海滨生态公园风景带侨乡号游轮,山东省,威海市,环翠区,"{'景区简介': ['威海海滨生态公园风景带·侨乡号游轮是中国第一艘海上休闲度假游轮，也是目前国内最大最豪华的沿海型观光游轮。游轮行程中不仅游览中国好运角，穿越威海陆海景观名胜，饱览千里海滨魅力风情，还有首创海上秦始皇祭拜日主盛典演绎互动平台，使人在参与太阳祈福的神圣体验中，提升心境，获求好运，幸福一生。'], '景点分布': ['侨乡号游轮位于刘公岛旅游码头东100米，总长95.8米，载客量达500人。游轮上下共4层，主要包括主甲板、餐饮甲板、娱乐甲板、观景甲板，内设豪华海景客房、特色海洋餐厅、贵宾接待厅、海景酒吧茶吧、模拟高尔夫、VIP专属电梯、多功能演艺大厅等，可承接商务会议、沙龙论坛、海上婚礼、生日聚会、年节喜庆、文化展览等特色服务项目。'], '景区资质': ['国家4A级景区'], '景区特色': ['休闲、娱乐、海滨从您位置到侨乡号游轮']}",0,1,{'最佳游览时间': ['夏秋两季']},"{'景区位置': ['中国>山东省>威海市>环翠区>嵩山街道'], '到达方式': ['32路至刘公岛旅游码头']}","{'侨乡号游轮门票价格': ['7小时航线598元', '12小时航线798元']}","['7小时航线10：00—17：00', '12小时航线19：00—07：00']"
山东威海幸福公园,山东省,威海市,环翠区,"{'景区简介': ['山东威海幸福公园以亲海性和威海特色文化内涵为主题，雕塑极多，是海滨观光带上的一处开放式公园。集旅游、休闲、商业、餐饮和娱乐于一体的幸福公园，拥有超优的绿化和景观，形成了完整的沿海绿化脉络和生态轴线。特别是高耸入云的幸福门，更是成为整个海滨区域的亮点，带领威海人和前来观光的游客共同见证着今日生活翻天覆地地变化。'], '景点分布': ['幸福公园位于海滨北路的威海港口区域，占地20公顷。在1566米长的公园内，共分为五个功能区，即以音乐为主题的海韵区、威海历史和未来的海阅区、以《威海赋》命名的海赋区、活动最佳场所海情区和倡导海上运动的海翔区。人们可以沿着景观道，眺望威海湾繁忙又宁静的自然风光，欣赏万福图、幸福门、智慧之书等标志性景观；还可在园中穿行，了解孔子、贝多芬、莎士比亚、司马迁等诸多古今中外名人的故事。'], '景区特色': ['休闲、看海、亲水、娱乐、公园、雕塑、港口、浴场、海滨从您位置到幸福公园']}",16,296,"{'旅游攻略': ['喜欢海景，并且有充足时间和体力的游客，可以从威海港出发，沿着环海路步行。沿途有威海公园、定远舰、海源公园、海滨浴场等旅游景区，也可乘坐旅游巴士随时在中途下车。'], '最佳游览时间': ['四季皆宜']}","{'景区位置': ['中国>山东省>威海市>环翠区>嵩山街道'], '到达方式': ['乘车路线：乘坐长途车的游客到威海港客运站往南走2分钟即到，国际海水浴场可乘坐旅游巴士和7路公交直达，威海火车站乘坐1路、23路、33路和106路直达；市区内可乘坐旅游观光巴士、10路、39路，到海港客运站或民族宗教中心下车，即可。', '自驾路线：荣乌高速→世昌大道/威青高速→青岛南路→青岛北路，进入市中心后沿着海滨北路行驶即可。']}","{'幸福公园门票价格': ['公园：无门票', '幸福门观光：38元/人，保险2元/人。']}",['幸福门观光早8点开放。']
威海毛泽东像章珍藏馆,山东省,威海市,环翠区,"{'景区简介': ['威海毛泽东像章珍藏馆是威海首家民办博物馆，也是世界最大的毛泽东像章馆。展馆集教育展览、参观旅游、学习研讨等为一体，展出的像章共计12万余枚，最小的直径仅1厘米，最大的像章直径1.08米，重达23公斤，让更多的人通过像章了解毛泽东的丰功伟绩。'], '景点分布': ['毛泽东像章珍藏馆位于市区以南韶山路1号，占地3300平方米。馆内收藏毛泽东各个时期像章、军功章、奖章、勋章、纪念章157余万枚，同时还收藏了毛泽东塑像、红色瓷器、红色书籍、宣传画上万件。'], '景区资质': ['国家3A级景区'], '景区特色': ['休闲、历史文化、名人文化、爱国教育、展馆从您位置到毛泽东像章']}",0,0,"{'最佳游览时间': ['四季皆宜'], '购物推荐': ['像章、红色纪念品']}","{'景区位置': ['中国>山东省>威海市>环翠区>嵩山街道'], '到达方式': ['乘车路线：110路、118路、206路、207路、208路、209路、k6路临港区管委站', '自驾路线：青岛中路→威青一级公路→江苏东路→丰台路']}",{'毛泽东像章门票价格': ['免费']},['08：30—16：30']
