name,province,city,location,desc,want,has_been,strategy,route,ticket_info,open_time
广东陈家祠博物馆,广东省,广州市,荔湾区,"{'景区简介': ['广州陈家祠作为典型的南方祠堂建筑，其建筑风格和装饰艺术可谓集广东民间工艺之大成，是广东现存规模最大、保存最完整、装饰最精美的古代艺术建筑，是广东民俗文化的代表性建筑，以“古祠留芳”为名入选新世纪“羊城八景”。'], '景点分布': ['陈家祠（广东民间工艺博物馆）位于广州市中山七路，又称陈氏书院，书院建于清光绪十四年(1888年)，历经四年竣工落成，始建时用作广东各县陈氏子弟来省城应科举时学习及住宿场所，也是当时广东72县陈姓祭祀祖宗的宗祠。', '陈家祠坐北朝南，占地15000平方米，其中主体建筑平面呈正方形，面宽和纵深均为80米，建筑面积6400平方米，整座建筑以中路为主线，两边厅堂、厢房围合，院廊穿插，每座单体之间以青云巷相隔，长廊相连，前后共有9个厅堂和6个庭院及东西斋10间房子，厅堂高大雄伟，廊庑秀美，庭院幽雅，院落间以花屏门作隔，布局严谨对称，空间宽敞，主次分明，虚实相映，表现出岭南建筑与园林相结合的风格，是极为典型的广东民间宗祠式艺术建筑，被誉为岭南建筑的明珠。', '陈家祠之所以成为广东民间工艺博物馆，不仅因为它的建筑园林，更因为其独具特色的""三雕三塑一铸铁""的装饰艺术：""三雕""是指门口石狮、石鼓等石雕；左门两边墙壁嵌砌的砖雕，左为《水浒聚义厅》，右为《刘庆伏狼驹》；木雕在陈家祠处处可见，斗拱昂梁是陈家祠的木雕艺术精品的具体体现，此外屋内的大屏风木雕（包括浮雕、通雕等）也是代表；""三塑""是指陈家祠房顶上处处可体现出来的彩塑、灰塑和陶塑；""一铸""是指陈家祠内高超的铸铁工艺品。每座房子从柱梁到瓦脊，缀满各种雕刻工艺品，有石雕、木雕、砖雕、泥塑、陶塑和壁画，琳琅满目，古朴而不失绚丽，粗犷中而又见纤巧，很有欣赏价值。'], '景区资质': ['国家4A级景区'], '景区特色': ['文化游、建筑、博物馆、民间艺术、城市观光、建筑、祠堂、博物馆从您位置到陈家祠']}",164,1307,{'最佳游览时间': ['四季皆可']},"{'景区位置': ['中国>广东省>广州市>荔湾区>茶蚪值'], '到达方式': ['1、地铁一号线陈家祠站下；', '2、公交85、88、104、107、109、114、128、193、204、233、250、260、268、286路陈家祠站下；', '3、公交15、52、55、105、133、196、207、232、223、549、555路荔湾路站下。']}",{'陈家祠门票价格': ['10元/人']},['8：30－17：30']
广州上下九步行街,广东省,广州市,荔湾区,"{'景区简介': ['广州上下九步行街是广州市三大传统繁荣商业中心之一，全长约1237米，共有各类商业店铺300余间和数千商户。在漫长的历史长河中，逐步形成了当今商业步行街中西合璧的四大西关风情特色，并构筑成一副独特的、绚丽多姿的西关风情画，营造出亮丽的旅游风景线。'], '景点分布': ['上下九步行街荟萃了岭南文化中的岭南建筑文化、岭南饮食文化和岭南西关风情。街区遍布各种老商铺、骑楼建筑、雕塑等，夜景更是值得一看。'], '景区特色': ['休闲、观光、商业街从您位置到上下九']}",118,888,"{'最佳游览时间': ['9-11月'], '购物推荐': ['（特产）荔枝、粤绣、广式腊味、岭南药品、凉茶等。', '（美食）糯米鸡、肠粉、广式萝卜糕、艇仔粥、叉烧包等。']}","{'景区位置': ['中国>广东省>广州市>荔湾区>茶蚪值'], '到达方式': ['乘车路线：乘530路，在上下九步行街站下车即可。', '驾车路线：市内走十八甫路等即可。']}",{'上下九门票价格': ['无门票']},['全天']
广州沙面大街,广东省,广州市,荔湾区,"{'景区简介': ['广州沙面大街可以算是中国最富有欧陆风情的地方，位于广州市区西面、广州市荔湾区人民桥西侧、珠江白鹅潭畔，与六二三路以沙基涌相隔，较完整地保留19世纪英法租界欧陆风情风貌，是广州著名的外事游览区和历史文物保护区。'], '景点分布': ['沙面大街有着与广州其他地方不同的氛围和生活节奏，也没有交通拥阻、废气污染的问题。街上有各式风情建筑、栩栩如生的铜像、清新的花园、内部极为精美的教堂、珍贵的古树等，迷人的街景一定会让人流连忘返。'], '景区特色': ['文化、建筑、街道从您位置到沙面']}",81,694,"{'最佳游览时间': ['四季皆宜'], '购物推荐': ['（特产）广彩、绒绣、广式腊味、饼食、凉茶等。', '（美食）广式糯米鸡、虾饺、肠粉、云吞面、叉烧包等。']}","{'景区位置': ['中国>广东省>广州市>荔湾区>茶蚪值>沙面街道'], '到达方式': ['乘车路线：乘1路、25路、57路、181路、219路、538路等，在\t黄沙码头站下车即可。', '驾车路线：沿沙面南街行驶，左转进入沙面二街行驶，后左转进入沙面北街行驶即可。']}",{'沙面门票价格': ['无门票']},['全天']
广州荔湾区博物馆,广东省,广州市,荔湾区,"{'景区简介': ['广州荔湾博物馆以收藏、陈列和研究荔湾历史、文化、民俗为主，是广东省首家区级博物馆。博物馆在名人故居和复建的具有地方特色的建筑上开设，无论内外，都充满了浓浓的历史文化氛围。馆内既展现了民族资本家——陈廉仲、著名抗日将领——蒋光鼐两位名人的生平事迹，又再现了传统西关大屋的典型模式及西关住家的生活情态和文化景观。此外，岭南特色的庭院与西式别墅共现的完美景致，被誉为“岭南石山奇景代表作”的“石上飞榕”，更是令人眼前一亮。'], '景点分布': ['荔湾博物馆坐落在龙津西路逢源北街84号，由陈廉仲旧居、西关大屋、蒋光鼐故居三大展区组成。陈廉仲旧居内设馆藏精品展和临时展览厅；西关大屋为西关民俗馆，以明清广式家具为主，辅以“西关大屋建筑意境”、“西关民俗风情”、“婚嫁习俗”、“节令习俗”等展览，展示西关人家的生活习俗及昔日“西关角”、“住家林”的神韵；蒋光鼐故居展出了蒋光鼐先生后人捐赠的200多件珍贵文物资料，向观众展示其早期金戈铁马、跌宕起伏的革命生涯以及后期为中国的民族民主革命和社会主义建设事业所做的巨大贡献。'], '景区资质': ['国家3A级景区'], '景区特色': ['参观、爱国教育、历史文化、博物馆、旧址从您位置到荔湾博物馆']}",3,32,"{'游览路线': ['西关大屋：大门→门官（门厅）→轿厅→正厅（又称大厅或神厅）→头房（长辈房）→二厅（饭厅）→二房（尾房）'], '最佳游览时间': ['四季皆宜']}","{'景区位置': ['中国>广东省>广州市>荔湾区>茶蚪值'], '到达方式': ['乘车路线：8路、25路泮塘路站，74路、15路、25路、55路、2路逢源路站，2路、25路、55路、74多宝路口站；地铁一号线长寿路站，五号线中山八路站。', '自驾路线：广州市后朝华南快速/广园高速→黄埔大道/东风路→中山一路→中山八路→龙津西路→逢源北街→荔湾博物馆']}","{'荔湾博物馆门票价格': ['全票10元', '半票5元', '未成年人及65岁以上老人免费；10人以上团队6折']}",['每周二至周日8：30-17：30对外开放，17：00停止售票，逢周一闭馆（法定节假日和特殊情况除外）']
广州永庆坊非遗街区,广东省,广州市,荔湾区,"{'景区简介': ['永庆坊是极具广州都市人文底蕴的西关旧址地域，也是广州首个非物质文化遗产街区。永庆坊所在的恩宁路是广州最著名的历史文化街区，遍布广州老字号和历史建筑，承载着千年商都的文化记忆。在保护历史文化的基础上，通过打造非遗街区，让非遗走向市场，使其更具生命力；让非遗走近百姓生活，成为见人见物见生活的文化元素；让非遗成为可购可学可参观的旅游项目，实现更好的传承和弘扬；成为游人品味广州百年老街市井气息、体验岭南文化艺术魅力的新窗口。'], '景点分布': ['永庆坊位于广州荔湾区恩宁路，东连上下九地标商业街，南衔沙面，面积约76公顷。街区共分两期，核心区域主要包括永庆坊、粤剧艺术博物馆、荔枝湾三大标志景区，有李小龙祖居、八和会馆、銮舆堂、金声电影院、泰华楼、詹天佑故居、清宝庆大押、永庆大街24-28双号民居等主要历史保护建筑，多个大师工作室内可了解广彩、赵家狮、古琴等广州地区的非物质文化遗产，甚至可亲自动手参与其中。'], '景区资质': ['国家4A级景区'], '景区特色': ['文化艺术、历史文化、街区、建筑']}",1,13,{'最佳游览时间': ['四季皆宜']},"{'景区位置': ['中国>广东省>广州市>荔湾区>茶蚪值'], '到达方式': ['地铁1号线黄沙站', '公交车：2路3路82路105路夜33路恩宁路站']}",{'广州永庆坊门票价格': ['免费']},['全天']
广州动物园,广东省,广州市,越秀区,"{'景区简介': ['广州动物园与北京动物园、上海动物园并称为全国三大城市动物园，是国内展览动物种类和数量最多的城市动物园之一。广州动物园园林景观呈现“四季春常在，花开香满园”的岭南园林特色，园内饲养和展览着国内外珍稀动物400多种5000多头（只），其中既有我国特有的大熊猫、金丝猴、华南虎等国宝动物，也有来自世界各地的河马、犀牛、非洲象等珍奇动物，是国内具有较高知名度和影响力的野生动物保护基地。'], '景点分布': ['广州动物园位于广州市中心地带，与北京动物园、上海动物园并称为全国三大城市动物园，是国内展览动物种类和数量最多的城市动物园之一。', '广州动物园总占地面积约42公顷，因地制宜地利用山林、湖泊进行园林式布局，并种植了各种亚热带、热带植物，绿地覆盖率高达85%，形成了良好的植物群落和绿化景观，充分展现了“四季春常在，花开香满园”的岭南园林特色。公园秉承“探索、求是，创生态佳境；献身、兴业，供大众受益”的园训，以为动物创造和谐家园为目标，不断丰富动物展出的种类和数量，目前园内饲养和展览着国内外珍稀动物400多种5000多头（只），其中既有我国特有的大熊猫、金丝猴、华南虎等国宝动物，也有来自世界各地的河马、犀牛、非洲象等珍奇动物，是国内具有较高知名度和影响力的野生动物保护基地。', '广州动物园作为综合性的游览场所，经营模式新颖多样，“动物进食大观”项目安排饲养员在每天的固定时间向游客展示投喂河马、大象、鹈鹕等动物的进食奇观；海洋馆、锦鳞苑、蝴蝶园等主题展馆以专题展示的形式，为游客展开大自然的奇妙之旅；驯兽表演场每天上演精彩的马戏节目，让游客一睹动物奇趣；动物广场动物摄影区不仅可以满足游客近距离接触小熊猫、狒狒等动物的愿望，还可以和动物明星合影留念，留下与动物朋友之间难忘的一刻；大型游乐场有适合一家大小的游乐项目，是喜爱机动游戏朋友们的最佳选择；另外，节日期间公园还会策划推出各项精彩纷呈的动物主题活动，让广大游客尽享丰盛的节日大餐。'], '景区资质': ['国家4A级景区'], '景区特色': ['动物园、亲子游、周末游、动物园、公园从您位置到广州动物园']}",1123,4261,"{'旅游攻略': ['保育员讲解时间【具体讲解时间以现场公布为准】', '河马讲解时间：星期三、五、六，10：20-10：40、15：20-15：40；', '斑马讲解时间：星期一、四、六，11：00-11：20、15：30-15：50；', '犀牛讲解时间：星期二、六、日，11：00-11：20、15：30-15：50；', '羚羊讲解时间：星期二、三、日，11：00-11：20、15：00-15：20；', '耳廓狐讲解时间：星期一、二、日，10：30-10：50、14：30-14：50；', '黑猩猩讲解时间：星期二、六、日，10：30-10：50、14：10-14：30；', '狮子讲解时间：星期一、三、六，11：00-11：20、15：00-15：20；', '火烈鸟讲解时间：星期五、六，10：40-11：00、14：10-14：30；', '水獭讲解时间：星期六、日，10：40-11：00、15：00-15：20；', '狮子讲解时间：星期六、日、一，11：00-11：20、15：00-15：20；', '长臂猿讲解时间：星期三、六，14：30-14：50、13：00-13：20。'], '最佳游览时间': ['四季皆可']}","{'景区位置': ['中国>广东省>广州市>越秀区>东山街道'], '到达方式': ['广州市内乘坐地铁5号线动物园站下车，或乘公交290、127、192等路公交在公园北门下车，287路在公园南门下车，均可到达景区。']}","{'广州动物园门票价格': ['大门：20元/人', '锦鳞欢乐谷：20元/人', '驯兽表演：20元/人', '动物广场：20元/人', '优惠套票（锦鳞欢乐谷、驯兽表演、动物广场）：50元/人']}","['4月16日—10月15日：8:00—16:30', '10月16日—次年4月15日：8:00—16:00', '海洋馆', '4月16日—10月15日：8:30—16:30', '10月16日—次年4月15日：8:30—16:00']"
广州中山纪念堂,广东省,广州市,越秀区,"{'景区简介': ['中山纪念堂位于1921年孙中山先生在广州出任临时大总统时的总统府旧址，由南京中山陵设计者——我国著名建筑师吕彦直先生设计，1929年动工，1931完成，是一座广州人民和海外华侨为了纪念伟大的革命先行者孙中山先生而筹资兴建的纪念性建筑物。'], '景点分布': ['中山纪念堂是一座广州人民和海外华侨为了纪念伟大的革命先行者孙中山先生而筹资兴建的纪念性建筑物。纪念堂位于越秀公园南麓的东风中路，是1921年孙中山先生在广州出任临时大总统时的总统府旧址，由南京中山陵设计者——我国著名建筑师吕彦直先生设计，1929年动工，1931完成，新中国成立后，政府曾7次拨巨款对中山纪念堂堂体进行修缮和进行周围环境的维护，使这里变得更为幽静、舒适，是中外人士游览的胜地。'], '景区资质': ['国家4A级景区'], '景区特色': ['孙中山、纪念馆、近代史、建筑、纪念馆从您位置到中山纪念堂']}",684,4520,{'最佳游览时间': ['四季皆可']},"{'景区位置': ['中国>广东省>广州市>越秀区>东山街道'], '到达方式': ['广州市内乘坐2、6、7、12、24、27、41、42、121、193、217路公交车，或乘坐地铁2号线在纪念堂站下可达。']}",{'中山纪念堂门票价格': ['园区免费参观，纪念堂室内展厅门票10元/人。']},"['展览园区：08:00——18:00；', '非展览园区：06:00——22:00']"
广州越秀公园,广东省,广州市,越秀区,"{'景区简介': ['越秀公园因越秀山而得名，是广州最大的综合性文化观赏公园，公园总面积86万平方米，以山水秀丽、文物古迹众多、风景优美而著称，自秦汉时代便是岭南地区的游览胜地。'], '景点分布': ['越秀公园位于广州市解放北路，因越秀山而得名，是广州最大的综合性文化观赏公园。越秀公园总面积86万平方米，自秦汉时代便是岭南地区的游览胜地，以山水秀丽、文物古迹众多、风景优美而著称，历代“羊城八景”中享有盛名的“粤台秋月”、“粤秀连峰”、“粤秀松涛”均在此园，为公园增添了无比的魅力。'], '景区资质': ['国家4A级景区'], '景区特色': ['怀古、孙中山、近代史、周末游、古迹、公园、城市观光从您位置到越秀公园']}",257,4972,"{'游览路线': ['五羊停车场出发→明绍武君臣冢、王兴将军墓→正门广场→锦鲤观赏→韩国园→越秀泳场→四方炮台→美术馆→海员亭、光复亭→镇海楼→越秀山体育场→伍庭芳塑像→中山纪念碑→球型水塔→明古城墙→五羊石像（终点）'], '最佳游览时间': ['四季皆可']}","{'景区位置': ['中国>广东省>广州市>越秀区>东山街道'], '到达方式': ['广州市区乘坐地铁二号线可直达公园正门。']}",{'越秀公园门票价格': ['免费开放']},['6：00—21：00']
广州黄花岗公园,广东省,广州市,越秀区,"{'景区简介': ['广州黄花岗公园是为纪念辛亥革命时期广州“三·二九”起义战役中牺牲的烈士而建造的纪念公园。'], '景点分布': ['黄花岗公园位于广州市区北面的白云山南麓先烈中路，始建于1912年，现公园占地面积约13万平方米，正门牌坊上镌刻着孙中山先生亲笔题词的""浩气长存""，园内主干道两旁苍松翠柏排列有序，岗陵上安放着七十二烈士之墓，墓后的纪功坊上屹立着自由女神像，被评为羊城八景之一""黄花浩气""及广州十大美景之一""辛亥之光""，为市级、省级和中国侨联爱国主义教育基地。', '1911年4月27日（农历辛亥三月二十九日）孙中山先生领导的同盟会在广州领导和组织的起义失败，同盟会会员潘达微，冒着生命危险把散落的七十二烈士遗骸收殓安葬于红花岗（后改名“黄花岗”），史称“黄花岗七十二烈士”。'], '景区资质': ['国家4A级景区'], '景区特色': ['爱国主义教育、中国近代史、公园、陵园从您位置到黄花岗']}",189,1557,{'最佳游览时间': ['四季皆可']},"{'景区位置': ['中国>广东省>广州市>越秀区>东山街道'], '到达方式': ['广州市区乘坐6、10、11、16、63、65、74、78、85、192、201、219、271、290、236、862等公交路线在黄花岗站下车即到。']}",{'黄花岗门票价格': ['8元/人']},['6:00-18:30']
广州起义烈士陵园,广东省,广州市,越秀区,"{'景区简介': ['广州起义烈士陵园是为纪念1927年12月在中国共产党领导下的广州起义中英勇牺牲的烈士兴建的纪念性公园，有“红陵旭日”的美称。'], '景点分布': ['广州起义烈士陵园位于广州市中山二路92号，纪念园总面积18.6公顷，按功能的不同分为陵和园两个区，陵区为纪念瞻仰区，园区为休憩游览区。陵区建筑庄严肃穆，绿化以苍松翠柏和红花为基调；园区则是典型的岭南园林风格，以清新淡雅的绿化配置和园林造景为特色。陵园里苍松翠柏，有广州起义纪念碑、广州公社烈士墓、四烈士墓、叶剑英同志纪念碑、广州起义领导人雕像纪念广场等建筑，芳草碧水间坐落着富有民族特色的血祭轩辕亭、中朝人民血谊亭等，其上铭刻有老一辈无产阶级革命家周恩来、朱德、董必武、邓小平、叶剑英等的亲笔题词，气氛庄严肃穆，是烈士们英魂永存的地方。', '第一次国内革命战争失败后，1927年12月11日凌晨，中共广东省委书记张太雷和叶挺、叶剑英、苏兆征、聂荣臻、徐向前等同志领导发动了广州起义（包括崔镛健在内的150多名朝鲜同志和苏联驻广州领事馆人员也参加了起义），成立了广州苏维埃政府——“广州公社”，由于敌我力量悬殊，经三天三夜浴血奋战，起义不幸失败，起义中有5700多名共产党人和革命群众惨遭杀害。广州起义是创建人民政权的一次伟大尝试，它和南昌起义、秋收起义连接在一起，成为中国共产党独立领导革命战争和创造人民军队的伟大开端。'], '景区资质': ['国家4A级景区'], '景区特色': ['近代史、爱国教育、陵园、公园从您位置到烈士陵园']}",107,1259,{'最佳游览时间': ['四季皆可']},"{'景区位置': ['中国>广东省>广州市>越秀区>东山街道'], '到达方式': ['南门：公交1、22、40、101、102、107、222、102路或地铁1号', '北门：公交2、39、42、50、56、62、86路']}",{'烈士陵园门票价格': ['免费开放']},['6：00-21：00']
