name,province,city,location,desc,want,has_been,strategy,route,ticket_info,open_time
南昌八一起义纪念馆,江西省,南昌市,东湖区,"{'景区简介': ['八一南昌起义纪念馆位于江西省南昌市中山路西端洗马池“八一”南昌起义总指挥部旧址内，占地面积5000平方米，馆藏文物2600余件，为中国爱国主义教育示范基地。'], '景点分布': ['除纪念馆为，还下辖4处八一起义旧址：贺龙指挥部旧址、叶挺指挥部旧址；朱德创办的军官教育团旧址；位于花园街2号的朱德旧居。'], '景区资质': ['国家4A级景区'], '景区特色': ['爱国教育、名人故居、纪念馆从您位置到纪念馆']}",529,3103,"{'最佳游览时间': ['春秋两季'], '购物推荐': ['江西梨瓜、葡萄豆豉、南昌瓷板画像、李渡高梁酒等。']}","{'景区位置': ['中国>江西省>南昌市>东湖区>沙井街道>卫东街道>生米镇>凤凰洲管理处>红角洲管理处>九龙湖管理处>扬子洲镇>扬农管理处'], '到达方式': ['市内乘2路公交车，旅游一线公交，7路电车可到。']}",{'纪念馆门票价格': ['现已免费开放']},['09：00～16：30（周一闭馆）']
南昌八一广场,江西省,南昌市,东湖区,"{'景区简介': ['南昌八一广场是整座南昌市的中心和心脏地带，也是这座历史之城最具意义的地方之一。广场集爱国教育、红色旅游和生活服务万宠于一身，是通往市区四方的直通大道，也是南昌市民活动的中心。每逢夜幕降临，南昌起义纪念塔在喷泉和灯光的衬托下，备显壮观，让人们在忙碌地都市生活中铭记那份永不磨灭的记忆。'], '景点分布': ['八一广场座落在市区八一大道、中山路、孺子路等主干街道的交汇处，毗邻商业街和市内重要公园。广场由中心广场、主席台、东西游园区组成，以八一南昌起义纪念塔和升旗台为主，辅以金水河、音乐喷泉、军史浮雕、军史石刻和水幕电影。人们在广场不仅可以学习历史，还可以进行一系列休闲活动，一些重要的城市活动也会在这里举办。'], '景区特色': ['休闲、瞻仰、历史游、购物、美食、广场、纪念碑、雕塑、喷泉、商场从您位置到八一纪念碑']}",114,1666,"{'旅游攻略': ['1.广场喷泉在每天傍晚时分开启。', '2.市内一日游：滕王阁→佑民寺→百花洲→南昌起义纪念馆→八一广场→绳金塔'], '最佳游览时间': ['四季皆宜'], '购物推荐': ['（购物）石头街麻花、江西煌上煌、军山湖大闸蟹、南昌瓷板画像。', '（美食）咸鱼烧排骨、煨汤-鸡蛋肉饼汤、藜蒿炒腊肉、筒骨鱼头火锅、传统全家福火锅、拌米粉、肉末茄子、河蚬。']}","{'景区位置': ['中国>江西省>南昌市>东湖区>沙井街道>卫东街道>生米镇>凤凰洲管理处>红角洲管理处>九龙湖管理处>扬子洲镇>扬农管理处'], '到达方式': ['南昌：可选择飞机抵达南昌昌北国际机场，火车抵达南昌站，长途车抵达洪城汽车客运站。', '乘车路线：2路内环及外环、6路、88路及短班空调、215路空调、231路内环及外环、317路，可直达八一广场。']}",{'八一纪念碑门票价格': ['免费']},['全天']
南昌八一公园,江西省,南昌市,东湖区,"{'景区简介': ['南昌八一公园绿荫如盖，湖水荡漾，是清代贡院的所在地，更是古代众多名人学士吟诵的对象。公园内融湖泊、岛屿、古建筑和历史文物等于一体，“豫章十景”中的“东湖月夜”及“苏圃春蔬”也在此处，而城市闹中取静的园林氛围也常年吸引市民和游客前来。'], '景点分布': ['八一公园分为湖区和陆区两部分。湖区主要有东湖、百花洲、百花桥、百花洲亭、柳堤、中山亭、苏堤拱桥、苏圃、六角亭、蘑菇亭、四角亭、水木清华馆、九曲桥、湖心亭、船坞码头等；陆区主要有文物草坪广场、品字亭、贡院井、茶室、儿童乐园、温室等，以供游人憩息。'], '景区特色': ['休闲、散步、观光、避暑、亲水、访古、公园、古建筑、文物、湖泊、岛屿从您位置到八一公园']}",57,901,"{'旅游攻略': ['每年公园都会举办花卉展、灯展等活动，非常热闹。'], '最佳游览时间': ['四季皆宜'], '购物推荐': ['（当地特产）南昌瓷板面像、煌上煌、枇杷、李渡高梁酒等。', '（特色美食）鳅鱼钻豆腐、牛肉炒粉、老妪酒糟鱼、白糖糕、石头街麻花等。']}","{'景区位置': ['中国>江西省>南昌市>东湖区>沙井街道>卫东街道>生米镇>凤凰洲管理处>红角洲管理处>九龙湖管理处>扬子洲镇>扬农管理处'], '到达方式': ['乘车路线：可乘坐27路、230路空调直达；或乘坐202路到百花洲下车。']}",{'八一公园门票价格': ['免费']},['08：00-20：00，百花洲08：00-17：00。']
南昌佑民寺,江西省,南昌市,东湖区,"{'景区简介': ['南昌佑民寺是南昌市唯一一座完整的寺院，其雄伟的规模、众多的佛像以及中国国内罕见的千佛缸都是佑民寺珍贵的宝物。寺院悠久的历史和不计其数的传说、故事，令游客更加神往。'], '景点分布': ['佑民寺内依次建有山门、前殿、铜佛殿、大雄宝殿、钟楼、鼓楼、接引殿、藏经楼和法堂，以及大寮、书林、库房、斋堂等。寺内尤以高大的铜佛和千佛缸为最大观赏对象，尽显佛教和寺院的宏大。每年的佛教节日和法会，也聚集了各地的信徒，非常热闹和鼎盛。'], '景区特色': ['参观、拜佛、访古、历史游、古建游、宗教、古建筑从您位置到佑民寺']}",57,226,"{'游览路线': ['南昌一日游：滕王阁→佑民寺→绳金塔'], '最佳游览时间': ['四季皆宜'], '购物推荐': ['（当地特产）南昌瓷板面像、煌上煌、枇杷、李渡高梁酒等。', '（特色美食）鳅鱼钻豆腐、牛肉炒粉、老妪酒糟鱼、白糖糕、石头街麻花等。']}","{'景区位置': ['中国>江西省>南昌市>东湖区>沙井街道>卫东街道>生米镇>凤凰洲管理处>红角洲管理处>九龙湖管理处>扬子洲镇>扬农管理处'], '到达方式': ['乘车路线：在市区乘坐230路空调可直达；或乘坐17路、33路到水观音亭下车；或乘坐27路到八一公园下车。']}",{'佑民寺门票价格': ['2元/人']},['09：00-18:00']
南昌八一大桥,江西省,南昌市,东湖区,"{'景区简介': ['南昌八一大桥是江西第一座斜拉桥，也是江西南昌最长的一条斜拉索桥，为连接湘、鄂、皖及赣北各地的重要通道。大桥外型雄伟壮观，巍巍高塔与两岸高楼对应，纵横设计采用竖曲线，好似长虹卧波。南引桥三层，全互通立交，喇叭型，四个圆圈像蝴蝶飞舞，圈内矗立着体现江西历史文化的浔阳楼、郁孤台、牡丹亭、龙珠阁四个楼台亭阁。大桥南岸桥头石雕黑白双猫，寓意深刻。北岸铸铜双狮，威武雄壮。整座大桥宛如巨龙横卧在赣江之上，成为南昌一道新的旅游风景线。'], '景点分布': ['八一大桥位于市区赣江东西两岸，全长约6公里，由主桥、引桥、引道三部分组成。桥面有效宽度28米，双向四车道，有浮雕、石雕等景观。'], '景区特色': ['休闲、观光、摄影、桥梁、建筑、江河从您位置到八一大桥']}",0,272,{'最佳游览时间': ['四季皆宜']},"{'景区位置': ['中国>江西省>南昌市>东湖区>沙井街道>卫东街道>生米镇>凤凰洲管理处>红角洲管理处>九龙湖管理处>扬子洲镇>扬农管理处'], '到达方式': ['乘车路线：2路、2路区间、12路、28路、39路、139路、160路、230路，在八一桥下车即可。', '自驾路线：沿江北大道、阳明路、赣江大道、庐山南大道等都可通往八一大桥。']}",{'八一大桥门票价格': ['免费']},['全天']
南昌之星摩天轮,江西省,南昌市,东湖区,"{'景区简介': ['南昌之星摩天轮现为目前世界上第五高的摩天轮，摩天轮下的游乐园也已成为南昌乃至江西最大的游乐园区。南昌之星足有五六十层楼高，2006年建成时是当时世界最高摩天轮。轮面彩灯由六七千根LED半导体照明器件构成，全部亮灯后除了可以显示一座直径为153米的全球最大的电子钟，还可根据需要设定不同图案，彩灯系统已经预设了15套节目；另外，市民还可发送手机短信到控制系统，摩天轮的彩灯即可显示短信内容，字数只要在12个之内即可。'], '景点分布': ['南昌之星位于南昌红角洲赣江市民公园，除了160米高的摩天轮外，还有旋转过山车、太空梭、拉环蹦极、大风车、碰碰车、青蛙跳、旋转木马、环绕脚踏车、鲨鱼堡、自控飞机；非机动项目：秋千、水上漂、跷跷板、踏空绕、蹦蹦床、绳牵木桩、过绳网等35个项目的游乐园。从空中眺望，南昌风光一览无余，景色震撼。'], '景区特色': ['休闲、娱乐、游乐园从您位置到南昌之星']}",1,10,{'最佳游览时间': ['四季皆宜']},"{'景区位置': ['中国>江西省>南昌市>东湖区>沙井街道>卫东街道>生米镇>凤凰洲管理处>红角洲管理处>九龙湖管理处>扬子洲镇>扬农管理处'], '到达方式': ['17路、509路，学府路东口站', '51路、高铁巴士2线，南昌国际展览中心站']}","{'南昌之星门票价格': ['摩天轮50元', '游乐园100元']}","['摩天轮：', '周一至周五08:30~11:30、15:00~22:30', '周六至周日08:30~22:30', '天气不好和设备检修时摩天轮会暂时停运', '游乐园：', '09:00~18:00']"
南昌绳金塔,江西省,南昌市,西湖区,"{'景区简介': ['南昌绳金塔素有“水火既济，坐镇江城”之说，是南昌人的镇城之宝。绳金塔古朴秀丽，具有江南建筑的典型艺术风格，自唐代始建至今，已有一千一百多年的历史，是历史信息的载体，也是世代劳动人民智慧的结晶。'], '景点分布': ['绳金塔以历史文化为主线，以塔为主要景观，另有大成殿、千佛寺、金塔钟、孔子楹联园、剑池、明江园等景点。每年的绳金塔庙会也是一大盛世，吸引大量市民和游客竞相前往。'], '景区特色': ['参观、拜佛、访古、历史游、古建游、宗教、古建筑从您位置到绳金塔']}",218,859,"{'旅游攻略': ['1.每年的10月初都会举办绳金塔庙会，全国各地的有名小吃汇聚在此，非常热闹。', '2.隆兴院(戏台、茶楼)每天会上演南昌的地方戏。'], '游览路线': ['南昌一日游：滕王阁→佑民寺→绳金塔'], '最佳游览时间': ['四季皆宜'], '购物推荐': ['（当地特产）南昌瓷板面像、煌上煌、枇杷、李渡高梁酒等。', '（特色美食）鳅鱼钻豆腐、牛肉炒粉、老妪酒糟鱼、白糖糕、石头街麻花等。']}","{'景区位置': ['中国>江西省>南昌市>西湖区>沙井街道>卫东街道>生米镇>凤凰洲管理处>红角洲管理处>九龙湖管理处>朝农街道>绳金塔街道'], '到达方式': ['乘车路线：在市区乘坐5路、6路、9路外环、18路、26路内环、26路外环、206路、219路长班空调、221路空调、225路、230路空调、233路、305路、305夜、310路，到绳金塔下车即可。']}",{'绳金塔门票价格': ['15元/人']},['08：00-17：30']
南昌新四军军部旧址,江西省,南昌市,西湖区,"{'景区简介': ['南昌新四军军部旧址原为北洋军阀张勋公馆，1938年1月6日至4月4日，新四军军部在此正式对外办公，并组织指挥南方八省红军游击队下山改编为新四军，开赴抗日前线，相继设在这里的还有中共中央东南分局和新四军驻赣办事处。随后，新四军成为华中抗日的中流砥柱，为中华民族的解放事业建立了不朽功勋。', '这组中西合璧的古建筑内，展示着南方八省三年游击战争和新四军在南昌改编组建的历史，为人们了解革命历史，进行爱国主义教育等提供了最佳场所。优秀的园林设计也使整个景区更有主题性、纪念性，成为南昌又一重要的旅游热门地。'], '景点分布': ['南昌新四军军部旧址坐落在友竹路7号，由旧址保护区、陈列展示区和纪念广场区三部分组成。旧址保护区有军部旧址主楼7号楼、8号楼和一栋平房，复原陈列军部机关办公室和军首长叶挺、项英、曾山、黄道、张云逸、周子昆、邓子恢等领导的办公室及卧室。陈列展示区的陈列大楼内布置了全面展示新四军改编、组建、发展光辉历史的基本陈列。纪念广场区安放了新四军早期领导人的雕像，栽种了松柏、竹子、香樟、桂花等树木。'], '景区资质': ['国家4A级景区、爱国主义教育基地、省级文物保护单位'], '景区特色': ['休闲、参观、瞻仰、历史文化、爱国教育、纪念馆、旧址']}",1,135,{'最佳游览时间': ['四季皆宜']},"{'景区位置': ['中国>江西省>南昌市>西湖区>沙井街道>卫东街道>生米镇>凤凰洲管理处>红角洲管理处>九龙湖管理处>朝农街道'], '到达方式': ['乘车路线：25路、5路到三眼井站下车，232路到瓦子角站下车往南走1千米。']}",{'南昌新四军军部旧址门票价格': ['持有效身份证件在发票处免费领票参观。']},['周二至周日09：00—17：00，周一闭馆（法定节假日除外）。']
南昌华侨城欢乐象湖景区,江西省,南昌市,西湖区,"{'景区简介': ['欢乐象湖景区是南昌华侨城公司进入江西打造的全新大型滨水生态文商旅综合体项目。景区在充分反映南昌市历史文化、自然风貌的基础上进一步丰富南昌的文化旅游内涵，推动生态价值转化，定义南昌新的生活方式。融合城市中具有生态价值的公园绿地与具有经济活力的商业空间，成为一处“南昌微度假欢乐中心”。'], '景点分布': ['景区位于南昌市西湖区象湖西畔，占地面积约1500亩，主要规划“一中心、三街区、五公园、三人文、双酒店、一社区”的文旅格局。主要包括城市绿洲购物中心，曲水湾风尚街区、玩美公园美创街区、乐活街区，玛雅乐园、玩美公园、运动公园、生态艺术公园、欢乐星际亲子乐园，漂浮森林景观塔、鸟屿浮云景观塔、当代艺术馆，万豪酒店、福朋喜来登酒店，以及世纪水岸等。'], '景区资质': ['国家4A级景区'], '景区特色': ['休闲、娱乐、购物、亲水、游乐园、街区从您位置到华侨城欢乐象湖']}",0,0,{'最佳游览时间': ['四季皆宜']},"{'景区位置': ['中国>江西省>南昌市>西湖区>沙井街道>卫东街道>生米镇>凤凰洲管理处>红角洲管理处>九龙湖管理处>朝农街道'], '到达方式': ['【公交】261路、262路、29路、259路均可到达华侨城首末站（北）下车后步行即可到达。', '【地铁】乘坐地铁3号线至京家山站或乘坐4号线至云天路站/观洲站均可到达乐园附近。']}","{'华侨城欢乐象湖门票价格': ['玛雅乐园：成人180元，儿童长者100元，学生165元。', '身高1.2米以下（不含1.2米）的儿童免票，免票儿童须具有监护能力的成人陪同方可入园；身高1.2米（含1.2米）-1.5米（不含1.5米）的儿童或3（含3周岁）-12（不含12周岁）周岁儿童凭有效证件需购儿童票。', '70周岁（含）以上老人凭有效身份证件免费入园，需监护人或家属陪同并签署《免责协议》后方可入园。', '中国大陆（不含港、澳、台）全日制在校高职、大专、本科生，小学生、初中、高中、高职、中专、中技等全日制中小学生，凭学生证购买学生票。']}","['运动公园平日9:00-19:00，周末节假日9:00-19:00', '玛雅乐园10:00-22:00']"
南昌万寿宫历史文化街区,江西省,南昌市,西湖区,"{'景区简介': ['万寿宫历史文化街区既是江西会馆的发源地和全世界1000多所万寿宫的祖庭，也是一个承载着南昌历史文化变迁和祖辈记忆的地方。早在明代中期，南昌万寿宫地区就有“商贾如云，货物如雨，万足践踏，冬无寒土”之说，到了', '清同治十二年（1873年），万寿宫街区内街巷已经形成。20世纪初，万寿宫一带是南昌最早的旺铺街区，瓷器、夏布、丝绸、香料、海产品等在这里进出，成为集商帮文化、道教文化和市井文化于一体的繁华闹市。如今，在极大程度保留还原历史风貌的同时，这一街区也成为集时尚购物、餐饮娱乐、社交休闲、文化旅游于一体的大型综合性街区，吸引游客前来了解南昌历史，感悟老街新活力。'], '景点分布': ['万寿宫历史文化街区位于江西省南昌市城市核心中山路商圈，毗邻南昌八一起义纪念馆，占地面积约80亩。街区由历史民居、商业街区、万寿宫宗教文化区三个部分组成，复原并保留了三街五巷（翘步街、棋盘街、广润门街、合同巷、醋巷、萝卜巷、万寿宫巷、箩巷），总建筑群共123栋，其中晚清赣派民居风格建筑118栋，包含南昌总商会、持志堂、玉泰盐庄、罗英故居旧址等45栋历史风貌建筑。'], '景区资质': ['国家4A级景区'], '景区特色': ['休闲、历史文化、娱乐、街区、建筑从您位置到南昌万寿宫']}",0,1,{'最佳游览时间': ['四季皆宜']},"{'景区位置': ['中国>江西省>南昌市>西湖区>沙井街道>卫东街道>生米镇>凤凰洲管理处>红角洲管理处>九龙湖管理处>朝农街道'], '到达方式': ['南昌地铁1号线万寿宫站', '南昌地铁3号线八一馆站', '公交车：2路18路内线万寿宫历史文化街区广润门站', '公交车：205路229路830路万寿宫历史文化街区站']}",{'南昌万寿宫门票价格': ['免费']},"['街区全天', '万寿宫09:30-18:00']"
