name,province,city,location,desc,want,has_been,strategy,route,ticket_info,open_time
正定隆兴寺,河北省,石家庄市,正定县,"{'景区简介': ['隆兴寺(大佛寺)是中国现存时代较早、布局较为完整的大型寺院，因寺内供奉着一尊巨大的铜铸菩萨，因此又俗称大佛寺。它位于河北正定县城东门里街，占地82500平方米，始建于隋开皇六年（公元586年），是我国现存时代较早、规模较大而又保存较完整的一座著名佛教寺院。'], '景点分布': ['隆兴寺占地82500平方米，主要建筑自南向北依次为照壁、石桥、天王殿、大觉六师殿（遗址）、摩尼殿、牌楼、戒坛、慈氏阁、转轮藏阁、大悲阁、御书楼、集庆阁、弥陀殿、毗卢殿。'], '景区资质': ['国家4A级景区'], '景区特色': ['祈福观光、宗教古迹从您位置到隆兴寺']}",475,2275,"{'最佳游览时间': ['秋季'], '购物推荐': ['驴肉火烧、马家卤鸡、崩肝、钢炉烧饼、烧麦、八大碗、扒糕、狍肉、卤鸡、烧麦包']}","{'景区位置': ['中国>河北省>石家庄市>正定县>三里屯街道'], '到达方式': ['自驾车：石家庄→建设北大街→运河桥→直行→正定县城。', '公交：从石家庄火车站乘坐31路或者201路公交可达正定县城，再倒1路车到达景区。']}",{'隆兴寺门票价格': ['40元/人']},['9：00-16：00']
正定荣国府,河北省,石家庄市,正定县,"{'景区简介': ['荣国府国府是按照《红楼梦》中所描述的“金门玉户神仙府，桂殿兰宫妃子家”建造的一座封建王宫。它位于石家庄市正定县兴荣路51号，是一座具有明清风格的仿古建筑群，分府、街两大部分，是迄今为止国内建造的建筑规模最大的仿古建筑群。'], '景点分布': ['荣国府分为荣国府和宁荣街两个部分。占地二万二千平方米，建筑面积四千七百平方米，有房间二百一十二间，游廊一百零二间，分中东西三路，一律采用明清五进四合院格式'], '景区资质': ['国家4A级景区'], '景区特色': ['观光、摄影、园林']}",119,775,"{'游览路线': ['石头记（正门）→荣禧堂→贾政书房→荣庆堂→曹雪芹纪念馆→宁荣街'], '最佳游览时间': ['春秋两季'], '购物推荐': ['马家老鸡、刘家老鸡、崩肝、饸饹、王不同熏肉等。']}","{'景区位置': ['中国>河北省>石家庄市>正定县>三里屯街道'], '到达方式': ['石家庄火车站出站口南行200米乘201路中巴、或在火车站公交枢纽乘31、快31路，票价两元，到正定汽车站下车，转正定县城内公交1路，到荣国府下车即到。']}",{'荣国府门票价格': ['40元/人']},['8：00—17：00']
正定赵云庙,河北省,石家庄市,正定县,"{'景区简介': ['正定赵云庙是一座为纪念三国时期蜀汉名将赵云而建造的祠庙，在弘扬中国民族文化的同时，又显示出了赵云的英勇风范，古色古香的清代园林建筑，让游客在观光之余，同时也增加了对三国历史故事的了解。'], '景点分布': ['正定赵云庙现占地20亩，建筑面积1500平方米，采用仿明清古典式建筑结构，由广场、一进院、二进院后院组成，造型古朴，气势宏伟。其主要建筑有山门殿、四义殿、五虎殿、君臣殿、顺平候殿，在主殿的后院设有“子龙效武场”。庙内展出的赵云故里碑、赵云饮马槽、练功大石锁均为庙内原存遗物，关羽的《风雨竹》、张飞的手书珍品及正定出土的兵器、陶器等文物无不与三国故事有关，此外还有曹操唯一的存世手迹《衮雪》、岳飞手书诸葛亮的前、后《出师表》以及三国时期保存下来的古兵器等诸多文物。每逢“五一”、“十一”黄金周等传统节假日，常在此举办常山战鼓表演等系列文化活动。'], '景区资质': ['国家2A级景区'], '景区特色': ['三国、历史游、文化游、赵云、寺庙、古建筑从您位置到赵云庙']}",49,310,{'最佳游览时间': ['四季皆可']},"{'景区位置': ['中国>河北省>石家庄市>正定县>三里屯街道'], '到达方式': ['乘车：石家庄市可乘坐出租或201路公交车至正定古城，在正定汽车站换乘出租或1路公交车可达赵云庙；', '自驾：1、从石家庄至107国道，至正定路口走常山路，看路标直达景区；2、从石家庄至体育大街北行至子龙大桥经过历史文化街，看路标直达景区；3、走高速正定路口下，西行，看路标直达景区。']}",{'赵云庙门票价格': ['20元/人']},['08:00—17:30']
正定长乐门,河北省,石家庄市,正定县,"{'景区简介': ['正定长乐门，正定古城四座城门之一，正定历史的最好见证者和讲述者。高耸的城楼威严壮观，无论是春日丽阳，还是雪后登门，人们均可以看到南岸苍茫的滹沱河，那份心情足可以与登临岳阳楼相媲美，唯有游过长乐门的人才可体会其中滋味。'], '景点分布': ['长乐门坐落在河堤路与燕赵南大街交汇处，是原古城的南城门。长乐门是后修复而建的，共两层，匾额为书法家启功所题。城楼内设正定古城史料展，城楼下陈列着青龙刀、蛇矛、戟、棍等古代兵器模型，西侧还有一面常山大鼓。在城门东西两侧，残存有城墙遗址；北侧立有一些正定历史文化名人的石刻雕像。'], '景区资质': ['省级重点文物保护单位'], '景区特色': ['休闲、观光、访古、古迹从您位置到正定长乐门']}",24,140,{'最佳游览时间': ['四季皆宜']},"{'景区位置': ['中国>河北省>石家庄市>正定县>三里屯街道'], '到达方式': ['乘车路线：136路到正定南门（永丰饲料）下车；130路、136路、177路、快177路到正定南门下车；137路、177路到广惠寺下车。', '自驾路线：石家庄市内走体育北大街，外省市走京石、京珠高速抵达正定。']}",{'正定长乐门门票价格': ['正定古城通票：60元']},['全天']
石家庄水上公园,河北省,石家庄市,鹿泉区,"{'景区简介': ['石家庄水上公园是石家庄市民心河沿岸22个公园之一，也是民心河的一个重要组成部分。它位于新华区联盟路500号，水域面积占全园面积的三分之一，湖岸四周栽满垂柳，河水清澈，景色秀美。'], '景点分布': ['全园共分为生命之源、开心娱乐、水上游览、欧陆风情、燕赵之光、金霞天寿六大景区，共有三十多个景点。主要景点有国内外建筑艺术、园林艺术、雕塑艺术精品。'], '景区资质': ['国家3A级景区'], '景区特色': ['避暑、娱乐、休闲、亲子、公园从您位置到水上公园']}",738,1631,"{'最佳游览时间': ['夏季'], '购物推荐': ['藁城宫面、赵州雪花梨、光华肉鸽、双鸽火腿、行唐烤烟、赞皇金丝大枣等。']}","{'景区位置': ['中国>河北省>石家庄市>鹿泉区>河北鹿泉经济开发区>联盟街道'], '到达方式': ['石家庄市内乘坐17路、快34路、40路、115路、游6路、113路到水上公园下车，94路到联强西区下车，64路、38路、78路到益元超市下车。']}",{'水上公园门票价格': ['公园免费，娱乐设施单独收费']},['09:00-18:30']
石家庄抱犊寨景区,河北省,石家庄市,鹿泉区,"{'景区简介': ['有“天下奇寨”、“抱犊福地”之誉的抱犊寨，旧名抱犊山，古名萆山，位于河北省石家庄鹿泉市西郊。它东临华北平原，西接太行群峰，一峰突起，峥嵘雄秀，四周皆是悬崖绝壁。远望犹如巨佛仰卧，眉目毕肖，近观山顶平旷坦夷，有良田沃土660亩，土层深达66米，异境别开，草木繁茂，恍如世外桃源。'], '景点分布': ['景区主要景点有卧佛、南天门、韩信祠、点将台、环山长城、天门洞、牛郎织女家、蛟龙洞、金阙宫、五百罗汉堂、千龙壁、天堂街、仙人洞、连心亭、万联苑等。其中天门洞、蛟龙洞石刻是省重点文物保护单位。'], '景区资质': ['国家4A级景区'], '景区特色': ['徒步、摄影、宗教、庙宇、祠堂、悬崖绝壁从您位置到抱犊寨']}",389,1907,"{'游览路线': ['在石家庄市内可以到人民商场乘坐旅游5路车直达抱犊寨。', '外地游客乘火车到石家庄站下，乘坐1路→6路→34路等公交于新百广场下车，转成旅游5路车。（普通公交票价一元，旅游线路公交2元）', '自驾车从北京自驾车沿京深高速南行，在石太高速出口转石太高速，在鹿泉出口下道进入鹿泉市，沿太平河北路直达景区。沿途有加油站→修车点。'], '最佳游览时间': ['秋天'], '购物推荐': ['北薛庄石榴酸枣鹿泉钢炉烧饼']}",{'景区位置': ['中国>河北省>石家庄市>鹿泉区>河北鹿泉经济开发区']},"{'抱犊寨门票价格': ['旺季（4-10月）：65元/人', '淡季（11月-次年3月）：40元/人', '儿童：1.2米（不含）以下，免费', '老人：70岁（含）以上老人凭相关证件，免费；60岁（含）以上老人凭有效证件，半价', '军官和士官：凭有效证件，免费']}",['08:30-17:30']
石家庄双凤山景区,河北省,石家庄市,鹿泉区,"{'景区简介': ['石家庄双凤山景区以红色旅游与自然景观相结合，是集休闲、旅游、教育为一体的大型综合性纪念园区。园区四季常青，绿化覆盖率达95%，规划布局合理，纪念建筑庄严雄伟，亭台楼宇错落有秩，景色悠然而亲和，形成了四季有景、山水相依、自然与人文景观、传统与现代文化和谐共生有机结合的优雅环境。是河北省乃至全国进行爱国主义、革命传统教育的重要场所；成为具有时代特色和地方特色，对河北革命烈士与革命英烈的光辉业绩进行研究和宣传的著名革命纪念地。'], '景点分布': ['双凤山位于石家庄市区西部，占地面积20余万平方米，由英烈纪念区、社会纪念区、山地景观区、水系景观区、停车场区、办公区六大部分组成。主要景点有河北省英烈纪念园内有河北省英烈纪念馆、国歌广场、“共和国不会忘记”纪念碑、沙飞纪念馆、黄绮艺术馆，中华人民共和国国歌的词作者田汉、安娥（《卖报歌》、《打回老家去》等歌曲的词作者）夫妇、杨靖宇烈士的亲密战友、中共河南党组织创始人之一——王克新、石家庄第一任市委书记陶希晋及其夫人朱琏（石家庄第一任女共产党员，石家庄地下党组织秘密联系点负责人）中国革命摄影第一人——沙飞、解放石家庄战役的指挥者王昭、傅崇碧等一大批革命先驱墓和纪念塑像。'], '景区资质': ['国家4A级景区'], '景区特色': ['爱国教育、红色旅游、公园、展馆从您位置到石家庄双凤山']}",0,0,{'最佳游览时间': ['四季皆宜']},"{'景区位置': ['中国>河北省>石家庄市>鹿泉区>河北鹿泉经济开发区'], '到达方式': ['公交车：22路25路台头·双凤山站']}",{'石家庄双凤山门票价格': ['免费']},['08:30-16:30']
赵州桥,河北省,石家庄市,赵县,"{'景区简介': ['赵州桥是一座空腹式的圆弧形石拱桥，是当今世界上现存最早、保存最完善的古代敞肩石拱桥。它坐落在河北省赵县洨河上，建于隋代（公元581-618年）大业年间（公元605-618年），由著名匠师李春设计和建造，距今已有约1400年的历史。', '赵州桥又称安济桥，横跨在37米多宽的河面上，因桥体全部用石料建成，俗称“大石桥”。赵州桥凝聚了古代劳动人民的智慧与结晶，开创了中国桥梁建造的崭新局面。在漫长的岁月中，虽然经过无数次洪水冲击、风吹雨打、冰雪风霜的侵蚀和8次地震的考验，却安然无恙，巍然挺立在清水河上。'], '景点分布': ['赵州桥是一座弧形单孔石拱桥。桥全长64.4米，拱顶宽9米，两端宽9.6米，跨径37.38米在桥两端的石拱上，辟有两个券洞，这种结构叫""敞肩拱""，拱矢高7.23米。这些敞开的小拱在减轻桥身的重量同时，又起到减少流水冲力的作用。这在当时是世界桥梁中的首创。桥的设计有力地保证了赵州桥在1400年的历史中，经受住了多次洪水冲击，8次大地震摇撼以及车辆重压，仍挺立在洨河之上。'], '景区资质': ['国家4A级景区、省级名胜景区、全国重点文物保护单位'], '景区特色': ['观光、访古、古桥、公园从您位置到赵州桥']}",1773,2762,"{'旅游攻略': ['在赵县游览完赵州桥之后，还可以游览千年古寺→柏林禅寺，感受佛香古韵，清新静气，超然世外。'], '最佳游览时间': ['春秋两季'], '购物推荐': ['雪花梨、驴肉、梨园金蝉、烧饼等。']}","{'景区位置': ['中国>河北省>石家庄市>赵县'], '到达方式': ['自驾车从北京沿京深高速南行，在石家庄口下进市区从石家庄市体育南大街出市区，沿308国道到赵县，再沿赵州桥路直达赵州桥景区。沿途有加油站，十分方便。', '游客还可乘火车到石家庄站下，再到体育南大街391号南焦客运站乘至赵县的公交车直通赵州桥景区。']}",{'赵州桥门票价格': ['40元/人']},['9：00-16：00']
赵县柏林禅寺,河北省,石家庄市,赵县,"{'景区简介': ['赵县柏林禅寺是赵州祖庭所在地，为北方佛教的一座重镇。作为古老的禅宗祖庭和赵州禅风的发祥地，柏林禅寺历经风雨，几经兴衰，而今殿堂楼阁鳞次栉比、庄严整肃的千年古刹重焕生机，且日益向世人显示出它净化人心的巨大价值和隽永的魅力，重新成为燕赵大地上辉映遐迩的庄严法域。'], '景点分布': ['柏林禅寺坐落在县城石塔东路23号，占地80亩。寺庙沿中轴线共分布有五进殿宇，分别为山门韦陀殿、普光明殿、观音殿、无门关、万佛楼，两侧另分布有赵州塔塔院、护法殿及钟鼓楼、福慧堂、愿海堂、指月楼、会贤楼、祖师殿、伽蓝殿、方丈寮、问禅寮、云水楼、茶香楼、香积楼、文殊阁、普贤阁、古佛庵、归云庵、珍旭楼等殿堂。'], '景区资质': ['国家4A级景区'], '景区特色': ['休闲、观光、朝拜、宗教']}",1,147,"{'旅游攻略': ['每年面向社会举办“生活禅夏令营”，每届人数在250人左右，在七天的寺院生活中要参加上殿课诵、坐禅、聆听佛学讲演、吃茶谈心、云水行脚等活动。', '每年例行的法会还有上元节吉祥法会，四月初八传授在家居士菩萨戒，七月十五中元节报恩法会以及三次观音法会和冬天三周的禅七。'], '最佳游览时间': ['四季皆宜'], '购物推荐': ['书籍、佛事用品等。']}","{'景区位置': ['中国>河北省>石家庄市>赵县'], '到达方式': ['乘车路线：', '1、石家庄火车站下车，然后换乘72路、215路公交车到南焦长途客运站。在南焦长途客运站坐直达赵县柏林禅寺的长途汽车。', '2、石家庄北站下车，可以换乘75路到南焦长途客运站。在南焦长途客运站坐直达赵县柏林禅寺的长途汽车。', '3、石家庄正定国际机场乘机场大巴到石家庄火车站，然后在石家庄火车站换乘72路、215路公交车到南焦长途客运站。在南焦长途客运站坐直达赵县柏林禅寺的长途汽车。', '自驾路线：新元高速→青银高速→东环路→石塔路，或青石线→石栾大街→安济大道→石塔路，即可。']}",{'柏林禅寺门票价格': ['柏林广场南侧凭有效证件（身份证、护照、驾照、工作证等）免费领取参观卡参观']},"['08：00—16：00', '每星期六、星期日、农历初一、十五及重大节假日为全开放日，其他时间开放到观音殿。', '农历每月初二、十六为寺院休整日，开放到普光明殿。']"
石家庄苍岩山景区,河北省,石家庄市,藁城区,"{'景区简介': ['苍岩山风景名胜区素有“五岳奇秀揽一山，太行群峰唯苍岩”之誉。它位于河北省石家庄市西南井陉县境内，总面积63平方公里，春日群峰婀娜，夏日苍翠欲滴，秋日万山如洗，枫叶如霞，冬日青山恬淡，银装素裹，是一座楼绝、檀奇、山雄、谷幽、林秀的历史文化名山。', '苍岩山所在地方圆几十里，皆为荒山秃岭，唯独此山林木苍翠，古树葱笼，故名“苍岩”。山高一千多米，奇峰险崖，山上飞瀑高悬，山下清泉流畅，沿途建筑成群。古人以“万景临诸壑，千峰拱上方”的诗句来赞美它，《西游记》、《卧虎藏龙》等许多影视剧都在此取景。'], '景点分布': ['苍岩山以""三绝""、""一奇""、""十六景""、""七十二景观""名扬国内外，更兼四时造化，变幻万千。苍岩三绝，一绝桥楼殿，二绝白檀树，三绝古柏朝圣。一齐桥楼殿。十六景为：岩关锁翠、风泉漱玉、书院午荫、碧涧灵檀、悬磴梯云、峭壁嵌珠、桥殿飞虹、绝巘回栏、尚书古碣、说法危台、虚阁藏幽、炉峰夕照、山腰绮柏、阴崖石乳、空谷鸟声、窍开别天。'], '景区资质': ['国家4A级景区'], '景区特色': ['徒步、祈福、摄影、宗教、石刻、古迹、名山、森林']}",1241,1935,"{'旅游攻略': ['苍岩山庙会历史悠久，距今已有一千三百多年历史，为每年阴历三月和十月。三月庙会尤为盛大，每逢此节香客云集，热闹非凡。'], '游览路线': ['路线一：', '第一天.游览苍岩山碧涧灵檀→桥殿飞虹→说法危台→公主祠→玉皇顶等景点。赴仙台山。晚上住仙台山宾馆', '第二天.上午游仙台山主峰红叶区（红叶面积达40平方公里），览秀峰→直霄云梯→飞来石→烽火台遗址等景点。下午返程。', '路线二：', '第一天.游览于家石头古村落；清凉阁→古戏楼→石屋→石臼→石磨→石碾→石路等景点，晚住苍岩山景区', '第二天.上午，游览苍岩山碧涧灵檀→桥殿飞虹→说法危台→公主祠→玉皇顶等景点午餐后返程。', '路线三：', '第一天.游览苍岩山碧涧灵檀→桥殿飞虹→说法危台→公主祠→玉皇顶等景点。住苍岩山景区。', '第二天.上午游览秦皇古驿道→观明清驿站→古车辙→背水战场陈列馆→庚子长墙等景点。午餐后返程。'], '最佳游览时间': ['夏秋两季'], '购物推荐': ['核桃、大枣、柿子、柿饼、黑枣、七月黄桃、红提葡萄、石榴、苹果、酒枣、酸枣、枣面、实打石系列酒、割子岭粉条（天然绿色）、小杂粮、井陉砂锅（出口日本、东南亚等国）、井陉剪纸等。']}","{'景区位置': ['中国>河北省>石家庄市>藁城区>苍岩山镇'], '到达方式': ['石家庄西王站—苍岩山直通车，每天早8：00发车。', '从北京自驾车沿京深高速公路南行，在石太高速出口转石太高速，到苍岩山出口下道，转平涉公路南行在柿庄村左转，沿旅游公路直达景区。', '石家庄市西王客站乘坐苍岩山的班车，或到井陉县的班车再换乘到苍岩山的班车。自驾车走石太高速从秀林(5号)口下路右行20公里即到。']}","{'苍岩山门票价格': ['65元；', '学生、60-70岁老人半价；', '1.2米以下儿童、70岁以上老人免费。', '索道：上行、下行各25元。', '导游：100元']}",['9:00-16:00']
