name,province,city,location,desc,want,has_been,strategy,route,ticket_info,open_time
武汉科技馆,湖北省,武汉市,江岸区,"{'景区简介': ['武汉科技馆是一家由武汉市政府兴办，所设展览科技知识含量高，互动性强，融科学性、知识性和趣味性为一体，具有普及科学知识、传播科学思想、开展学术交流、展示科技成果、培训科技人员等多种功能的的科技教育活动场所。'], '景点分布': ['武汉科技馆始建于1987年，占地面积38720平方米，展厅6400平方米，展品由60余件增加到300多件（套），设置了儿童乐园、机器人世界、探索与发现、人与健康、材料与能源、电与磁、4D影院、天象厅等展区，具有科普展览、科技培训、学术交流、青少年科技实验多种功能。'], '景区资质': ['国家4A级景区'], '景区特色': ['摄影、观光、休闲、度假、科普、科技馆从您位置到科技馆']}",223,503,{'最佳游览时间': ['全年']},"{'景区位置': ['中国>湖北省>武汉市>江岸区>塔子湖街道>百步亭花园'], '到达方式': ['乘车路线：24、30、76、532、545、550、552、559、729、801、808路到赵家条站下；208、597路到武汉科技馆站下。']}","{'科技馆门票价格': ['成人票：30元/人；天象馆票价：20元/人；4D影院票价：20元/人（无半价票）。', '优惠：1、全日制大学生、60—70岁老人（凭相关有效证件购票入场）半票。', '2、未成年人、现役军人（含武警）、省市劳动模范、残疾人、70岁以上老人（凭相关有效证件入场）免票。']}",['9:00-16:30（周二－周日），节假日不休息。']
武汉规划展示馆,湖北省,武汉市,江岸区,"{'景区简介': ['武汉规划展示馆是市民之家的重要组成部分，全面展示了武汉城市建设的历史、现在和未来。展示馆位于江岸区金桥大道武汉市民之家东翼，总建筑面积22430平方米，布展面积约17000平方米，共5层（另含2个夹层）。'], '景点分布': ['武汉规划展示馆共分为18个展区，分别为城市印象大厅、城市文化长廊、序厅、综合导览区、历史武汉展区、宜居武汉展区、未来城市展区、畅达交通展区、实力武汉展区、总体规划展区、总规模型厅、两型社会展区、东湖国家自主创新示范区展区、幸福城市体验区、国土资源和规划管理展区、城市影院、公共展区和公共服务区。'], '景区资质': ['国家4A级景区'], '景区特色': ['科普、文化、展示馆从您位置到武汉规划展示馆']}",28,75,"{'旅游攻略': ['展馆一层综合导览区机器人互动表演时间：10：30、16:00', '展馆三层总体规划模型演示片播放时间：9：30、11：00、15：00、16：30'], '最佳游览时间': ['四季皆宜']}","{'景区位置': ['中国>湖北省>武汉市>江岸区>塔子湖街道>百步亭花园'], '到达方式': ['乘车路线：乘229路、248路、265路、293路、627路，到金桥大道武汉市民之家下车；乘627路、628路，到健身路武汉市民之家下车，即可。', '驾车路线：市内走金桥大道等，即可。']}","{'武汉规划展示馆门票价格': ['无门票；', '20人以上团队提供预约免费讲解服务，须提前三天预约登记，并提前一天进行确认。']}","['周一至周六9：00-17：00（16：30停止入场）', '周日闭馆维护（法定节日正常开馆）']"
武汉古德寺,湖北省,武汉市,江岸区,"{'景区简介': ['武汉古德寺依照缅甸阿兰陀寺的艺术形式建造，是一座典型的具有浓郁异域建筑风格的、装饰精美华丽而功能完善、环境优美的寺庙。古德寺为汉传佛教唯一且世界仅存两座此类风格的佛教建筑之一，具有重要的宗教、建筑和文化历史价值。'], '景点分布': ['古德寺位于汉口黄浦路上滑坡，以独特的异域风情最为著名。寺内最主要的建筑为圆通宝殿，宝殿上的装饰、佛像及九座佛塔和塔刹，都为人惊叹和赞美。回形步廊、莲花方墩等充满佛教流派精髓，也将印度和东南亚各国的帕那瓦建筑风格全面展现。'], '景区特色': ['参观、拜佛、访古、宗教、古迹从您位置到古德寺']}",98,162,"{'旅游攻略': ['每月农历初一免费'], '最佳游览时间': ['四季皆宜'], '购物推荐': ['（当地特产）武昌鱼、武汉铜锣、老通城豆皮、精武鸭脖子、孝感麻糖和米酒等。', '（特色美食）热干面、小桃园煨汤、四季美汤包、面窝、米耙粑、鱼汁糊粉、烧梅、欢喜坨、发糕、锅贴饺等。']}","{'景区位置': ['中国>湖北省>武汉市>江岸区>塔子湖街道>百步亭花园'], '到达方式': ['乘车路线：可乘坐30路、电车2路、电车3路，到工农兵路空军医院下车即可。']}",{'古德寺门票价格': ['香火费8元']},['08:00-17:00']
武汉二七长江大桥,湖北省,武汉市,江岸区,"{'景区简介': ['武汉二七长江大桥是武汉市的第七座长江大桥，也是世界上最大跨度的三塔斜拉桥和世界上最大跨度的结合梁斜拉桥。桥型之所以选择三塔斜拉桥，主要是因为它线型流畅、造型优美，等高的三塔蕴含武汉“三镇”之意，武汉长江上首次出现“三塔拱桥”的美景。二七长江大桥犹如长龙卧波，亮点闪耀，丰富了武汉的桥文化的同时，也成为人们休闲摄影的又一佳地。'], '景点分布': ['二七长江大桥北起江岸区武铁新江岸小区处，南至青山区钢都花园罗家港，大桥为三塔斜拉桥，设计长度6507米，两个主跨均为616米，主线为双向6车道。大桥建成后，有效地为长江二桥分流，串起二环线，盘活470平方公里用地，带动两端商圈，方便周边居民生活。'], '景区特色': ['休闲、摄影、建筑从您位置到二七长江大桥']}",13,81,"{'旅游攻略': ['北端的游玩性更高，可一览大桥风光，休闲娱乐购物美食也很方便。南端更倾向于摄影、赏景。'], '最佳游览时间': ['四季皆宜']}","{'景区位置': ['中国>湖北省>武汉市>江岸区>塔子湖街道>百步亭花园'], '到达方式': ['北端：地铁1号线徐州新村，4路;211路;212路;313路;508路;509路;551路;555路;577路;622路;707路;725路;727路;790路;793路;809路;yx508路解放大道徐州新村', '南端：804路临江大道德平路，315路;yx315路园林路怡江苑']}",{'二七长江大桥门票价格': ['无']},['全天']
武汉中山公园,湖北省,武汉市,江汉区,"{'景区简介': ['武汉中山公园是武汉市区一座历史悠久的文化休憩公园，被评为全国百家历史名园之一。武汉中山公园始建于二十世纪初，前身“西园”为1914年建成的私家花园，1927年收归国有，1928年为纪念孙中山先生而命名为“汉口中山公园”，如今公园经过几代人的艰辛创业，成为集游览、观赏、文化、娱乐、饮食、游艺等多项服务功能于一身的大型综合性公园。'], '景点分布': ['武汉中山公园占地32.8万平方米，其中水上面积6万平方米，园内绿地率91%，古树名木140株，园林景观功能分前、中、后区，有棋盘山、双龙桥、松月轩、四顾轩、湖心亭、张公亭、日晷台遗址、受降堂、受降纪念碑、深秀亭、映霞亭、回瞰阁、落虹桥、雨亦奇亭、游泳池、人民会场、儿童运动场、图书阅览室、梅花园、动物园、岩石园等诸多景点，其中西合璧的园林风景，淳朴隽永的人文景观，惊险有趣的游乐项目一直受到广大游人的赞誉。'], '景区特色': ['散步、观光、公园从您位置到中山公园']}",105,953,{'最佳游览时间': ['四季皆可']},"{'景区位置': ['中国>湖北省>武汉市>江汉区>江汉经济开发区>武汉中央商务区'], '到达方式': ['武汉市区乘公交车在中山公园站下车即到。']}",{'中山公园门票价格': ['免费']},['全天']
武汉市博物馆,湖北省,武汉市,江汉区,"{'景区简介': ['武汉市博物馆馆内藏品10万余件，除了常年展出大型武汉地方史陈列，同时还不定期举办或引进各种临时展览，是游客了解江城历史发展脉络、感悟华夏璀璨文明的绝佳场所。'], '景点分布': ['武汉市博物馆是一座属地类综合性博物馆，现建筑面积17834平方米，陈列面积6000平方米，馆内共有藏品10万余件，涉及陶瓷、青铜器、书画、玉器、竹木牙雕、珐琅器、印章等众多种类，陈列展除了常年展出大型地方史陈列，同时还不定期举办或引进各种临时展览，让游客在历史的回顾中，领略江城独特优美的韵致，把握武汉城市发展脉络，感悟华夏文明的光辉璀璨。'], '景区资质': ['国家4A级景区'], '景区特色': ['博物馆、历史、科普、博物馆从您位置到武汉博物馆']}",121,481,{'最佳游览时间': ['四季皆可']},"{'景区位置': ['中国>湖北省>武汉市>江汉区>江汉经济开发区>武汉中央商务区'], '到达方式': ['武汉市区乘坐10路、38、75等公交在武汉博物馆站下车即到。']}",{'武汉博物馆门票价格': ['博物馆实行免费不免票制度，每天向社会限量发放免费参观券3000张（上午2000张，下午1000张）。']},['9：00—17：00（法定节假日不休息），每周五闭馆展厅维护。']
武汉商务区最美地铁站,湖北省,武汉市,江汉区,"{'景区简介': ['武汉商务区地铁站以“璀璨星河”为主题，是全球十大、亚洲最大地铁车站。地铁站最大的亮点就是以星空为背景的穹顶，内部的巨大“穹顶”与周围天花板的宇宙世界构成了最震撼的主题。站下沉式广场望向站厅，直径21米的巨大采光穹顶，犹如五彩斑斓的水晶球浮出海面，在阳光下焕发出夺目光彩。步入车站，穹顶犹如一朵巨大的莲花将电梯井裹入花蕊，给人以视觉震撼，被誉为“武汉最美地铁站""甚至是“华中最美地铁站”。'], '景点分布': ['武汉地铁3号线武汉商务区站位于武汉CBD核心区中央广场，共分四层，有16个出入口和44部手扶电梯，可无缝换乘地铁3号线与在建的地铁7号线，通达武汉三镇。主入口由银杏树树阵拉开中央广场景观大道序幕，依次可见巨幕瀑布墙、叠水喷泉、阳光草坪、下沉广场等区域景观。直径21米的穹顶浮出地面，全站一万平方米的星空图让人犹如进入璀璨星空，透过穹顶望向蓝天，438米的华中第一高楼武汉中心大厦耸入云霄。'], '景区特色': ['休闲、摄影、猎奇、建筑从您位置到武汉地铁']}",16,20,{'最佳游览时间': ['四季皆宜']},"{'景区位置': ['中国>湖北省>武汉市>江汉区>江汉经济开发区>武汉中央商务区'], '到达方式': ['地铁3号线武汉商务区站，地铁站内。', '360路、628路，淮海路商务西路。']}","{'武汉地铁门票价格': ['9公里以内（含9公里）2元/人次', '9-14公里（含14公里）3元/人次', '14公里以上每增加1元可乘坐的里程比上一区段递增2公里，以此类推']}",['商务区站06:02-22:58']
武汉江汉路步行街,湖北省,武汉市,江汉区,"{'景区简介': ['武汉江汉路步行街是武汉著名的百年商业老街，也是“武汉二十世纪建筑博物馆”。江汉路不单单只有逛街购物和品尝美食，也是一处颇具历史渊源的地方。这里曾经是汉口的英租界，十几幢近代优秀的老建筑让人们目不暇接，还有像“上海邨”这样的中西结合的新式里弄房，红瓦面、清水墙、辅以木窗白烟囱，一派近代欧洲风光。良好的街区环境和业态让江汉路成为游人必访之处，市民必逛之地，是武汉不可错过的胜地。'], '景点分布': ['江汉路步行街位于汉口中心地带，南起沿江大道，贯通中山大道、京汉大道，北至解放大道，全长1600米。街内欧陆风格、罗马风格、拜占庭风格、文艺复兴式、古典主义、现代派等风格建筑林立，代表性景观有江汉关、日清银行、日信银行、中国实业银行、四明银行等有13栋历史优秀建筑。同时，这里也荟聚了国内外知名品牌，拥有各类商业门点234处，涉及服装、家电、餐饮、金融、百货等51个行业，是购物娱乐的天堂。'], '景区特色': ['休闲、历史文化、街区从您位置到江汉路步行街']}",0,39,{'最佳游览时间': ['四季皆宜']},"{'景区位置': ['中国>湖北省>武汉市>江汉区>江汉经济开发区>武汉中央商务区'], '到达方式': ['地铁2号线、6号线江汉路站', '1路、24路、581路、711路、727路、n408路、w408路、yx24路、电2路，中山大道地铁江汉路站站', '7路、9路、30路、119路、212路、248路、502路、503路、523路、527路、559路、606路、721路、737路、793路，沿江大道武汉关站']}",{'江汉路步行街门票价格': ['免费']},['全天']
武汉归元寺,湖北省,武汉市,汉阳区,"{'景区简介': ['归元禅寺，为武汉佛教四大丛林之一，占地4.67公顷，有殿舍200余间，寺内松柏苍翠，建筑布局严谨，园林古朴雅致，以建筑完美、雕塑绝妙、珍藏丰富而声震佛门，许多外国游客包括各国政要，如柬埔寨西哈努克国王、美国前国务卿基辛格、新加坡前总理李光耀、日本前首相中曾康弘等都曾先后来此观赏，并分别向该寺赠送礼品。'], '景点分布': ['归元禅寺位于武汉市汉阳翠微街西端，与宝通寺、溪莲寺、正觉寺今称为武汉的四大丛林，寺院创建与清代，占地4.67公顷，有殿舍200余间，由藏经阁、大雄宝殿和罗汉堂等建筑组成。寺内松柏苍翠，建筑布局严谨，古朴雅致，间或点缀花坛、假山、小亭，极富园林意趣，以建筑完美、雕塑绝妙、珍藏丰富而声震佛门，许多外国游客包括各国政要，如柬埔寨西哈努克国王、美国前国务卿基辛格、新加坡前总理李光耀、日本前首相中曾康弘等都曾先后来此观赏，并分别向该寺赠送礼品。'], '景区资质': ['国家4A级景区'], '景区特色': ['佛教文化、祈福、礼佛、佛教古刹从您位置到归元寺']}",417,3032,{'最佳游览时间': ['四季皆可']},"{'景区位置': ['中国>湖北省>武汉市>汉阳区>四新街道>龙阳街道'], '到达方式': ['归元禅寺位于武汉市汉阳区翠微路西侧，45路、707路、市内旅游专线1路等路车均可到达。']}",{'归元寺门票价格': ['10元/人']},['7：30——17：30']
武汉晴川阁,湖北省,武汉市,汉阳区,"{'景区简介': ['晴川阁号称“楚国晴川第一楼”，为“楚四名楼”之一，楼阁位于武汉城内汉阳龟山东麓长江边的禹功矶上，始建于明代嘉靖年间，其名取自唐代诗人崔颢诗句“晴川历历汉阳树”，又因与对岸黄鹤楼隔江对峙，相映生辉，被称为“三楚胜境”。'], '景点分布': ['晴川阁最早为明嘉靖年间汉阳知府范之箴在修葺禹稷行宫（原为禹王庙）时所增建，历史上曾多次被毁，现阁系按清光绪年间式样于1985年重建。如今整个晴川阁游览区占地约一万平方米，平面呈三角形，由晴川阁、禹稷行宫、铁门关三大主体建筑和禹碑亭、朝宗亭、楚波亭、荆楚雄风碑、临江驳岸、曲径回廊等十几处附属建筑组成。'], '景区资质': ['国家3A级景区'], '景区特色': ['城市观光、文化游、古建筑从您位置到晴川阁']}",146,836,{'最佳游览时间': ['四季皆可']},"{'景区位置': ['中国>湖北省>武汉市>汉阳区>四新街道>龙阳街道'], '到达方式': ['武汉市内乘坐803，561等路公交在晴川阁（铁门关）或汉阳桥头（电视塔）下车即到。']}",{'晴川阁门票价格': ['免费开放，在入口领票后入园。']},['9：00—17：00']
