name,province,city,location,desc,want,has_been,strategy,route,ticket_info,open_time
长沙马王堆汉墓,湖南省,长沙市,芙蓉区,"{'景区简介': ['长沙马王堆汉墓为五代时期楚王马殷及其家族的墓地，堆上分布西汉墓三座，其中出土了大量的文物，尤其以千年不腐女尸最为人所知，是世界难解之谜'], '景点分布': ['马王堆汉墓位于长沙市东郊浏阳河西岸、长浏公路北侧的河湾平地中隆起的一个大土堆，据地方志记载这里是西汉初期长沙国丞相、轪侯利仓的家族墓地，1972年至1974年先后出土三座西汉墓地。三座汉墓中，二号墓葬的是汉初长沙国丞相轪侯利苍，一号墓是利苍妻的墓，三号墓是利苍之子的墓。一号墓规模最大，墓坑南北长19.5米，东西宽17.8米，深16米。现在一、二号墓坑已填塞，其中出土的女尸、素纱单衣及一大批西汉器皿和帛书画等都保存于湖南省博物馆；三号墓坑经过整理加固，供人们参观。'], '景区资质': ['国家4A级景区'], '景区特色': ['考古、学习、古墓']}",936,2444,"{'最佳游览时间': ['秋季'], '购物推荐': ['地特产有：浏阳红桎木、茶、麻辣子鸡、三层套鸡、长沙麻仁香酥鸭、花菇无黄蛋、口蘑汤泡肚、发丝百页等。']}","{'景区位置': ['中国>湖南省>长沙市>芙蓉区>定王台街道>荷花园街道>马坡岭街道>东湖街道>隆平高科技园'], '到达方式': ['博物馆地址：东风路德雅路口50号', '乘3路、113路、112路、131路、136路、146路、150路、302路、303路、901路公交车都可到达。']}","{'马王堆门票价格': ['湖南省博物馆马王堆汉墓陈列免费', '汉墓遗址门票：5元/人']}",['湖南省博物馆：每个礼拜二至礼拜天的9:00—17:00']
长沙晓园公园,湖南省,长沙市,芙蓉区,"{'景区简介': ['长沙晓园公园是一座以“小、精、雅、幽”为特征的小型园林式公园，园内绿草如茵，花木繁茂，是长沙市民游览憩息的理想园地。'], '景点分布': ['长沙晓园公园位于长沙市东大门，东临长沙火车站，南邻五一东路，公园占地面积约4公顷，于1986年建成开放，园内建筑及阵设格局，在继承我国园林艺术传统的基础上，保持浓厚的湖南地方风貌，东面有东苑展厅和园中园，北面湖边设云水居，南设聚远楼，湖岸小山之巅有迎旭亭、双秀亭、谥香亭、半亭等小品建筑，异格各具，相映成趣。园中种有樱花、紫菜、桂花、玉兰、睡莲等名贵花木，樱花林中友好和平青铜塑像群是日本国鹿儿岛市赠送长沙人民的珍贵礼物，此外还辟有儿童游乐区、人体动物群雕等游乐景观，可谓闹市寻幽、门掩无哗，不论春夏秋冬都令人心旷神怡、流连忘返。'], '景区特色': ['城市观光、散步、樱花、公园、城市观光从您位置到晓园']}",34,254,{'最佳游览时间': ['春夏']},"{'景区位置': ['中国>湖南省>长沙市>芙蓉区>定王台街道>荷花园街道>马坡岭街道>东湖街道>隆平高科技园'], '到达方式': ['长沙市内乘坐127路或405路到达晓园路站，步行约340米即到达晓园公园。']}",{'晓园门票价格': ['免费开放']},['全天开放']
长沙天心阁,湖南省,长沙市,天心区,"{'景区简介': ['天心阁素有“潇湘古阁，秦汉名城”之美誉。它位于长沙市中心东南角、城南路与天心路交会之处的古城墙内，既是长沙的历史见证，又是古城长沙的缩影，还是长沙仅存的古城标志。其名始见于明末俞仪《天心阁眺望》一诗中，至清乾隆年间重修天心阁，“极城南之盛概萃于斯阁”，盛名于世且成为文人墨客雅集吟咏之所，现今可与岳阳楼、黄鹤楼、滕王阁相媲美。'], '景点分布': ['园内堆砌有假山、凉亭、鱼池，园内树木繁茂，花草众多。登上天心阁，极目四望，全城景物，尽收眼底，远望湘江，真有""极目楚天舒""的心旷神怡之感。楼阁碧瓦飞檐，朱梁画栋，又大有古香古色，近有妙高峰为伴，远望岳麓山为屏，更显挺峭、峻美。'], '景区资质': ['国家4A级景区'], '景区特色': ['观光、园林从您位置到天心阁']}",382,2118,"{'最佳游览时间': ['秋季9、10月份'], '购物推荐': ['土特产有张家界葛粉、益阳安化黑茶、毛泽东故乡毛家食品等系列产品，还有各类酱板鸭，腊肉，莲子，糕点小吃，酒水等应有尽有。', '纪念品有毛泽东铜像、中国红瓷，名人历史纪录片、名人历史书刊资料及伟人版画、屏风、挂件等各类特色收藏品。']}","{'景区位置': ['中国>湖南省>长沙市>天心区>新开铺街道>文源街道>先锋街道>黑石铺街道>暮云街道>南托街道'], '到达方式': ['火车站乘坐202路车到天心阁站下车，2、122、143、314、906等多趟公交车经过。']}",{'天心阁门票价格': ['16元/人']},"['阁楼区售票营业时间8：00——18：30', '公园免票区开放时间6：00——24：00']"
长沙黄兴南路步行商业街,湖南省,长沙市,天心区,"{'景区简介': ['长沙黄兴南路步行商业街，长沙商业历史变迁的最好见证，堪称长沙之“魂”。步行街是一条百年老街，绿化小品、水景、雕塑等巧妙地结合，极富湘楚文化特色，同时集购物、休闲、娱乐、旅游、餐饮为一体，是潮流、商业、文化的风向标，因而也被赞誉为“三湘商业第一街”。'], '景点分布': ['长沙步行街北起司门口，南到南门口，全长838米，由室外步行街、室内步行街和空中花园街组成。街内遍布各大服饰、生活用品、美食娱乐等店铺，塑造了不少街头艺人雕塑，丰富而独具匠心的绿化景观令人倍感舒适。而室内的中庭，则是举办各类主题活动的汇集地。'], '景区特色': ['休闲、购物、美食、娱乐、步行街、雕塑从您位置到长沙步行街']}",85,1168,"{'旅游攻略': ['步行街的不远处就是著名的橘子洲和岳麗山风景区，游客可以在游玩之后到步行街购物吃饭。'], '最佳游览时间': ['四季皆宜'], '购物推荐': ['（购物）服饰、鞋帽等。', '（美食）著名老店“火宫殿”、臭豆腐、口味虾等。']}","{'景区位置': ['中国>湖南省>长沙市>天心区>新开铺街道>文源街道>先锋街道>黑石铺街道>暮云街道>南托街道'], '到达方式': ['乘车路线：', '1.步行街南端：2路、8路、108路、122路、123路、130路、134路、140路、202路、314路、402路、406路、804路、901路、906路、908东线和西线、旅2路、旅3路，到长郡中学下车；8路、123路、134路、140路、906路，到南门口下车。', '2.步行街北端：2路、11路、18路、112路、138路、143路、145路、202路、301路、368路、803路、804路、901路、908西线、旅2路，到司门口下车。', '自驾路线：', '1.步行街南端：市内沿城南西路行驶即可。', '2.步行街北端：市内沿解放西路行驶即可。']}",{'长沙步行街门票价格': ['无门票']},['全天']
长沙白沙古井,湖南省,长沙市,天心区,"{'景区简介': ['长沙白沙古井是一口历史悠久的江南名泉之一，是长沙极其著名的旅游景点。泉水从井底汩汩涌出，清澈透明，甘甜可口，四季不断。为了保护古井，政府特意修建了公园，丰富了原本单一的水井，让游客在观井、尝水的同时，也了解这里的历史文化。'], '景点分布': ['白沙古井位于天心区白沙路，近贺龙体育中心。景区是一个开放式的公园，大门是牌坊式建筑，随后是条石铺就的广场，广场北面建有白沙茶艺馆；井区为扇形小广场，共有四眼方井，背靠小山，立有石碑；园内还有一条长廊，廊内嵌有一些名人的诗词或碑记等。游客在这里，还可以看到前来打水的市民，可见其水质优良。'], '景区特色': ['古迹、公园从您位置到白沙古井']}",56,315,"{'旅游攻略': ['游客可以带些空瓶子，打天然的甘甜泉水。'], '最佳游览时间': ['四季皆宜'], '购物推荐': ['（当地特产）湘绣、中国红瓷器、菊花石雕、白沙烟、白沙液、长沙糕点、茶叶、话梅、乔饼、糖姜片、浏阳豆豉、浏阳花炮等。', '（特色湘菜）浏阳蒸菜、乡里腊肉、宁乡口味蛇、剁辣椒炒肉、黄鸭叫、红烧肉、四方坪土鸡、潭州瓦罐、竹香鱼、浏阳火培鱼。', '（特色小吃）长沙臭豆腐、灯芯糕、糖油粑粑、口味虾、口味鸡、口味田鸡、鸭舌、鸭脖、炖猪脚、兰花干子、油豆腐、刮凉粉、长沙米粉、唆螺、麻辣捆鸡、香菜凉拌腰花等。']}","{'景区位置': ['中国>湖南省>长沙市>天心区>新开铺街道>文源街道>先锋街道>黑石铺街道>暮云街道>南托街道'], '到达方式': ['乘车路线：市区内乘坐139路、145路、803路、906路，到白沙井下车，可直达。']}",{'白沙古井门票价格': ['免费']},['全天']
长沙简牍博物馆,湖南省,长沙市,天心区,"{'景区简介': ['长沙简牍博物馆是国内首座、也是目前世界唯一一座集简牍收藏、保护、整理、研究和陈列展示于一体的现代化专题博物馆。馆内珍藏了1996年出土的14万枚三国孙吴时期纪年简牍和2003年发现的2万余枚西汉初年纪年简牍；青铜、漆木、书画、金银等其它藏品也极为丰富。另外，许多个人收藏的长沙窑瓷器也在博物馆内展出，让每一位前来的游客不仅了解了博大精深的简牍历史，也认识到长沙其他一些珍贵文物。'], '景点分布': ['简牍博物馆位于长沙市白沙路92号，毗邻天心公园。馆内分为三层，设有基本陈列、临时展览两部分和研究中心：基本陈列包括最主要的简牍专题陈列，展出了长沙出土的大量珍贵简牍文物及各类简牍的相关知识展板等；长沙文物精华展则将自古以来长沙青铜、瓷器等方面的瑰宝一一进行详细介绍。临时展览涵盖了书法、绘画等各类艺术展览，一些拍卖活动也在这里进行。'], '景区特色': ['参观、历史、研究、博物馆、文物从您位置到简牍']}",15,158,"{'旅游攻略': ['1.每天上午限定参观观众为2500人次，下午为1500人次。', '2.较重的物品携带不便可在服务台免费寄存，并在16:30前取回。', '3.馆内的停车场仅供团队车辆使用。', '4.团队游免费讲解。', '5.在咨询台可领取免费博物馆介绍资料。'], '游览路线': ['一楼：序厅→吴简→简牍制作流程→书写工具→战国简→秦简→汉简', '二楼：战车→瓷器→手工制品→发掘现场图片→玉器制造流程→长沙文物精华展→个人收藏展'], '最佳游览时间': ['四季皆宜'], '购物推荐': ['（当地特产）湘绣、中国红瓷器、菊花石雕、白沙烟、白沙液、长沙糕点、茶叶、话梅、乔饼、糖姜片、浏阳豆豉、浏阳花炮等。', '（特色湘菜）浏阳蒸菜、乡里腊肉、宁乡口味蛇、剁辣椒炒肉、黄鸭叫、红烧肉、四方坪土鸡、潭州瓦罐、竹香鱼、浏阳火培鱼。', '（特色小吃）长沙臭豆腐、灯芯糕、糖油粑粑、口味虾、口味鸡、口味田鸡、鸭舌、鸭脖、炖猪脚、兰花干子、油豆腐、刮凉粉、长沙米粉、唆螺、麻辣捆鸡、香菜凉拌腰花等。']}","{'景区位置': ['中国>湖南省>长沙市>天心区>新开铺街道>文源街道>先锋街道>黑石铺街道>暮云街道>南托街道'], '到达方式': ['乘车路线：在长沙市区乘坐122路、202路、314路、402路环线、406路、803路、908路东线、908路西线、旅2路、旅3路，可直达博物馆。', '自驾路线：市内沿枫林一路，过橘子洲，经五一大道→芙蓉中路后即可；博物馆靠近天心公园。']}",{'简牍门票价格': ['持有效身份证件，到领票处免费领取门票参观。']},"['每周一、周三至周日：9:00-17:00（16:30停止领票进馆）。', '每周二、除夕、正月初一、初二闭馆。']"
长沙坡子街,湖南省,长沙市,天心区,"{'景区简介': ['长沙坡子街是一条具有影响力和知名度的民俗名食街，也是湖湘文化的代表。坡子街拥有1200多年的悠久历史，盛唐时期栖居长沙的杜甫用“茅斋定王城郭门，药物楚老渔商市”来描述当时的盛况。古街的变迁见证着长沙城百年的沧桑巨变，浓缩了长沙市场发展和城市建设，从20世纪初的起步，到繁华、毁灭、再生、停滞、腾飞的曲折历程。如今，湖湘的饮食文化源远流长，坡子街作为长沙美食小吃的汇集地，充分体现了长沙的地方特色与地域性的餐饮风格，与上海的城隍庙、南京的夫子庙、苏州的观前街一起被誉为中国四大小吃名街。'], '景点分布': ['坡子街东起黄兴南路，西至湘江大道，全长640米。街区内先后发掘出明代、宋代、五代3个不同历史时期的古城墙遗迹，有国家和省市文物保护单位27处；美食以火宫殿为代表，有强民小吃、向群锅饺、清真李盛等老字号名店，也有四娭毑臭豆腐、糖油粑粑、湘宾春卷、乾煎鸡油八宝饭、嗦螺、口味虾等极具代表性的小吃，是大快朵颐的好地方。'], '景区特色': ['休闲、美食、街区从您位置到坡子街']}",0,22,"{'旅游攻略': ['每年农历6月23日，火宫殿都将举行大规模的祭祀活动，人群熙攘，热闹非凡。', '主要特色美食有：火宫殿，四娭毑臭豆腐，糖油粑粑，糯米粽子，湘宾春卷，龙脂猪血，绿豆沙，汤面，米粉，乾煎鸡油八宝饭，馄饨，萝卜丝饼，薯丁粑粑，油条，嗦螺，口味虾，红烧猪脚，麻辣烫等。'], '最佳游览时间': ['四季皆宜']}","{'景区位置': ['中国>湖南省>长沙市>天心区>新开铺街道>文源街道>先锋街道>黑石铺街道>暮云街道>南托街道'], '到达方式': ['1路、123路、171路、222路、406路、707路，坡子街站']}",{'坡子街门票价格': ['无']},['全天']
岳麓山风景名胜区,湖南省,长沙市,岳麓区,"{'景区简介': ['岳麓山风景名胜区有“岳麓之胜，甲于楚湘”的美誉，自古以来就以山清水秀著称于世，因此吸引了无数的文人墨客、达官显要到这里游赏，从而留下了众多的历史和文化遗迹，爱晚亭、清风峡、蟒蛇洞、禹王碑、岳麓书院等景观闻名遐迩。'], '景点分布': ['岳麓山是南岳衡山72峰之一，风景区位于湖南省长沙市西郊，东临湘江，为城市山岳型风景名胜区。岳麓山风景区已开放的景区有麓山景区、橘子洲头景区，景观由丘陵低山、江、河、湖泊、自然动植物以及文化古迹、近代名人墓葬、革命纪念遗址等组成。'], '景区资质': ['国家5A级景区'], '景区特色': ['观光、摄影、徒步、古迹、名山']}",1072,5784,"{'旅游攻略': ['1.橘子洲：每年5-10月的每周六20：30-20：50以及元旦、除夕和元宵会燃放烟花，在杜甫江阁周围是最佳观赏点；燃放时间每年会有少许变动。', '2.岳麗山：每年的11月底至12月初是岳麓山观赏红叶的最佳时期，根据季节温差情况，可能略有提前或延迟。爱晚亭是观赏红叶的最佳位置，除此之外也可乘坐索道观赏红叶。'], '游览路线': ['1、岳麓山南大门→爱晚亭→舍利塔→刘道一墓→覃理鸣墓→半山亭（休息）→蒋翊武墓→麓山寺→白鹤泉.笑啼岩→印心石屋→云麓宫飞来石归来钟', '2、岳麓山南大门→五轮塔→半山亭（休息）→麓山寺→白鹤泉.笑啼岩→蔡锷墓→黄兴墓→长廊→极目山庄→索道', '3、岳麓山东大门→索道→极目山庄→禹王碑→长廊→响鼓岭、鸟语林→印心石屋→麓山寺→白鹤泉.笑啼岩→蒋翊武墓→刘道一墓→覃理鸣墓→爱晚亭→南大门', '4、岳麓山东大门→索道→极目山庄→禹王碑→长廊→响鼓岭、鸟语林→云麓宫飞来石归来钟→万景园→肖劲光铜像→穿水坡水塘→五轮塔→南大门'], '最佳游览时间': ['春秋两季'], '购物推荐': ['地特产有：浏阳红桎木、茶、麻辣子鸡、三层套鸡、长沙麻仁香酥鸭、花菇无黄蛋、口蘑汤泡肚、发丝百页等。']}","{'景区位置': ['中国>湖南省>长沙市>岳麓区>麓谷街道>洋湖街道>学士街道'], '到达方式': ['岳麓山：长沙市内成公交106路、立珊专线、202路、305路、旅一路、132路可直达岳麓山景区。', '橘子洲：长沙市乘1路或16路公交在大椿桥下车后步行前往；也可以走到江边轮渡到橘子洲公园，快艇20元。']}","{'岳麓山门票价格': ['岳麓山：免费，观光车20元/人；索道上行30元/人，下行25元/人，全程套票50元/人。', '岳麓书院：30元', '橘子洲：免费开放，沙滩公园门票50元/人。']}",['08：30-17：00']
湖南大学,湖南省,长沙市,岳麓区,"{'学校简介': ['湖南大学起源于宋太祖开宝九年(公元976年)创建的岳麓书院，享有“千年学府，百年名校”之誉。坐落于历史文化名城长沙，校区位于湘江之滨、岳麓山下，不仅是教育部直属全国重点综合性大学，也是国家“211工程”、“985工程”重点建设高校。“麓山巍巍，湘水泱泱，宏开学府，济济沧沧；承朱张之绪，取欧美之长……”历经千年沧桑的湖南大学，将继承和发扬岳麓书院优秀的教育和文化传统，遵循现代大学办学规律，改革创新，与时俱进，为创建国际知名的高水平研究型大学奋勇前行。'], '地点分布': ['湖南大学，校园占地面积139.6万平方米，校舍建筑面积98.14万平方米。共有2所校区，一所是位于岳麓山中部的南校区，一所是在岳麓山西北的北校区。两座校区相隔不远，北校区偏小，仅设置有金融财会专业。'], '学校特色': ['参观、学习、学校'], '学校游览图': ['学校游览图从您位置到湖大']}",434,3266,"{'最佳游览时间': ['四季皆宜'], '学校游览图': ['学校游览图']}","{'学校位置': ['中国>湖南省>长沙市>岳麓区>麓谷街道>洋湖街道>学士街道'], '到达方式': ['南校区：63路、106路、152路、202路、804路、902路、908区间线、913路、旅1路、旅3区间线，湖南大学下车即可。', '北校区：12路、903区间线、908区间线，湖大北校区学生公寓站下车；6路、12路、63路、303路、309路、312路、314路、315路、902路、903区间线、908区间线，望麓桥站下车。']}",{'学校开放时间': ['全天']},{}
长沙橘子洲,湖南省,长沙市,岳麓区,"{'景区简介': ['长沙橘子洲，“独立寒秋，湘江北去，橘子洲头，看万山红遍，层林尽染”。这里不仅被誉为“中国第一洲”，也是世界上最大的内陆洲，古往今来久负盛名的同时也留下了不少赞美诗篇，尤以毛主席的《沁园春·长沙》最为著名。在橘子洲上，人们可以看到中国最大的毛泽东雕塑，也可以尽享沙滩、园林的自然魅力，感受历史文化的厚重，重访伟人的千古足迹。而每当夏秋时节，橘子洲上灿烂的烟花更是成为长沙最激动人心的重要活动。'], '景点分布': ['橘子洲地处湘江江心，西望岳麓山，东临长沙城，四面环水。在91.64万平方米的洲上，有毛泽东雕塑、汉白玉纪念碑、沙滩公园、历史文化陈列馆、潇湘名人会所、朱张故渡、柑橘文化园、竹园、梅园、桃园、桂花园、百米高喷、音乐喷泉、婚庆园、拱极楼、望江亭、江神庙、橘子洲大桥等景观景点，可开展体育运动、观星、露营等活动。'], '景区资质': ['国家5A级景区'], '景区特色': ['休闲、观光、名人古迹、娱乐、公园、雕塑、展馆、江河、沙滩']}",420,2996,"{'旅游攻略': ['橘子洲烟花：', '1、燃放时间：元旦、除夕、元宵节、劳动节、端午节、建党节、建军节、中秋节、国庆节重大节假日各一场，每次时长20分钟，特别节会如有安排，将会另行公布。', '2、最佳观赏地点：湘江中路、潇湘中路、杜甫江阁、四羊方尊广场等湘江沿线。', '3、由于环境问题，据长沙市禁限放办公室消息，2019年橘子洲烟花可能会取消，具体消息尚未确定。市禁限放办公室将在广泛征求意见基础上，起草修改长沙市中心城区烟花爆竹禁限放通告的建议，确保2019年予以实施。'], '最佳游览时间': ['四季皆宜']}","{'景区位置': ['中国>湖南省>长沙市>岳麓区>麓谷街道>洋湖街道>学士街道'], '到达方式': ['乘车路线：旅3区间线直达橘子洲景区，地铁2号线橘子洲站下车（橘子洲烟花期间经过不停车）；或乘坐109路、117路、118路、132路、152路、301路、301区间线、317路、318路、401路、811路、903路、913路到橘子洲大桥西下车，上桥往西走即到。', '自驾路线：长沙市内走潇湘北路/中路至橘子洲大桥即可，外省市走京珠高速、长沙绕城高速抵达市区。']}",{'橘子洲门票价格': ['免费']},['全天']
