name,province,city,location,desc,want,has_been,strategy,route,ticket_info,open_time
福建莆田九龙谷,福建省,莆田市,城厢区,"{'景区简介': ['福建莆田九龙谷素有“莆田市后花园”之美称，景区内峰峦起伏、山清水秀、山体雄伟、幽洞深邃，置身其中体验大自然之灵气与神韵，是集旅游观光、休闲养生、生态科普、考察探险、健身体验于一体的生态旅游风景区。'], '景点分布': ['莆田九龙谷内有神龟朝圣、龟山寺、五星漈、积翠潭、得趣亭、许愿石、虎啸山崖、霞客揽胜、石门漈、迎客松、独具慧眼、通仙洞、秃猴偷桃、相思亭、霞客古道、观音古洞、霞客广场、休闲设施等。'], '景区资质': ['国家4A级景区'], '景区特色': ['休闲、自然、观光、森林、山谷从您位置到九龙谷']}",53,141,"{'最佳游览时间': ['四季皆宜'], '购物推荐': ['（特产）鳗鱼、对虾、梭子蟹、丁昌鱼等海产品，龙眼、荔枝、枇杷、文旦柚等。', '（美食）棒棒鸡、荔枝肉、佛跳墙、莆田卤面、莆田煎包等。']}","{'景区位置': ['中国>福建省>莆田市>城厢区>常太镇'], '到达方式': ['驾车路线：距莆田市区约32公里，途径X223等。']}",{'九龙谷门票价格': ['每人50元']},['8：00-18：00']
莆田御庄园温泉度假村,福建省,莆田市,城厢区,"{'景区简介': ['莆田御庄园温泉度假村是一家集温泉养生、休闲度假、商务会议、娱乐健身为一体的生态文化型养生温泉度假村。早在北宋时，“钱四娘”修筑木兰坡时勘察木兰溪沿岸（位于现霞林街道处）发现天然温泉泉眼后加以开采利用沿用至今，出水口平均水温能达到60℃，日涌量达1500吨。据市地质专家勘探和实验室理化分析，温泉水中氯离子较为活跃属于氯化物型的医疗温泉，含有多种人体所必需的微量元素，具有一定的医疗养生价值。氯化物型温泉，不仅具有消毒和疗养等功效，还能刺激皮肤可使皮肤血管扩张，增进体表血液循环，加速汗和皮脂腺的分泌，对于缓解神经痛、风湿病、关节炎、皮肤病、痛风、高血压、血栓性脉、气管炎、胃炎及十二指肠等方面，具有显著功效，同时温泉水中含有极其微量氡元素，更使其具有较好的减肥功效，及皮肤保养和美容的作用。'], '景点分布': ['御庄园温泉度假村位于荔华东大道2388号，占地面积120余亩。度假村由温泉度假中心、酒店会议中心和温泉别墅等项目组成；其中温泉度假中心由五十余个露天园林温泉泡池、温泉木屋、至尊SPA房、特色蒸房、大型露天游泳池、造浪池、儿童水上乐园、室内温泉、中西式餐厅、江南茶艺馆、健身会馆等项目组成，提供免费自助养生餐、饮料、糕点、水果等，让客人享受到百分百的“御”式尊贵服务。'], '景区资质': ['国家3A级景区'], '景区特色': ['温泉、度假村从您位置到御庄园']}",0,1,{'最佳游览时间': ['四季皆宜']},"{'景区位置': ['中国>福建省>莆田市>城厢区'], '到达方式': ['2路;6路;22路;28路;58路夜班;102路;150路;151路;153路;155路长安实业站', '荔城中大道→荔城南大道→荔华东大道→度假村']}","{'御庄园门票价格': ['温泉票198元', '温泉+自助餐288元']}",['10:00-24:00']
福建莆田南山广化寺,福建省,莆田市,城厢区,"{'景区简介': ['福建莆田南山广化寺列为全国三大模范丛林之一，松柏苍翠，山泉鸣涧，清幽宁静。相传千年之前，滔滔东海之水，直涌至南山脚下，行云流霞与青翠松柏交相辉映，构成了一幅无比生动的画卷，故有“南山松柏”佳景之称。如今，千年古刹香火旺盛，历史古迹完好保留，人行其间，绿蔓牵衣，别有一番禅意。'], '景点分布': ['广化寺坐落在莆田西南三公里处，靠近南湖公园和凤凰山，占地面积达3．2万平方米。寺庙沿山势自然上升，坐西朝东的中轴线上分布有照壁、牌坊、山门、放生池、天王殿（弥勒殿）、大雄宝殿、法堂（上为藏经阁）、卧佛殿（下为祖堂）等；东侧次第为东罗汉殿、钟楼、五观堂、伽蓝殿、尊客堂、水云乡、圆通门、溪声阁等建筑；西侧次第为西罗汉殿、鼓楼、学戒堂、祖师殿、净行堂（念佛堂）、烟霞窟、住持室、看山楼。寺后东西两角最高处，相对耸立着观音阁和小南山，玲巧别致。同时，广化寺还保留了大量文物古迹，包括释迦文佛塔、“东峰书堂”故址、一对刻有《佛顶尊胜陀罗尼》的石经幢、文天祥真迹等。'], '景区资质': ['汉族地区佛教全国重点寺院'], '景区特色': ['休闲、观光、朝圣、历史文化、宗教、建筑从您位置到莆田广化寺']}",33,125,{'最佳游览时间': ['四季皆宜']},"{'景区位置': ['中国>福建省>莆田市>城厢区'], '到达方式': ['乘车路线：8路，21路，28路，29路到南湖公园，55路到广化寺路口。', '自驾路线：文献西路、莆阳西路、荔城南大道等转入广化路即可。']}",{'莆田广化寺门票价格': ['免费']},['全天']
莆田绶溪公园,福建省,莆田市,城厢区,"{'景区简介': ['莆田绶溪公园以“清溪、绿岛、古桥、丹荔、田园、乡村”为主题，是莆田市新建的一个综合性水上公园。景区突出生态基底保护，打造自然景观优美、人文底蕴深厚、休闲功能突出的鲜明特征及具有莆田荔林水乡特色的木兰溪治理典范，环境清新优雅，适合大众休闲、娱乐、观光旅游、运动，还有倍受青睐的国家一级名木古树——“荔枝红”，被认为是莆田最长的公园，也是婚纱摄影的热门去处之一。'], '景点分布': ['绶溪公园位于莆田荔城北大道，设有绶溪钓艇景观区、民俗文化区、滨水活力景观区、山地文化区、休闲果园区、生态益智区、游乐休闲区、荔岛景观区等8个景观主题功能区。一期续建规划面积约587亩，主要建设公园西侧主入口广场景观，包括公园西侧主入口、后村梅园、刘克庄墓·纪念馆、南侧入口、吴公祈福、摘星楼、薛公池·咏归亭、状元井等。'], '景区资质': ['国家4A级景区'], '景区特色': ['休闲、娱乐、公园从您位置到绶溪公园']}",0,1,{'最佳游览时间': ['四季皆宜']},"{'景区位置': ['中国>福建省>莆田市>城厢区'], '到达方式': ['公交车：1路1路夜班7路23路60路98路99路202路303路D15路K02路洋西站']}",{'绶溪公园门票价格': ['免费']},['全天']
莆田瑞云山风景区,福建省,莆田市,涵江区,"{'景区简介': ['莆田瑞云山风景区即瑞云山森林公园，自然景观堪称一绝，有大景“一十八”小景“三十六”的美称。瑞云山以自然山水、森林景观和人文景观为主体，集观光朝圣、避暑纳凉、度假疗养、探险猎奇、科普教育和科学研究为一体，素有莆田“树海”之称。风景区内山峦重叠，森林茂密，村舍寥落，空气清闲。特别是苍劲的山体，耸立的石峰，交错的谷岭，潺潺的溪流，绿色的田野，飘香的果园，波光点点的鱼池，相映成趣，构成了一幅幅迷人的山光水色。瑞云山冬季不甚寒冷，夏季凉爽宜人。当冬天姗姗来迟时，春暖已经捷足先登，气候温和，是四季皆宜的旅游胜地，更是休闲消暑极为理想的好去处。'], '景点分布': ['瑞云山坐落在莆田涵江区大洋乡，离莆田市区59公里，总面积为1302.2公顷。园内有183科1000多种植物，包括红豆杉在内有数十种属于国家一、二级保护珍稀濒危植物。最具看点的是诸多的奇石景观，如玉女梳妆、玉兔戏鬼、望夫岩、鱼跃龙门、东方睡狮、老君望月、天犬吠日、永兴岩等等，怪石周围还有将军守门、石林峰、天台、爱情坡、象鼻山、剑门关、通天洞、忠孝洞、张公洞、十二生肖印、凤尾瀑布、生命之门、红军洞、弥勒佛广场等山、水、洞、林景观。在游玩途中，还有古老的永兴岩寺、元朝古墓、摩崖石刻等诸多历史人文景点，让登山饶有趣味。'], '景区资质': ['省级森林公园'], '景区特色': ['休闲、登山、避暑、历史文化、宗教、古迹、遗址、摩崖石刻、山峰、森林、奇石']}",82,59,"{'游览路线': ['弥勒佛广场→永兴卧佛→红豆杉→百竹园→鹰嘴峰、将军峰、神猪携子、别有洞天、天狗吠日、东方睡狮、玉兔镇鬼、老君望月、火炬石等→玉女梳妆→永兴石窟寺→生命之根、生命之门→望夫岩→双乳峰、大象山、动物世界、猴子观海、红军洞、千年老龟、玉女抱婴等'], '最佳游览时间': ['四季皆宜'], '购物推荐': ['山猪、野鸡、野菜等。']}","{'景区位置': ['中国>福建省>莆田市>涵江区>\t萩芦镇>大洋乡'], '到达方式': ['自驾路线：', '从福州出发：福州（福厦高速公路）→宏路高速路口（324国道）→甘厝口→东张镇→大洋→瑞云山景区', '从厦门、泉州出发：厦门、泉州（福厦高速公路）→莆田黄石路口（324国道）→梧塘镇→白沙镇→秋芦镇→庄边/新县→瑞云山景区']}","{'瑞云山门票价格': ['成人票：50元', '免票：儿童身高1.2米以下、70岁以上老人持老年证、现役军人持军官证、残疾人持残疾证、导游持导游证（需带团）免景区大门票。', '优惠：儿童身高1.2米-1.5米、60周岁老人持老年证、教师持教师证、学生持学生证购景区优惠大门票。']}",['08:00-18:00']
莆田洋尾古村,福建省,莆田市,涵江区,"{'景区简介': ['洋尾古村因古时有外国人（俗称洋人）来此经商，居于村尾，故称之为“洋尾”。位于福建省莆田市涵江区，系古地名。据传古村落最早形成于唐代，是李氏族人聚居的一个古老村落。洋尾古村历经宋、明、清三代沧桑的文物古迹，大部分已经湮没。'], '景点分布': ['洋尾古村主要看点有白塘科第坊、柏府归荣坊、佥判第坊、鳌壶会秀石碣、兴正亭、聚福书社、李氏大宗祠、州牧祠、灵镇宫等。'], '景区资质': ['省级历史文化名村'], '景区特色': ['摄影、古村、古民居、宗祠、古村落从您位置到洋尾古村']}",47,51,{'最佳游览时间': ['四季皆可']},{'景区位置': ['中国>福建省>莆田市>涵江区>\t萩芦镇']},{'洋尾古村门票价格': ['免费']},['全天开放']
福建莆仙东岳观,福建省,莆田市,涵江区,"{'景区简介': ['福建莆仙东岳观创建于宋朝，经历了宋、元、明、清、民国至今。园林式的庙宇群体，金碧辉煌、巍壮峨严，观中诸多文物古迹出自历朝代官绅、名人手迹。'], '景点分布': ['莆仙东岳观内有庙宇建筑、古迹、妈祖阁匾额、壁画、前殿、后殿、拜仙台、小院、华侨纪念馆等，这里不仅是省内古老的道教文化活动圣地，而且成为海内外人士的旅游胜境。'], '景区资质': ['省级重点文物保护单位'], '景区特色': ['宗教、建筑、古庙从您位置到东岳观']}",22,31,"{'最佳游览时间': ['四季皆宜'], '购物推荐': ['（特产）鳗鱼、对虾、梭子蟹、丁昌鱼等海产品，龙眼、荔枝、枇杷、文旦柚等。', '（美食）棒棒鸡、荔枝肉、佛跳墙、莆田卤面、莆田煎包等。']}","{'景区位置': ['中国>福建省>莆田市>涵江区>\t萩芦镇>江口镇'], '到达方式': ['乘车路线：乘202路，在江口镇政站下车即可。', '驾车路线：市内走锦江东路等即可。']}",{'东岳观门票价格': ['无门票']},['全天']
莆田工艺美术城,福建省,莆田市,荔城区,"{'景区简介': ['莆田历史悠久、人杰地灵，素有“海滨邹鲁”、“文献名邦”之称，当地木雕、玉雕、石雕和金银珠宝四大工艺行业蜚声海内外，中国·莆田工艺美术城作为目前全国规模最大、配套最齐全的全国性工艺品专业市场，汇聚了来自全国各地的工艺大师、名家名品，汇集了巨大的信息流、技术流、商品流和人才流，有“莆田工艺甲天下，精品尽在工艺城”之称。'], '景点分布': ['中国·莆田工艺美术城园区占地460亩，总建筑面积47万平方米，由展示中心、展销区、公共服务配套设施等组成，展销区内拥有商业旺铺30多万平方米，分为木雕区、玉雕区、石雕区、金银珠宝中心，木雕展销区集聚了全国各地及台湾、东南亚等地的精品，已成为全世界最大的檀香、沉香交易基地；宝玉石展销区内，玉雕就地加工生产，黄金珠宝按批发价销售，现已成为一个立足莆田、辐射海西、面向全国的大型工艺品市场和旅游观光、休闲购物中心。'], '景区资质': ['国家4A级景区'], '景区特色': ['工艺品、购物、商贸城、城市观光从您位置到工艺美术城']}",247,438,{'最佳游览时间': ['四季皆可']},"{'景区位置': ['中国>福建省>莆田市>荔城区'], '到达方式': ['莆田市区乘出租车或9路、20路等公交在黄石高速路口站下车，即到景区。']}",{'工艺美术城门票价格': ['免费开放']},['9：00——17：00']
湄洲岛妈祖文化国家旅游度假区,福建省,莆田市,秀屿区,"{'景区简介': ['湄洲岛是闻名海内外的妈祖故乡、妈祖文化发祥地，被誉为“东方麦加”，又因岛上四季如春，风景如画，故而有“南国蓬莱”、“东方夏威夷”等美称。湄洲岛上，蓝天、碧海、阳光、沙滩构成浪漫旖旎的滨海风光，庙宇、祭典则成为文化历史和民俗信仰的宝贵财富。如今，全世界的人们踊跃至此，不仅仅是一览这里美丽动人的自然风景，更是一次对文化和信仰的探索朝圣之旅。'], '景点分布': ['湄洲岛国家旅游度假区位于莆田市约40公里的东南海面上，距陆地最近点文甲码头1.8海里。岛上有湄屿潮音、九宝澜黄金沙滩、鹅尾神石园、湄洲祖庙等风景名胜30多处，还可吃地道特色小吃，了解、体验民俗、妈祖文化。'], '景区资质': ['国家5A级景区、国家旅游度假区'], '景区特色': ['民俗文化、古迹、寺庙、海滨、海岛']}",1033,1832,"{'旅游攻略': ['湄洲岛的海滩，沙质细腻，滩势平缓，非常适合游泳戏水。', '湄洲岛景观以早晨和傍晚最为迷人，建议游玩时早起晚归。', '湄洲岛每年农历三月二十三是妈祖诞辰日，九月初九为妈祖升天日，这期间朝圣者络绎不绝，活动众多，盛况空前，不可错过。', '妈祖文化节：2018年11月18日，第二十届中国•湄洲妈祖文化旅游节揭开序幕，包括秋祭妈祖大典、“湄洲女发髻”表演赛、《祥瑞湄洲》民俗歌舞表演、莆仙戏表演、妈祖文化灯光秀、电影《妈祖回家》杀青仪式等在内的8项活动，在本次文化旅游节期间举行。'], '游览路线': ['1、东岩山妈祖行宫\xad→文峰宫\xad→港里祖祠\xad→湄洲祖庙（妈祖祭典仪式、古编钟表演、湄洲女服饰展示）\xad→鹅尾神石园2、湄洲祖庙→妈祖公园→湄屿潮音→鹅尾山神石园→九宝澜黄金沙滩→嵩山风景区→天云洞→平海天后宫（师泉井）→亿豪休闲度假中心'], '最佳游览时间': ['每年3月-11月'], '购物推荐': ['美食：妈祖平安面、什锦炒海蛎饼（炒粉饼）、渔家煮头水紫菜、湄洲鱼饭（黄瓜鱼饭）。']}","{'景区位置': ['中国>福建省>莆田市>秀屿区>前沁农场>后海管理局'], '到达方式': ['从莆田市前往湄洲岛，可乘公共汽车直达湄州湾，再改换轮船前往湄州岛，船票单程7元/人；']}","{'湄洲岛门票价格': ['入岛门票:65元', '豪华游艇(往返):45元', '上岛后，鹅尾山景区门票15元，妈祖文化苑门票30元，黄金海滩门票30元。']}","['轮船发船时间：', '4月1日至10月31日：7:00-18:00', '11月1日至3月31日：7:30-17:30']"
莆田贤良港天后祖祠,福建省,莆田市,秀屿区,"{'景区简介': ['莆田贤良港天后祖祠是海峡女神——妈祖的诞生地，也是最早的妈祖庙之一。这里不仅保存了诸多妈祖生活的印记，还有一系列文物、民俗传统等，既是历史古建筑的探访佳地，也是民俗信仰的实体展现，现已成为全球各地妈祖庙谒祖、分灵，妈祖信徒朝拜、祈求平安的圣地。'], '景点分布': ['天后祖祠地处山亭乡港里村，与湄洲岛妈祖祖庙遥遥相望，包括祖祠和故居两大部分和诸多古迹。天后祖祠由山门牌坊、东西辕门、拜亭、正殿、后殿、左右厢房、左右钟鼓楼等组成，保留有宋代妈祖宝像、清乾隆石刻碑记、受符井、八封井等文物古迹。妈祖故居位于祖祠旁边，是一座莆田传统宅第院落式古建筑，复原陈列有妈祖卧室、兄嫂卧房、织布机房、制药房等，后山上还有一尊妈祖石像。另外，在祖祠海岸处有三块巨大的礁石，称为“三柱香”，是船舶入港的引导标志。'], '景区资质': ['国家2A级景区'], '景区特色': ['休闲、朝拜、民俗文化、古迹、故居、宗教从您位置到天后祖祠']}",39,79,"{'旅游攻略': ['每年农历九月初九，为纪念“海上和平女神”妈祖羽化升天，天后祖祠都会隆重举行“海祭大典”。'], '最佳游览时间': ['四季皆宜'], '购物推荐': ['美食：妈祖平安面、荔枝']}","{'景区位置': ['中国>福建省>莆田市>秀屿区>前沁农场>后海管理局'], '到达方式': ['自驾路线：沿莆永高速公路行驶，转入S202至山亭港里村。']}",{'天后祖祠门票价格': ['免费']},['7：00-19：00']
