name,province,city,location,desc,want,has_been,strategy,route,ticket_info,open_time
辽宁省博物馆,辽宁省,沈阳市,和平区,"{'景区简介': ['辽宁省博物馆于1949年成立，是新中国第一座博物馆，素以藏品丰富、特色鲜明、精品荟萃而享誉海内外。馆内藏品总量达11.2万件，以考古发掘出土品和传世工艺美术品为主，藏品的时代上起旧石器时代，下至近现代，形成了规模宏大的收藏体系，成为了解辽宁方方面面的最佳场所。'], '景点分布': ['辽宁省博物馆位于沈阳市中心和平区，原为奉系军阀热河都统汤玉麟官邸。藏品分为考古、书画、雕刻、陶瓷、丝绣、铜器、古生物、少数民族文物、甲骨、碑志等17类文物，其中尤以晋唐宋元书画精品、宋元明清缂丝刺绣、辽代陶瓷、历代碑志、明清版画、红山文化玉器、商周时期窖藏青铜器、古地图、清李佐贤《古泉汇》著录的历代货币等最具特色和影响。'], '景区资质': ['国家4A级景区'], '景区特色': ['文化游、摄影、观光、历史游、博物馆从您位置到博物馆']}",139,567,"{'最佳游览时间': ['四季皆宜'], '购物推荐': ['绢花、彩石镶嵌画']}","{'景区位置': ['中国>辽宁省>沈阳市>和平区'], '到达方式': ['交通路线:214、215、216、221、228、230、243、248、260、326、800、159\xa0路公交车至市府广场站或中级法院站下车。']}",{'博物馆门票价格': ['免费开放']},['星期二至星期日9:00—17:00（16:00停止入场）。星期一（国家法定假日除外）闭馆，除夕日闭馆。']
东北大学,辽宁省,沈阳市,和平区,"{'学校简介': ['东北大学始建于1923年4月，坐落于辽宁省沈阳市，是一所具有爱国主义光荣传统的大学。1931年“九·一八”事变后，被迫先后迁徙北平、西安、四川等地。在此期间，广大师生积极参加爱国抗日运动，是“一二·九”运动的先锋队和主力军。1960年被列为中国64所重点大学之一，是国务院首批批准有权授予学士、硕士和博士学位的大学。1993年4月22日，东北大学复校，张学良为名誉校长。1998年9月，东北大学由原冶金部属院校划转为教育部直属高校。学校是国家首批“211工程”和“985工程”的重点建设高校。'], '地点分布': ['东北大学占地面积203万平方米，建筑面积103万平方米。有3个国家重点实验室（最近新增流体工业自动化实验室），14个博士后流动站。学校共有两个校区：一个是沈阳校区，坐落于沈阳市文化路3号巷11号。南滨浑河，北畔南湖；一个是秦皇岛校区，位于秦皇岛市开发区泰山路143号。北倚燕山、南临渤海。沈阳校区和秦皇岛校区校园各具特色，环境幽雅，文化底蕴深厚，治学严谨，是一个求学深造以及科学研发的全国重点大学。从您位置到东北大学']}",62,406,{},"{'学校位置': ['中国>辽宁省>沈阳市>和平区'], '到达方式': ['(线路一)到达沈阳站后，乘坐地铁1号线(黎明广场方向)，在青年大街站下车。站内换乘地铁2号线(全运路方向)，在市图书馆站下车(B口出)，后步行至市茂百货站，乘坐166路公交车，在东北大学南门站下车即可。全程约50分钟。', '(线路二)到达沈阳站后，乘坐327路公交车，在南京街砂阳路站下车，后步行至省妇婴医院站，乘坐166路，在东北大学南门站下车即可。全程约50分钟。']}",{},{}
沈阳老北市场,辽宁省,沈阳市,和平区,"{'景区简介': ['老北市场是沈阳早期文化的最初聚集地，有着很深的文化传统，是沈阳市三大商业板块之一。北市场在老沈阳情感记忆纽带里是大清全盛启运之地、锡伯族西迁戍边的历史起点，也是最具浓郁传统文化特色的繁华娱乐区。作为沈阳城市核心区的“老字号”文旅名片，2020年10月1日，老北市完成升级改造与市民见面，围绕着“记忆+更新、复古+现代、文化+商业、艺术+日常”的重构理念，重组概念，重新布局，改造升级后的老北市让“历史”与“现代”相互交融，让人沉醉其中。'], '景点分布': ['老北市位于沈阳市和平区营口东路，由北区文盛园、南区文奉园和中区皇寺广场共同构成，总建筑面积8.2万平方米。其中，南区文奉园里，大观茶园、老电影院、老物件博物馆、蜡像馆等民国主题文化单元百花齐放，街区内的美食和小物件也带有浓浓的年代感。北区文盛园里，宋雨桂美术馆、刘敬贤辽菜博物馆、辽宁非遗博物馆、抚顺大官窑等建筑均有异曲同工之妙，历史文脉在这里重新被唤醒。此外，16.36米高的扇灯、24米高的文化地标建筑、8座望楼、12面战鼓等等景观，让人穿越古今，开启一段民族、民俗文化的沉浸式游园时光。'], '景区资质': ['国家4A级景区'], '景区特色': ['民俗文化、娱乐、地标、街区、展馆、宗教从您位置到北市场']}",81,340,"{'旅游攻略': ['沈阳老北市场每年春节时的庙会有各种精彩表演和丰富的文娱活动，十分热闹。'], '最佳游览时间': ['四季皆可'], '购物推荐': ['北市场有许多小吃和民俗玩意儿的小摊，购物、美食、休闲、娱乐都可以在此解决。']}","{'景区位置': ['中国>辽宁省>沈阳市>和平区'], '到达方式': ['公交车：123路203路北市场东站', '公交车：115路140路209路216路221路243路247路248路260路269路281路295路303路市府大路三经街站', '公交车：138路140路209路215路216路243路248路260路281路295路303路326路北市场站']}",{'北市场门票价格': ['免费']},"['全天开放', '旧址：每周二至周日的上午9时至下午4时开放(周一闭馆)']"
沈阳实胜寺,辽宁省,沈阳市,和平区,"{'景区简介': ['实胜寺全名为莲花净土实胜寺，是清政府在东北地区建立的第一座正式藏传佛教寺院，也是清军入关前盛京最大的喇嘛寺院。实胜寺又叫皇寺，是清太宗皇太极敕建的，位于沈阳市和平区皇寺路，始建于明崇祯元年(1636年)，占地面积7000多平，坐北朝南，呈长方形，寺院内环境清幽，经幡飘扬，十分漂亮。'], '景点分布': ['实胜寺沿中轴线依次为山门、天王殿和大殿，两侧建有钟楼、鼓楼、碑亭、玛哈噶喇佛楼、白度母殿、绿度母殿等，主要看点有壁画、开运钟、玛尼堆、清代石刻、白骆驼驼金佛雕像、经幡等。'], '景区资质': ['国家2A级景区、省级文物保护单位'], '景区特色': ['寺院、宗教、文化、藏传佛教寺院、皇寺从您位置到实胜寺']}",70,137,"{'旅游攻略': ['每逢春节、“五一”、“十一”等节假日期间，实胜寺都会举办传统而热闹的皇寺庙会，有京剧、民族歌舞、民乐表演、秧歌等精彩的活动。'], '最佳游览时间': ['四季皆可']}","{'景区位置': ['中国>辽宁省>沈阳市>和平区'], '到达方式': ['在沈阳南站乘坐沈抚一号线、328路、152路、152高峰、399路、232路、271路、262路公交车可以直接到达。']}",{'实胜寺门票价格': ['免费']},['8:00-16:00']
中国医科大学,辽宁省,沈阳市,和平区,"{'学校简介': ['中国医科大学是中国共产党创建的第一所医科院校，也是我党我军创办最早的院校之一，其前身为中国工农红军军医学校和中国工农红军卫生学校，1931年创建于江西瑞金，1940年9月更名为中国医科大学。1948年11月，在沈阳合并了原国立沈阳医学院（前身为满州医科大学，1911年由日本国南满铁道株式会社建立）和原私立辽宁医学院（前身为盛京医科大学，1883年由英国苏格兰教会建立）。中国医科大学是卫生部原部属高等学校，2000年改为省部共建学校。被称为“红色医生的摇篮”。'], '地点分布': ['学校总占地面积为329万平方米（包括已征新校园建设用地134万平方米），现有建筑面积为74.3万平方米，规划新校园建筑面积一期建设53.5万平方米（2005年投入使用）。坐落于辽宁省沈阳市和平区北二马路92号。学校主办国家级、省级杂志10种。实验动物部为辽宁省实验动物中心和辽宁地区实验动物质量检测中心，繁育各级教学、科研用实验动物23个品系。学校附属四所综合性医院和2所专科性医院，为院系合一体制，医院总床位3927张。从您位置到医科大']}",57,238,{},"{'学校位置': ['中国>辽宁省>沈阳市>和平区'], '到达方式': ['(地铁)火车到达沈阳站后，步行至地铁沈阳站乘地铁1号线(黎明广场方向)，在太原街站下车(A口出)，前行700米至中国医科大学。全程20分钟。', '(公交)火车达到沈阳站后，步行至沈阳站北站，乘坐235路，在南京街站下车，前行640米，至中国医科大学。全程30分钟。', '(出租车)打车费用12元。']}",{},{}
沈阳锡伯族家庙,辽宁省,沈阳市,和平区,"{'景区简介': ['锡伯族家庙名称为太平寺，是由锡伯族人出资兴建的一座喇嘛庙，始建于1707年（康熙四十六年），1752年（乾隆十七年）扩建，后又经乾隆四十一年、嘉庆八年、光绪二十八年重扩建，寺庙日臻完善。太平寺坐北朝南，布局严谨，雄伟壮观，位于沈阳市和平区皇寺路太平里21号沈阳皇寺庙会所在地，寺庙内有锡伯族文化展览。'], '景点分布': ['锡伯族家庙主要看点有太平寺、锡伯家庙匾额、西迁主题雕塑、祖先祠、皇家萨满福堂、许愿树等，庙内的锡伯族文化展览主要有西迁壮歌、历史源流、风俗习惯、民间文艺、居住场景、传统婚俗等。'], '景区资质': ['全国重点文物保护单位'], '景区特色': ['摄影、文化、宗教、寺庙、锡伯族、文化从您位置到锡伯族家庙']}",61,191,"{'旅游攻略': ['西迁节：乾隆二十九年(1764年)朝廷为增强新疆伊犁的边防力量，抽调1016名锡伯族官兵远赴伊犁戍边。当年的农历四月十八日，1千多名戍边将士和他们的家属及乡亲齐聚盛京太平寺，杀羊祭祀祖先和神明，祈祷一路平安。此后锡伯族同胞便将农历四月十八日做为“西迁节”。锡伯族家庙设会首，由族人充当管理。每逢年节举行祭祀，农历四月十八最为隆重。'], '最佳游览时间': ['四季皆可']}","{'景区位置': ['中国>辽宁省>沈阳市>和平区'], '到达方式': ['市区可乘坐248、243、260、140路公交车到市府大路三经街站下车，步行前往。']}",{'锡伯族家庙门票价格': ['免费']},['8:00-18:00']
沈阳故宫博物馆,辽宁省,沈阳市,沈河区,"{'景区简介': ['沈阳故宫是清代的开创者努尔哈赤和皇太极建造使用的宫殿，始建于1625年，其占地面积为6.7万平方米，共有建筑100余座，300余间，是我国现存仅次于京故宫的最完整的古代帝王宫殿建筑。它在建筑艺术上继承中国古代建筑传统，融汉、满、蒙各族艺术于一体，有很高历史价值。', '整座皇宫楼阁林立，殿宇巍峨，雕梁画栋，富丽堂皇。特别是那金龙蟠柱的大政殿、崇政殿，排如雁行的十王亭、万字炕口袋房的清宁宫，古朴典雅的文朔阁，以及凤凰楼等高台建筑、“宫高殿低”的建筑风格，在中国宫殿建筑史上绝无仅有。此外，沈阳故宫博物院还以丰富的珍贵收藏而著称海内外，宫内收藏有大量旧皇宫遗留下来的宫廷文物，是观赏皇宫珍宝的不二之地。'], '景点分布': ['故宫以崇政殿为中心，从大清门到清宁宫为一条中轴线，将故宫分为东、中、西三路。东路为努尔哈赤时期建造的大政殿与十王亭；中路为清太宗时期续建的大中阙，包括大清门、崇政殿、凤凰楼以及清宁宫、关雎宫、衍庆宫、永福宫等；西路则是乾隆时期增建的文溯阁等。'], '景区资质': ['国家4A级景区、世界文化遗产、国家重点文物保护单位'], '景区特色': ['文化游、摄影、观光、历史游、博物馆、古迹']}",1084,6183,"{'旅游攻略': ['景区活动：', '皇家礼仪表演：每周六下午2：00→3：30', '住宿：景区不提供住宿，由于景区位于沈阳市内，一般来说，游客可以选择在市区内住宿，这样选择范围广且比较方便。'], '最佳游览时间': ['5→10月'], '购物推荐': ['推荐购买绢花、彩石镶嵌画等特产。']}","{'景区位置': ['中国>辽宁省>沈阳市>沈河区'], '到达方式': ['乘117、118、132、140、213、222、228、257、276、287、290、292、294、296、环路公交车到故宫站下车，步行5分钟可到达；', '乘105、113、117、131、133、150、168、218、219、237、248、273、298路公交车到大东门站下车，过大东门（抚近门）往西步行10分钟可到达；', '乘207、212、224、227、326、333、334、503路公交车到大西门（怀远门）站下车，过怀远门往东步行10分钟可到达。', '乘地铁一号线到中街站、怀远门站下车，步行10分钟可到达；乘地铁二号线在青年大街站换乘一号线。']}","{'博物馆门票价格': ['60元。', '（一）6周岁（含6周岁）以下或身高1.3米（含1.3米）以下儿童免票；6周岁（不含6周岁）--18周岁（含18周岁）未成年人半票。', '（二）全日制大学本科及以下学历学生半票。', '（三）60--69周岁老人半票；70周岁以上老人免票。', '（四）现役军人、残疾人（含残疾军人）凭有效证件免票。', '（五）宗教人士按文件规定执行。', '（六）其他按国家省市有关规定执行。']}","['4月10日—10月10日', '开馆：08：30，停止售票：16：45', '闭馆：17：30', '10月11日—4月9日', '开馆：09：00，停止售票：15：45', '闭馆：16：30', '注：每周一上午闭馆（法定节假日和7、8月份除外），下午13：00开馆。']"
沈阳张氏帅府博物馆,辽宁省,沈阳市,沈河区,"{'景区简介': ['张氏帅府博物馆原名“张学良旧居陈列馆”，是张学良将军及其父亲张作霖的官邸和私宅，至今已经有88年历史，有“东北第一名人故居”的美誉。'], '景点分布': ['张氏帅府博物馆占地面积5.3万平方米，院内楼宇林立，庭院相连、建筑恢宏、装饰精湛，充满浓郁民国文化和历史人文特征，自1988年起对外开放，现已发展成为融张氏父子研究、金融研究展示为一体的综合博物馆。张氏帅府博物馆分为东、中、西三座院落，以及部分院外建筑，内有仪门、会客厅、书房、花园、大青楼、小青楼、赵四小姐楼、胡仙堂、边业银行等建筑。'], '景区资质': ['国家4A级景区'], '景区特色': ['文化游、摄影、观光、历史游、爱国游、博物馆、名人故居从您位置到张氏帅府']}",541,2463,{'最佳游览时间': ['5→10月']},"{'景区位置': ['中国>辽宁省>沈阳市>沈河区'], '到达方式': ['经过张氏帅府的公交线路：环路、105、113、117、133、134、213、219、222、228、237、250、257、273、276、287、290、292、294、296、330']}","{'张氏帅府门票价格': ['50元/人', '优惠：70周岁以上老年人、现役军人、离休干部及符合条件的残疾人持本人有效证件到售票处换票。', '售票时间', '夏季（5月1日—10月15日）8:30——17:00', '冬季（10月16日—4月30日）8:30——16:30']}","['开闭馆时间', '夏季8:30——18:00', '冬季8:30——17:30']"
沈阳九·一八历史博物馆,辽宁省,沈阳市,沈河区,"{'景区简介': ['沈阳九一八历史博物馆，馆内收藏的九一八事变爆发前后近1000幅珍贵历史照片文献资料及700余件历史文物，分7个部分，展示了东北人民从沦为亡国奴走向抗战胜利的历史。'], '景点分布': ['沈阳九·一八历史博物馆原址位于1931年“九一八”事变的发生地——沈阳市大东区的柳条湖桥，博物馆内外的建筑如：残历碑、警世钟等提醒着国人“勿忘历史，勿忘国耻”；馆藏分七部分展示了从“9.18事变”到抗日战争胜利，中日建交的整个历程。'], '景区资质': ['国家4A级景区'], '景区特色': ['爱国游、摄影、观光、教育、历史游、古迹、博物馆从您位置到博物馆']}",477,2005,"{'最佳游览时间': ['四季皆宜'], '购物推荐': ['讲解服务：', '免费讲解：', '上午：9：0010：00', '下午：14：0015：00', '除此之外还有语音导览系统和人工讲解，不过要收取一定费用。']}","{'景区位置': ['中国>辽宁省>沈阳市>沈河区'], '到达方式': ['乘坐325、123、212、229、328、245、126、253、213、299、298、399等十多条公交线路到博物馆站下车即到。']}",{'博物馆门票价格': ['免费']},['该馆周一为闭馆日，4月15日～10月15日的开馆时间为8：30一17：30（16：00停止入馆），其他日期开馆时间为9：00一16：00（15：30停止入馆）。']
沈阳科学宫,辽宁省,沈阳市,沈河区,"{'景区简介': ['沈阳科学宫始建于2000年，是辽沈地区的大型现代化科普教育教育基地。'], '景点分布': ['科学宫沈阳科学宫位于沈阳市沈河区五里河中心商务区的科普公园内，占地面积3.6万平方米，建筑面积近4万平方米，具有科普展示、交流培训、会议展览、高科技娱乐等四大功能，除常年设科普展馆外，还设有球幕电影、4D电影、科技创新基地等高科技娱乐项目，是辽沈地区一处重要的科普教育场所。'], '景区资质': ['国家4A级景区'], '景区特色': ['文化游、摄影、观光、科普游、科学宫从您位置到科学宫']}",183,515,{'最佳游览时间': ['4-10月']},"{'景区位置': ['中国>辽宁省>沈阳市>沈河区'], '到达方式': ['乘212路、214路、238路、800路、272路、502路可达']}","{'科学宫门票价格': ['科普展厅票价成人：20元/人，大学生：15元/人，特殊人群：16元/人，18岁以下中小学生：免费穹幕电影票价成人：30元/人，大学生：25元/人，特殊人群：24元/人，18岁以下中小学生：25元/人', '动感电影票价成人：15元/人，大学生：10元/人，特殊人群：12元/人，18岁以下中小学生：10元/人', '另：团体(30人以上)8折，减免票者均须出示本人相关证件；周二半价（节假日除外）']}",['9：00-16：30（夏季）；9：00-16：00（冬季）（周一闭馆）']
沈阳太清宫,辽宁省,沈阳市,沈河区,"{'景区简介': ['沈阳大清宫是道教全真派在东北地区规模较大的一处宫观，也是历史上东北地区道教活动的中心。寺庙始建于清康熙二年，原名“三教堂”，清乾隆四十四年重修后改称“太清宫”。太清宫坐北朝南，整座建筑古香古色，肃穆庄严，是道教活动和游览的胜地。'], '景点分布': ['太清宫共四进院落，采取四合院对称轴式建筑格局。宫内景观荟萃，名胜古迹众多，现有灵官殿、关帝殿、老君殿、玉皇殿、三官殿、吕祖殿、郭祖殿、邱祖殿等八座殿堂。'], '景区资质': ['国家2A级景区、辽宁省重点文物保护单位、中国道教重点开放宫观'], '景区特色': ['道教、卜卦、宗教、宫观从您位置到太清宫']}",90,435,{'最佳游览时间': ['全年适宜。']},"{'景区位置': ['中国>辽宁省>沈阳市>沈河区'], '到达方式': ['乘坐157路、326路、334路到西顺城街太清宫站下车。']}",{'太清宫门票价格': ['2元。初一、十五免费。']},['9：00-16：00']
