name,province,city,location,desc,want,has_been,strategy,route,ticket_info,open_time
大连海滨旅顺口,辽宁省,大连市,旅顺口区,"{'景区简介': ['大连海滨旅顺口风景名胜区包括大连海滨与旅顺口两个景区，由海滨45公里公路联成一体，陆地岛屿面积105平方公里，是国人缅怀历史、休闲度假的理想之地。有句话是这样说的：“一山担两海，一港写春秋，一个旅顺口，半部中国近代史。”', '旅顺口是历史文化名城，也是我国北方重要的军港，中日甲午战争、日俄战争都发生在这里。旅顺口物产资源丰富，海域面积是陆地面积的10倍，盛产各种藻类、贝类和鱼虾，水产养殖和加工业发达，拥有目前世界上最大的养鲍基地。旅顺口还是大连重要的副食品基地，所生产的200多个品种蔬菜和180多个品种的水果供应到大连、辽宁及国际市场。'], '景点分布': ['大连旅顺口区位于辽东半岛最南端、大连市的西南部，有三条高级公路通往大连市区，境内有举世闻名的天然不冻旅顺，东鸡冠山、白玉山等众多历史遗迹；大连海滨则有老虎滩公园、星海公园等众多自然和人文景观。'], '景区资质': ['国家级风景名胜区'], '景区特色': ['摄影、观光、休闲、度假、爱国游、历史游、国防教育、科普、公园、港口、遗址、海滨、岛屿从您位置到旅顺口']}",1063,5223,{'最佳游览时间': ['一年四季皆适宜旅游，但以8、9月最佳，那时不仅可赏美景，而且可以品尝新鲜的海鲜，定让你满意而归。']},{'景区位置': ['中国>辽宁省>大连市>旅顺口区>旅顺经济开发区>大连奶牛场>龙头分园']},{'旅顺口门票价格': ['每个景点几乎都有门票，游客可具实际情况预定购买。']},['每个景点开放时间都有所不同，需具体查实。']
旅顺口白玉山景区,辽宁省,大连市,旅顺口区,"{'景区简介': ['旅顺白玉山景区是大连十大风景名胜区之一，也是旅顺区的最佳观景处，有“到旅顺不登白玉山，就等于未到旅顺口”之说。白玉山树木茂盛，登上山顶可以俯瞰整个旅顺港，旧旅顺八景之一的“白玉夕曛”便指于此。自1986年以来至今，已成功地接待过江泽民、李鹏、杨尚昆、李瑞环、陈慕华、刘华清、彭佩云等党和国家领导人，以及前联合国秘书长加利和国际国内各界知名人士。四方眺望，威武的战舰犁开一道道晶莹的雪浪花，飞翔的海鸥追逐着欢叫着，宛如置身于动感主体三维空间的彩色画面，令人赏心悦目。'], '景点分布': ['白玉山位于旅顺白玉山街158号，原名西官山，山顶有白玉山塔和高达110米的电视塔及海军兵器馆，西北部还有著名地质学家李四光发现的莲花状地质奇观。可远眺黄金山、老虎尾半岛、白银山、老铁山、太阳沟胜利塔和友谊塔等。'], '景区资质': ['国家4A级景区、省级文物保护单位'], '景区特色': ['文化游、摄影、观光、历史游、爱国游、兵器馆、古迹、山岳从您位置到白玉山']}",363,2369,{'最佳游览时间': ['4-10月']},"{'景区位置': ['中国>辽宁省>大连市>旅顺口区>旅顺经济开发区>大连奶牛场>龙头分园'], '到达方式': ['乘车路线：旅顺口5、6、12、18、19路至友谊公园站下，即可到达白玉山售票处。', '自驾路线：G201、旅顺南路至旅顺市区，转入白玉山路即可。']}",{'白玉山门票价格': ['白玉山门票40元，索道单程15元']},['06:00—17:00，索道08:00—16:00']
旅顺日俄监狱旧址博物馆,辽宁省,大连市,旅顺口区,"{'景区简介': ['旅顺日俄监狱旧址由沙皇俄国始建于1902年，1907年，日本对其扩建成最后规模，这座由两个帝国主义国家在第三国先后建造的监狱，是帝国主义列强侵华和反人类的铁证。'], '景点分布': ['旅顺日俄监狱旧址总占地面积22.6万平方米，监狱围墙内占地2.6万平方米，有各种牢房275间，可同时关押2000多人，还有检身室、刑讯室、绞刑室和15座工场，许多中国和朝鲜、日本、俄罗斯、埃及等国家的人民曾被囚禁和屠杀于此，其野蛮和残忍程度在世界上是罕见的，如今的监狱旧址已成为向广大群众特别是青少年进行爱国主义教育基地。'], '景区资质': ['国家4A级景区'], '景区特色': ['摄影、观光、休闲、度假、历史游、爱国游、、旧址、博物馆从您位置到博物馆']}",226,1120,{'最佳游览时间': ['5→9月']},"{'景区位置': ['中国>辽宁省>大连市>旅顺口区>旅顺经济开发区>大连奶牛场>龙头分园'], '到达方式': ['在大连乘坐大连至旅顺（南路）或大连至旅顺（北路）长途（约1小时）客车，进入旅顺口区后，再乘列宁街至元宝坊（3路）区内公交车，于终点站元宝坊下车，即到旅顺日俄监狱旧址博物馆。']}","{'博物馆门票价格': ['25元', '优惠：未成年团体免费参观，必须提前预约，并限定时间（每周二、三、四下午13点以后），额满为止。']}",['夏季每天8：00—17：00（16：30停止售票）；冬季每天8：30—16：30（16：00停止售票）']
大连世界和平公园,辽宁省,大连市,旅顺口区,"{'景区简介': ['大连世界和平公园是一家以“和平”为主题的大型海滨主题公园，这里是中国唯一的世界和平主题公园，也是大连著名的旅游度假中心和文化教育中心。'], '景点分布': ['大连世界和平公园坐落在旅顺经济开发区境内，三面环山，一面濒海，按照地球陆地和海洋面积的比例（1∶2）建成，占地面积13万平方米，公园的平面是由主楼、长廊围绕而成半个地球的轮廓，经纬线是由大理石镶嵌而成，在公园中轴线66米处坐落着公园的标志石，石上刻有由前联合国秘书长加利题写的“大连世界和平公园”字样。', '世界和平公园内47公顷专属海域是大连唯一一处零污染的海滨浴场，园林建筑由法国著名设计师德维尔先生主持设计，风格中西合璧，具有鲜明的时代特点，主要景点包括世界和平文化藏品展馆、1500米二层长廊和两处200米长的海上栈桥、世界各地千余枚精品贝壳展、和平海岸餐厅和游客服务中心、五大洲四大洋等世界文化景观、世界和平公园标志石、千米黄金海岸等。大连世界和平'], '景区资质': ['国家4A级景区'], '景区特色': ['文化游、摄影、观光、徒步、主题公园从您位置到世界和平公园']}",261,688,"{'旅游攻略': ['景区内的中华硬气功表演、民族歌舞表演时间为：上午10：00-11：00、下午1：00-2：30', '夏季的傍晚，海边会有篝火晚会演出，可观看如：上刀山下火海、壮族狮子舞、抛绣球、吐火等中华绝艺，也可和美丽的少数民族少女载歌载舞。游：九月大连有国际服装节，游客可购买很多潮流时尚的衣服。', '吃：要吃海鲜的话最好别在7→8月来，这时候大连要封海。站前广场的烧烤一条街，那里有许多烧烤，口味很不错，最著名的是“大连特色的铁板烤鱿鱼”。'], '最佳游览时间': ['6→9月'], '购物推荐': ['大连主要特产有：海参、海带、鲍鱼、对虾、扇贝、香螺、红虾酥心糖等海味产品，红玉苹果、黄金桃、大连樱桃等水果及玻璃制品、绣品、贝雕画等工艺品。']}","{'景区位置': ['中国>辽宁省>大连市>旅顺口区>旅顺经济开发区>大连奶牛场>龙头分园'], '到达方式': ['在胜利广场和宏孚大厦之间有直达公园的公交车，票价为10元/位。']}",{'世界和平公园门票价格': ['50元/人']},['8：00——18：00']
旅顺口东鸡冠山,辽宁省,大连市,旅顺口区,"{'景区简介': ['旅顺东鸡冠山曾是中国近代史中中日甲午战争和日俄战争的主战场，战争遗迹构成了整个景区的主要人文景观。'], '景点分布': ['东鸡冠山地处旅顺市区东北部，占地面积为931万平方米，山峦起伏，苍松青翠，山中炮台遍布，包括北堡垒、二龙山堡垒、望台炮台等。'], '景区资质': ['国家4A级景区、省级文物保护单位'], '景区特色': ['文化游、摄影、观光、历史游、爱国游、战争遗址从您位置到东鸡冠山']}",135,616,{'最佳游览时间': ['一年四季皆适宜旅游，但以8、9月最佳，那时不仅可赏美景，而且可以品尝新鲜的海鲜，定让你满意而归。']},{'景区位置': ['中国>辽宁省>大连市>旅顺口区>旅顺经济开发区>大连奶牛场>龙头分园']},{'东鸡冠山门票价格': ['20元/人']},['8：00—16：30']
大连旅顺老铁山,辽宁省,大连市,旅顺口区,"{'景区简介': ['老铁山是2000年大连市新八景之一，闻名天下的塔观双海就起源于此。这里风光秀丽，景观荟萃，是自然与人文景观的完美融合。黄海渤海交汇于此，形成我国最凶险的水道；老铁山灯塔百年伫立，历经两战沧桑。2000年8月8日，渡海英雄张健在此下水，历经50小时22分钟，成为横跨渤海海峡第一人。自此，老铁山广为人知，并逐渐发展成为大连市生态旅游的新热点。'], '景点分布': ['老铁山位于辽东半岛最南端，与山东半岛隔海相望。这里有奇特的自然景观和丰富的人文资源，它不仅是世界上唯一只有一种毒蛇聚集的王国，还是候鸟迁徙时北上南下的必经之地。不仅如此，老铁山景观诸多，灯塔、鸟栈、“泾渭分明”、郭家村遗址和汉代牧羊城遗址等景点，无不另世人称奇。随着政府的重点规划，生机勃勃的老铁山风景区将在旅顺的经济发展中发挥更大的作用。'], '景区资质': ['国家5A级景区、国家重点自然保护区'], '景区特色': ['摄影、户外、山岭、名山、海岛、海洋从您位置到老铁山']}",85,490,{'最佳游览时间': ['5月-9月气候与景色最佳。']},"{'景区位置': ['中国>辽宁省>大连市>旅顺口区>旅顺经济开发区>大连奶牛场>龙头分园'], '到达方式': ['大巴路线：从旅顺汽车站乘长途汽车到大沟村即可。', '公交路线：火车站坐旅顺18路、旅顺19路到铁山枢纽站，换乘旅顺216路到陈家村站下车。']}",{'老铁山门票价格': ['门票20元，含老铁山灯塔、黄渤海分界线。']},['7:30—16:30']
旅顺203高地新樱花园景区,辽宁省,大连市,旅顺口区,"{'景区简介': ['旅顺203高地景区是日俄战争中的西线制高点，是日俄双方争夺的重要阵地，拥有目前海内园区面积最大、樱花树最多、种类最全的樱花园。因海拔203米，故被称为二零三高地。景区中山峦迭起，云雾缭绕，花草树木郁郁葱葱，自然人文景观相互辉映，使得游人络绎不绝。2019年樱花节于4月10日开幕，持续至5月5日，整个大连进入到樱花盛开期，届时满园樱色，无与伦比，吸引人们前来赏花摄影。'], '景点分布': ['203高地位于大连市旅顺口区三里桥，又名“猴石山”，占地近50万平方米。景区内保存有大面积四季常青的黑松林和3.3万平方米的樱花园，是国家森林公园、省级文物保护单位。景区主要为两部分，一是“二O三高地陈列馆”，内有近百幅收藏的历史照片以及数十件历史文物，翔实地纪录了1904至1905年日俄战争的全过程。另一个是千姿百态的樱花园，有中国樱、日本早樱、八重樱、雪花樱、山樱等品种2000余株。景区还有特技飞车表演节目，令无数观众惊叹不已，“倒骑王”于顺业先生曾在此表演。'], '景区资质': ['国家4A级景区'], '景区特色': ['摄影、历史、赏花、遗址、花卉']}",46,188,{'最佳游览时间': ['5月末到10月末']},"{'景区位置': ['中国>辽宁省>大连市>旅顺口区>旅顺经济开发区>大连奶牛场>龙头分园'], '到达方式': ['1.乘车路线：', '在中心广场站坐5路车，到石板桥终点站下车', '2.自驾路线：', '从大连走G201，进入旅顺南路，右转至新华大街，沿马北线行驶至景区']}",{'203高地门票价格': ['30元']},['8:00-18:00']
大连旅顺博物馆,辽宁省,大连市,旅顺口区,"{'景区简介': ['大连市旅顺博物馆是一座历史艺术博物馆，其前身为日本统治大连时期的满蒙物产陈列所。这座有着近百年历史的博物馆几经易名和改造，于1954年定名为“旅顺博物馆”。该馆在做好藏品基础陈列的同时，还坚持引进和推出各类专题展览，已成为具有卓越影响力、能够代表中华文明形象的最优秀博物馆之一，2008年5月被国家文物局评定为国家一级博物馆。'], '景点分布': ['旅顺博物馆由主馆和分馆两个部分组成。主馆以《历史文物专题陈列》为主题，依托丰富的馆藏，全年陈列八个专题和一个临时展厅，馆区以自然采光为主，设有语音导览和多媒体查询等辅助设施。分馆于2001年5月正式对外开放，馆区共两层，一层为《大连古代文明》专题，二层为《馆藏外国文物系列展》。展厅以全封闭人工采光为主，先进的多功能报告厅可更好的为展览服务。分馆馆区还另有500多平方米的展出空间，接待馆际交流展览。'], '景区资质': ['全国文物保护单位、国家一级博物馆'], '景区特色': ['建筑、展览、文物、博物馆从您位置到旅顺博物馆']}",75,345,"{'最佳游览时间': ['全年适宜。'], '购物推荐': ['馆区以馆藏文物为素材，制作了系列的旅游产品，感兴趣的游客可到纪念品及书籍商店选购。']}","{'景区位置': ['中国>辽宁省>大连市>旅顺口区>旅顺经济开发区>大连奶牛场>龙头分园'], '到达方式': ['旅顺城区内乘坐公交1路、3路、6路等可直接到达。']}",{'旅顺博物馆门票价格': ['免费。']},['每周二至周日9:00-16:00(15:30停止入馆)，每周一闭馆(国家法定节假日除外)。']
大连横山北普陀主题文化公园,辽宁省,大连市,旅顺口区,"{'景区简介': ['大连横山北普陀主题文化公园是一个以佛教文化为主题，集文化传播、生活体验、运动健身、休闲观光为一体的人文与自然有机交融独具特色的主题旅游景区。公园占地40万平方米，森林覆盖率高达90%以上，游客在这里能够享受别具一格的森林浴，还可以尝素食、品禅茶，悠悠梵音回荡在耳边。'], '景点分布': ['横山北普陀主题文化公园内环境优美，神圣庄严。公园内有横山寺、净心湖、净心桥、珞珈山、观音台、横山佛光、真言大道、红枫林、牌坊门、莲花广场、鹿野苑、莲花池、玉净瓶等景观，还有素食自助餐厅、茶室等服务设施。'], '景区资质': ['国家3A级景区'], '景区特色': ['文化、休闲、自然、公园从您位置到北普陀']}",38,47,"{'最佳游览时间': ['四季皆宜'], '购物推荐': ['（特产）刺参、扇贝、牡蜊、贻贝、赤贝、海螺和各种经济鱼类。', '（美食）清水煮杂色蛤、红烤全虾、咸鱼饼子、鸡毛冻等。']}","{'景区位置': ['中国>辽宁省>大连市>旅顺口区>旅顺经济开发区>大连奶牛场>龙头分园>龙王塘街道'], '到达方式': ['乘车路线：乘站北广场-旅顺横山寺加车，在景区观音台站下车即可。', '驾车路线：进入民政街，右转进入黄河街，左前方转弯进入黄河路，由环岛走第2出口进入红旗东路，直行进入红旗中路，直行进入红旗西路，直行进入马北线，左转进入前黄线，左转进入风采路，左转进入祥坛路行驶即可。']}","{'北普陀门票价格': ['成人票：80元', '年卡：160元', '门票套餐：门票+素食自助餐有139元、199元两档价位。']}",['8:00-16:00']
旅顺天沐温泉,辽宁省,大连市,旅顺口区,"{'景区简介': ['旅顺天沐温泉度假酒店温泉区面积达40000平方米，可同时容纳1500位宾客，温泉水富含钙、镁、锰、锶、锌、硒、偏硅酸等多种人体所需的微量元素和矿物质温泉，源自地下3000米深的深层源泉，为国内稀有的复合型天然矿泉，对缓解疲劳、调节植物神经、改善心血管功能、提高机体免疫力等有极佳效果。酒店建于古树环抱、植被繁茂、空气清新的旅顺北海石门山山谷内，占地200余亩，周边原始森林1000多亩，依山傍海，风景怡人。建筑风格既承接原生态山水的自然轮廓，又融入了大唐盛世的古韵雅意，凸显中华传统文化元素，将返璞归真、古典精粹和现代尊崇完美结合，豪华而不奢侈，优雅而不平俗。'], '景点分布': ['露天温泉区融汇了中国古代的草本养生温泉和国际流行的理疗温泉，温泉区里不仅有各种功效的加料温泉，包括野生花草温泉区，名贵中草药温泉区，美容养颜区，名木沐汤区，茶香浴区;五行功能水疗区，时尚酒池温泉；还有适合小孩的动感欢乐天地温泉。功效齐备风格各异的63泓温泉汤如珍珠般散落于婆娑绿树之中，浑然天成。室外无边界温泉游泳池和儿童戏水区可满足您全家来旅顺（天沐）体验温泉的硬件设施需求。合家欢乐，让旅顺天沐有幸与您共享其乐融融。'], '景区资质': ['国家3A级景区'], '景区特色': ['摄影、摄影、温泉从您位置到旅顺天沐温泉']}",22,61,{'最佳游览时间': ['四季皆宜']},"{'景区位置': ['中国>辽宁省>大连市>旅顺口区>旅顺经济开发区>大连奶牛场>龙头分园>北海街道'], '到达方式': ['1.乘车路线：', '乘坐旅顺口23路，在工业区站下车，步行2.0公里。', '2.自驾路线：', '沈海高速公路→上匝道→旅顺北路→东安路→水北线→温泉。']}",{'旅顺天沐温泉门票价格': ['198元/人']},['09:00-22:00']
